"pli0098_h","year","bula_h","sex","n","percent","lower_confidence","upper_confidence"
"Daily","1990","Schleswig-Holstein","Male","","","",""
"Daily","1990","Schleswig-Holstein","Female","","","",""
"Daily","1990","Hamburg","Male","1","","",""
"Daily","1990","Hamburg","Female","","","",""
"Daily","1990","Lower Saxony","Male","3","","",""
"Daily","1990","Lower Saxony","Female","1","","",""
"Daily","1990","Bremen","Male","","","",""
"Daily","1990","Bremen","Female","1","","",""
"Daily","1990","North Rhine-Westphalia","Male","20","","",""
"Daily","1990","North Rhine-Westphalia","Female","19","","",""
"Daily","1990","Hesse","Male","5","","",""
"Daily","1990","Hesse","Female","4","","",""
"Daily","1990","Rhineland-Palatinate,Saarland","Male","","","",""
"Daily","1990","Rhineland-Palatinate,Saarland","Female","1","","",""
"Daily","1990","Baden-Württemberg","Male","4","","",""
"Daily","1990","Baden-Württemberg","Female","6","","",""
"Daily","1990","Bavaria","Male","4","","",""
"Daily","1990","Bavaria","Female","9","","",""
"Daily","1990","Berlin","Male","","","",""
"Daily","1990","Berlin","Female","1","","",""
"Daily","1990","Brandenburg","Male","","","",""
"Daily","1990","Brandenburg","Female","","","",""
"Daily","1990","Mecklenburg-Western Pomerania","Male","","","",""
"Daily","1990","Mecklenburg-Western Pomerania","Female","","","",""
"Daily","1990","Saxony","Male","","","",""
"Daily","1990","Saxony","Female","","","",""
"Daily","1990","Saxony-Anhalt","Male","","","",""
"Daily","1990","Saxony-Anhalt","Female","","","",""
"Daily","1990","Thuringia","Male","","","",""
"Daily","1990","Thuringia","Female","","","",""
"Min 1x per week","1990","Schleswig-Holstein","Male","5","","",""
"Min 1x per week","1990","Schleswig-Holstein","Female","5","","",""
"Min 1x per week","1990","Hamburg","Male","5","","",""
"Min 1x per week","1990","Hamburg","Female","6","","",""
"Min 1x per week","1990","Lower Saxony","Male","33","0.0544648829646601","0.0342684654271995","0.0746613005021207"
