"pli0098_h","year","education","n","percent","lower_confidence","upper_confidence"
"Daily","1990","lower secondary degree","41","0.00703587655066899","0.0049613408075659","0.00911041229377208"
"Daily","1990","secondary school degree","","","",""
"Daily","1990","college entrance qualification","","","",""
"Daily","1990","Other degree","","","",""
"Daily","1990","no degree/no degree yet","","","",""
"Min 1x per week","1990","lower secondary degree","711","0.132780595767777","0.124358370803279","0.141202820732274"
"Min 1x per week","1990","secondary school degree","305","0.0977582873036319","0.0881733146581945","0.107343259949069"
"Min 1x per week","1990","college entrance qualification","189","0.1238993526824","0.108356196368207","0.139442508996593"
"Min 1x per week","1990","Other degree","170","0.152730650674974","0.131085318852738","0.17437598249721"
"Min 1x per week","1990","no degree/no degree yet","151","0.143537683446704","0.12030597436813","0.166769392525278"
"Min 1x per month","1990","lower secondary degree","647","0.115237557972337","0.107312446121847","0.123162669822828"
"Min 1x per month","1990","secondary school degree","268","0.0889121651802723","0.0797264420331115","0.0980978883274331"
"Min 1x per month","1990","college entrance qualification","137","0.0814436763519192","0.0685401243701831","0.0943472283336552"
"Min 1x per month","1990","Other degree","131","0.0989929351863729","0.0810225826118236","0.116963287760922"
"Min 1x per month","1990","no degree/no degree yet","121","0.122764347107091","0.101020402611327","0.144508291602855"
"Rarely","1990","lower secondary degree","1802","0.297473582058548","0.286127378537607","0.308819785579489"
"Rarely","1990","secondary school degree","879","0.263997303749931","0.249770999804568","0.278223607695295"
"Rarely","1990","college entrance qualification","458","0.281892930797749","0.260667115107002","0.303118746488495"
"Rarely","1990","Other degree","270","0.253080893605993","0.226919741663699","0.279242045548286"
"Rarely","1990","no degree/no degree yet","209","0.295925440894769","0.26568107091729","0.326169810872247"
"Never","1990","lower secondary degree","3035","0.447472387650669","0.435131251269269","0.459813524032068"
"Never","1990","secondary school degree","2233","0.547815199893926","0.531752163113456","0.563878236674397"
"Never","1990","college entrance qualification","937","0.505978053454506","0.482391382059639","0.529564724849372"
"Never","1990","Other degree","475","0.482981496635086","0.452913209516635","0.513049783753536"
"Never","1990","no degree/no degree yet","381","0.42927333417445","0.396477015138184","0.462069653210717"
"Daily","1991","lower secondary degree","","","",""
"Daily","1991","secondary school degree","","","",""
"Daily","1991","college entrance qualification","","","",""
"Daily","1991","Other degree","","","",""
"Daily","1991","no degree/no degree yet","","","",""
"Min 1x per week","1991","lower secondary degree","","","",""
"Min 1x per week","1991","secondary school degree","","","",""
"Min 1x per week","1991","college entrance qualification","","","",""
"Min 1x per week","1991","Other degree","","","",""
"Min 1x per week","1991","no degree/no degree yet","","","",""
"Min 1x per month","1991","lower secondary degree","","","",""
"Min 1x per month","1991","secondary school degree","","","",""
"Min 1x per month","1991","college entrance qualification","","","",""
"Min 1x per month","1991","Other degree","","","",""
"Min 1x per month","1991","no degree/no degree yet","","","",""
"Rarely","1991","lower secondary degree","","","",""
"Rarely","1991","secondary school degree","","","",""
"Rarely","1991","college entrance qualification","","","",""
"Rarely","1991","Other degree","","","",""
"Rarely","1991","no degree/no degree yet","","","",""
"Never","1991","lower secondary degree","","","",""
"Never","1991","secondary school degree","","","",""
"Never","1991","college entrance qualification","","","",""
"Never","1991","Other degree","","","",""
"Never","1991","no degree/no degree yet","","","",""
"Daily","1992","lower secondary degree","","","",""
"Daily","1992","secondary school degree","","","",""
"Daily","1992","college entrance qualification","","","",""
"Daily","1992","Other degree","","","",""
"Daily","1992","no degree/no degree yet","","","",""
"Min 1x per week","1992","lower secondary degree","612","0.122257415291099","0.11383486053943","0.130679970042768"
"Min 1x per week","1992","secondary school degree","265","0.0898299017414925","0.0804725243184543","0.0991872791645308"
"Min 1x per week","1992","college entrance qualification","186","0.119679697089764","0.104406535338909","0.134952858840619"
"Min 1x per week","1992","Other degree","161","0.14742069515384","0.125502152201424","0.169339238106255"
"Min 1x per week","1992","no degree/no degree yet","146","0.135546855364847","0.11260225561488","0.158491455114813"
"Min 1x per month","1992","lower secondary degree","517","0.0935644234448726","0.0860767568615519","0.101052090028193"
"Min 1x per month","1992","secondary school degree","208","0.0652383223249741","0.0571569662188085","0.0733196784311396"
"Min 1x per month","1992","college entrance qualification","126","0.0841538320622578","0.0710907225938831","0.0972169415306325"
"Min 1x per month","1992","Other degree","150","0.110301547904113","0.0909338821628785","0.129669213645347"
"Min 1x per month","1992","no degree/no degree yet","106","0.101208234488129","0.0809918959967317","0.121424572979526"
"Rarely","1992","lower secondary degree","1603","0.290095208404453","0.278427300708269","0.301763116100638"
"Rarely","1992","secondary school degree","867","0.272235432265215","0.257669101043777","0.286801763486654"
"Rarely","1992","college entrance qualification","439","0.252548456890951","0.232104628229775","0.272992285552126"
"Rarely","1992","Other degree","218","0.22905253923024","0.203072188681474","0.255032889779006"
"Rarely","1992","no degree/no degree yet","200","0.248180788214426","0.219226971351013","0.27713460507784"
"Never","1992","lower secondary degree","3079","0.494082952859575","0.481228244000067","0.506937661719082"
"Never","1992","secondary school degree","2247","0.572696343668318","0.556507608728076","0.58888507860856"
"Never","1992","college entrance qualification","984","0.543618013957027","0.520180609308068","0.567055418605986"
"Never","1992","Other degree","476","0.513225217711808","0.482323466654438","0.544126968769178"
"Never","1992","no degree/no degree yet","403","0.515064121932598","0.481564659224306","0.54856358464089"
"Daily","1993","lower secondary degree","","","",""
"Daily","1993","secondary school degree","","","",""
"Daily","1993","college entrance qualification","","","",""
"Daily","1993","Other degree","","","",""
"Daily","1993","no degree/no degree yet","","","",""
"Min 1x per week","1993","lower secondary degree","","","",""
"Min 1x per week","1993","secondary school degree","","","",""
"Min 1x per week","1993","college entrance qualification","","","",""
"Min 1x per week","1993","Other degree","","","",""
"Min 1x per week","1993","no degree/no degree yet","","","",""
"Min 1x per month","1993","lower secondary degree","","","",""
"Min 1x per month","1993","secondary school degree","","","",""
"Min 1x per month","1993","college entrance qualification","","","",""
"Min 1x per month","1993","Other degree","","","",""
"Min 1x per month","1993","no degree/no degree yet","","","",""
"Rarely","1993","lower secondary degree","","","",""
"Rarely","1993","secondary school degree","","","",""
"Rarely","1993","college entrance qualification","","","",""
"Rarely","1993","Other degree","","","",""
"Rarely","1993","no degree/no degree yet","","","",""
"Never","1993","lower secondary degree","","","",""
"Never","1993","secondary school degree","","","",""
"Never","1993","college entrance qualification","","","",""
