"pli0098_h","year","age_gr","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Daily","1990","16-34 y.","1-pers.-HH","2","","",""
"Daily","1990","16-34 y.","(Married) couple without C. ","1","","",""
"Daily","1990","16-34 y.","Single parent ","1","","",""
"Daily","1990","16-34 y.","Couple + C. LE 16 ","6","","",""
"Daily","1990","16-34 y.","Couple + C. GT 16 ","2","","",""
"Daily","1990","16-34 y.","Couple + C. LE and GT 16","2","","",""
"Daily","1990","35-65 y.","1-pers.-HH","6","","",""
"Daily","1990","35-65 y.","(Married) couple without C. ","7","","",""
"Daily","1990","35-65 y.","Single parent ","1","","",""
"Daily","1990","35-65 y.","Couple + C. LE 16 ","6","","",""
"Daily","1990","35-65 y.","Couple + C. GT 16 ","14","","",""
"Daily","1990","35-65 y.","Couple + C. LE and GT 16","10","","",""
"Daily","1990","66 and older","1-pers.-HH","6","","",""
"Daily","1990","66 and older","(Married) couple without C. ","5","","",""
"Daily","1990","66 and older","Single parent ","","","",""
"Daily","1990","66 and older","Couple + C. LE 16 ","","","",""
"Daily","1990","66 and older","Couple + C. GT 16 ","","","",""
"Daily","1990","66 and older","Couple + C. LE and GT 16","1","","",""
"Min 1x per week","1990","16-34 y.","1-pers.-HH","20","","",""
"Min 1x per week","1990","16-34 y.","(Married) couple without C. ","45","0.050648088151633","0.0346755493882684","0.0666206269149975"
"Min 1x per week","1990","16-34 y.","Single parent ","17","","",""
"Min 1x per week","1990","16-34 y.","Couple + C. LE 16 ","131","0.0670774140232194","0.055931426163053","0.0782234018833858"
"Min 1x per week","1990","16-34 y.","Couple + C. GT 16 ","121","0.115566617392572","0.0970324218807372","0.134100812904406"
"Min 1x per week","1990","16-34 y.","Couple + C. LE and GT 16","68","0.160840737491289","0.127484630601348","0.194196844381229"
"Min 1x per week","1990","35-65 y.","1-pers.-HH","53","0.109346968534671","0.0821017389595479","0.136592198109794"
"Min 1x per week","1990","35-65 y.","(Married) couple without C. ","171","0.101859463302631","0.0880580758977162","0.115660850707545"
"Min 1x per week","1990","35-65 y.","Single parent ","30","0.110949568229685","0.0746770377775058","0.147222098681864"
"Min 1x per week","1990","35-65 y.","Couple + C. LE 16 ","179","0.113840910232384","0.098248654089373","0.129433166375395"
"Min 1x per week","1990","35-65 y.","Couple + C. GT 16 ","226","0.159998650242371","0.14217954176012","0.177817758724622"
"Min 1x per week","1990","35-65 y.","Couple + C. LE and GT 16","108","0.175840423485943","0.148168082483664","0.203512764488221"
"Min 1x per week","1990","66 and older","1-pers.-HH","96","0.203259234217806","0.169317433991049","0.237201034444564"
"Min 1x per week","1990","66 and older","(Married) couple without C. ","116","0.180762216686484","0.151558105704938","0.20996632766803"
"Min 1x per week","1990","66 and older","Single parent ","7","","",""
"Min 1x per week","1990","66 and older","Couple + C. LE 16 ","","","",""
