"pli0098_h","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","in school","West Germany","","","","","1"
"Daily","1990","in school","East Germany","","","","","1"
"Daily","1990","inadequately","West Germany","12","","","","1"
"Daily","1990","inadequately","East Germany","","","","","1"
"Daily","1990","general elemantary","West Germany","28","","","","1"
"Daily","1990","general elemantary","East Germany","","","","","1"
"Daily","1990","middle vocational","West Germany","29","","","","1"
"Daily","1990","middle vocational","East Germany","","","","","1"
"Daily","1990","vocational + Abi","West Germany","1","","","","1"
"Daily","1990","vocational + Abi","East Germany","","","","","1"
"Daily","1990","higher vocational","West Germany","2","","","","1"
"Daily","1990","higher vocational","East Germany","","","","","1"
"Daily","1990","higher education","West Germany","5","","","","1"
"Daily","1990","higher education","East Germany","","","","","1"
"Min 1x per month","1990","in school","West Germany","19","","","","3"
"Min 1x per month","1990","in school","East Germany","2","","","","3"
"Min 1x per month","1990","inadequately","West Germany","92","0.122900889590295","0.0972427823022788","0.148558996878312","3"
"Min 1x per month","1990","inadequately","East Germany","1","","","","3"
"Min 1x per month","1990","general elemantary","West Germany","319","0.131189913615303","0.117873103836726","0.144506723393879","3"
"Min 1x per month","1990","general elemantary","East Germany","35","0.0819711657810836","0.0580693139722804","0.105873017589887","3"
"Min 1x per month","1990","middle vocational","West Germany","525","0.115326659424974","0.106035359255982","0.124617959593966","3"
"Min 1x per month","1990","middle vocational","East Germany","109","0.0462837173053907","0.0380298143659121","0.0545376202448694","3"
"Min 1x per month","1990","vocational + Abi","West Germany","27","","","","3"
"Min 1x per month","1990","vocational + Abi","East Germany","2","","","","3"
"Min 1x per month","1990","higher vocational","West Germany","52","0.0950683649841041","0.069662206182578","0.12047452378563","3"
"Min 1x per month","1990","higher vocational","East Germany","13","","","","3"
"Min 1x per month","1990","higher education","West Germany","80","0.113359355112496","0.0898063691865673","0.136912341038425","3"
"Min 1x per month","1990","higher education","East Germany","37","0.038850887382887","0.0267214225616823","0.0509803522040917","3"
"Min 1x per week","1990","inadequately","West Germany","116","0.140671324048049","0.113500349968126","0.167842298127973","2"
"Min 1x per week","1990","in school","West Germany","30","0.182060473961207","0.121889369969781","0.242231577952633","2"
"Min 1x per week","1990","in school","East Germany","4","","","","2"
"Min 1x per week","1990","inadequately","East Germany","","","","","2"
"Min 1x per week","1990","general elemantary","West Germany","415","0.176976086220096","0.161922115518549","0.192030056921643","2"
"Min 1x per week","1990","general elemantary","East Germany","27","","","","2"
"Min 1x per week","1990","middle vocational","West Germany","596","0.128498621376366","0.118764350259444","0.138232892493287","2"
"Min 1x per week","1990","middle vocational","East Germany","79","0.0332847848639031","0.0262377276603626","0.0403318420674435","2"
"Min 1x per week","1990","vocational + Abi","West Germany","36","0.112791132302594","0.0766927700965949","0.148889494508594","2"
"Min 1x per week","1990","vocational + Abi","East Germany","4","","","","2"
"Min 1x per week","1990","higher vocational","West Germany","77","0.157813863541434","0.12623549196688","0.189392235115988","2"
"Min 1x per week","1990","higher vocational","East Germany","8","","","","2"
"Min 1x per week","1990","higher education","West Germany","99","0.139043842788778","0.113339300772904","0.164748384804652","2"
"Min 1x per week","1990","higher education","East Germany","42","0.0463516003283933","0.0331546892047378","0.0595485114520489","2"
"Never","1990","in school","West Germany","57","0.302628430675485","0.230996521004097","0.374260340346873","5"
"Never","1990","vocational + Abi","East Germany","54","0.715333711299324","0.615825960188631","0.814841462410018","5"
"Never","1990","higher vocational","West Germany","196","0.413272118432994","0.370619123899918","0.45592511296607","5"
"Never","1990","higher vocational","East Germany","175","0.686859415568511","0.62959940451513","0.744119426621892","5"
"Never","1990","higher education","West Germany","286","0.405036255724695","0.36856626340513","0.441506248044259","5"
"Never","1990","higher education","East Germany","728","0.743671857062997","0.716266554442952","0.771077159683042","5"
"Never","1990","in school","East Germany","23","","","","5"
"Never","1990","inadequately","West Germany","272","0.48202342874567","0.442974250375788","0.521072607115552","5"
"Never","1990","inadequately","East Germany","7","","","","5"
"Never","1990","general elemantary","West Germany","992","0.392965564103907","0.373700455682044","0.41223067252577","5"
"Never","1990","general elemantary","East Germany","368","0.711589609881313","0.672117250823402","0.751061968939225","5"
"Never","1990","middle vocational","West Germany","1881","0.424351727922498","0.409974943694329","0.438728512150668","5"
"Never","1990","middle vocational","East Germany","1909","0.773280180472676","0.756830827271521","0.789729533673831","5"
"Never","1990","vocational + Abi","West Germany","140","0.50561269429287","0.448559531744649","0.56266585684109","5"
"Rarely","1990","in school","West Germany","52","0.39126947294783","0.315172028719076","0.467366917176583","4"
"Rarely","1990","general elemantary","East Germany","76","0.146487688149883","0.115678639341131","0.177296736958635","4"
"Rarely","1990","middle vocational","West Germany","1509","0.326877537888185","0.313232971295618","0.340522104480753","4"
"Rarely","1990","in school","East Germany","3","","","","4"
"Rarely","1990","inadequately","West Germany","137","0.241629200854767","0.208175953772342","0.275082447937192","4"
