"pli0098_h","year","pgcasmin","sex","n","percent","lower_confidence","upper_confidence"
"Daily","1990","(0) in school","Male","","","",""
"Daily","1990","(0) in school","Female","","","",""
"Daily","1990","(1a) inadequately completed","Male","7","","",""
"Daily","1990","(1a) inadequately completed","Female","6","","",""
"Daily","1990","(1b) general elementary school","Male","11","","",""
"Daily","1990","(1b) general elementary school","Female","17","","",""
"Daily","1990","(1c) basic vocational qualification","Male","14","","",""
"Daily","1990","(1c) basic vocational qualification","Female","13","","",""
"Daily","1990","(2b) intermediate general qualification","Male","","","",""
"Daily","1990","(2b) intermediate general qualification","Female","","","",""
"Daily","1990","(2a) intermediate vocational","Male","","","",""
"Daily","1990","(2a) intermediate vocational","Female","2","","",""
"Daily","1990","(2c_gen) general maturity certificate","Male","","","",""
"Daily","1990","(2c_gen) general maturity certificate","Female","1","","",""
"Daily","1990","(2c_voc) vocational maturity certificate","Male","1","","",""
"Daily","1990","(2c_voc) vocational maturity certificate","Female","","","",""
"Daily","1990","(3a) lower tertiary education","Male","1","","",""
"Daily","1990","(3a) lower tertiary education","Female","2","","",""
"Daily","1990","(3b) higher tertiary education","Male","1","","",""
"Daily","1990","(3b) higher tertiary education","Female","1","","",""
"Min 1x per week","1990","(0) in school","Male","22","","",""
"Min 1x per week","1990","(0) in school","Female","8","","",""
"Min 1x per week","1990","(1a) inadequately completed","Male","43","0.0984209090225125","0.0653674895213391","0.131474328523686"
"Min 1x per week","1990","(1a) inadequately completed","Female","80","0.14309256465577","0.109239135286447","0.176945994025093"
"Min 1x per week","1990","(1b) general elementary school","Male","106","0.11810045319431","0.0959165398549744","0.140284366533646"
"Min 1x per week","1990","(1b) general elementary school","Female","281","0.188799961037365","0.169928392393556","0.207671529681173"
"Min 1x per week","1990","(1c) basic vocational qualification","Male","258","0.113377955225406","0.1010235624865","0.125732347964313"
"Min 1x per week","1990","(1c) basic vocational qualification","Female","214","0.123552675404438","0.109130788682378","0.137974562126498"
"Min 1x per week","1990","(2b) intermediate general qualification","Male","15","","",""
"Min 1x per week","1990","(2b) intermediate general qualification","Female","45","0.1549088638158","0.116047692918679","0.193770034712921"
"Min 1x per week","1990","(2a) intermediate vocational","Male","89","0.0773161050058076","0.0625800963716295","0.0920521136399858"
"Min 1x per week","1990","(2a) intermediate vocational","Female","127","0.111906580708483","0.0952070792517353","0.12860608216523"
"Min 1x per week","1990","(2c_gen) general maturity certificate","Male","27","","",""
"Min 1x per week","1990","(2c_gen) general maturity certificate","Female","18","","",""
"Min 1x per week","1990","(2c_voc) vocational maturity certificate","Male","27","","",""
"Min 1x per week","1990","(2c_voc) vocational maturity certificate","Female","27","","",""
"Min 1x per week","1990","(3a) lower tertiary education","Male","22","","",""
"Min 1x per week","1990","(3a) lower tertiary education","Female","31","0.0843615232593789","0.0589908581978967","0.109732188320861"
"Min 1x per week","1990","(3b) higher tertiary education","Male","54","0.116410720467819","0.0881002987385443","0.144721142197094"
"Min 1x per week","1990","(3b) higher tertiary education","Female","34","0.157604677395384","0.116234966726749","0.198974388064019"
"Min 1x per month","1990","(0) in school","Male","8","","",""
"Min 1x per month","1990","(0) in school","Female","11","","",""
"Min 1x per month","1990","(1a) inadequately completed","Male","47","0.113343537778547","0.0781675041416342","0.148519571415459"
"Min 1x per month","1990","(1a) inadequately completed","Female","56","0.129897768176549","0.0973955376650116","0.162399998688087"
"Min 1x per month","1990","(1b) general elementary school","Male","88","0.104550082481524","0.0835178362040951","0.125582328758953"
"Min 1x per month","1990","(1b) general elementary school","Female","223","0.143834305033718","0.126912245430446","0.16075636463699"
"Min 1x per month","1990","(1c) basic vocational qualification","Male","221","0.090343303910844","0.0791727534363392","0.101513854385349"
"Min 1x per month","1990","(1c) basic vocational qualification","Female","220","0.12532071606777","0.110810664783209","0.139830767352331"
"Min 1x per month","1990","(2b) intermediate general qualification","Male","11","","",""
"Min 1x per month","1990","(2b) intermediate general qualification","Female","34","0.0931867018379784","0.0619646180464868","0.12440878562947"
"Min 1x per month","1990","(2a) intermediate vocational","Male","67","0.0670594814001776","0.0532595957888511","0.0808593670115041"
"Min 1x per month","1990","(2a) intermediate vocational","Female","131","0.119319246637669","0.10214764238528","0.136490850890057"
"Min 1x per month","1990","(2c_gen) general maturity certificate","Male","17","","",""
"Min 1x per month","1990","(2c_gen) general maturity certificate","Female","17","","",""
"Min 1x per month","1990","(2c_voc) vocational maturity certificate","Male","18","","",""
"Min 1x per month","1990","(2c_voc) vocational maturity certificate","Female","21","","",""
"Min 1x per month","1990","(3a) lower tertiary education","Male","22","","",""
"Min 1x per month","1990","(3a) lower tertiary education","Female","23","","",""
"Min 1x per month","1990","(3b) higher tertiary education","Male","43","0.110306429509379","0.0826532373816272","0.13795962163713"
"Min 1x per month","1990","(3b) higher tertiary education","Female","29","","",""
"Rarely","1990","(0) in school","Male","34","0.444714072989999","0.343170381561912","0.546257764418086"
"Rarely","1990","(0) in school","Female","18","","",""
"Rarely","1990","(1a) inadequately completed","Male","68","0.239080353516312","0.191753008996798","0.286407698035827"
"Rarely","1990","(1a) inadequately completed","Female","89","0.226746135628754","0.18626448832711","0.267227782930398"
"Rarely","1990","(1b) general elementary school","Male","218","0.276564853917141","0.245817969548482","0.3073117382858"
