"pli0098_h","year","migback","sex","n","percent","lower_confidence","upper_confidence"
"Daily","1990","no migration background","Male","","","",""
"Daily","1990","no migration background","Female","30","0.00717078786953775","0.00497223289015871","0.0093693428489168"
"Daily","1990","direct migration background","Male","","","",""
"Daily","1990","direct migration background","Female","","","",""
"Daily","1990","indirect migration background","Male","","","",""
"Daily","1990","indirect migration background","Female","","","",""
"Min 1x per week","1990","no migration background","Male","456","0.102646983359073","0.0943963989398452","0.110897567778302"
"Min 1x per week","1990","no migration background","Female","644","0.137624792542657","0.128648167408381","0.146601417676934"
"Min 1x per week","1990","direct migration background","Male","199","0.124163421331184","0.106814929213083","0.141511913449285"
"Min 1x per week","1990","direct migration background","Female","219","0.176032656254828","0.155037158508133","0.197028154001523"
"Min 1x per week","1990","indirect migration background","Male","","","",""
"Min 1x per week","1990","indirect migration background","Female","","","",""
"Min 1x per month","1990","no migration background","Male","361","0.0795015389351451","0.0721474436167935","0.0868556342534966"
"Min 1x per month","1990","no migration background","Female","592","0.121641395525276","0.113124266106695","0.130158524943856"
"Min 1x per month","1990","direct migration background","Male","178","0.11383124440933","0.0971225576769993","0.130539931141661"
"Min 1x per month","1990","direct migration background","Female","169","0.118571487868098","0.100749414129524","0.136393561606671"
"Min 1x per month","1990","indirect migration background","Male","","","",""
"Min 1x per month","1990","indirect migration background","Female","","","",""
"Rarely","1990","no migration background","Male","1360","0.289089178865311","0.276765129375308","0.301413228355314"
"Rarely","1990","no migration background","Female","1527","0.283919253439436","0.272170412069644","0.295668094809229"
"Rarely","1990","direct migration background","Male","365","0.265908184196131","0.24266506543351","0.289151302958752"
"Rarely","1990","direct migration background","Female","320","0.263426228663357","0.239142678110745","0.287709779215968"
"Rarely","1990","indirect migration background","Male","44","0.288344521896544","0.214865661184509","0.36182338260858"
"Rarely","1990","indirect migration background","Female","58","0.381494518665869","0.30349877839389","0.459490258937849"
"Never","1990","no migration background","Male","3008","0.525389699433358","0.511814715939513","0.538964682927202"
"Never","1990","no migration background","Female","2865","0.449643770623093","0.436681745667479","0.462605795578707"
"Never","1990","direct migration background","Male","622","0.482612854554782","0.456324668621409","0.508901040488156"
"Never","1990","direct migration background","Female","544","0.434333338578416","0.407007944813141","0.461658732343691"
"Never","1990","indirect migration background","Male","69","0.420547929526199","0.340474547462551","0.500621311589846"
"Never","1990","indirect migration background","Female","61","0.412912497190681","0.333856396735477","0.491968597645885"
