"pli0098_h","year","age_gr","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Rarely","1997","66 and older","West Germany","317","0.272993141779368","0.247256282293994","0.298730001264742","4"
"Rarely","1997","66 and older","East Germany","77","0.1753431578579","0.139567776539309","0.211118539176491","4"
"Daily","1998","16-34 y.","West Germany","23","","","","1"
"Daily","1998","16-34 y.","East Germany","4","","","","1"
"Daily","1998","35-65 y.","West Germany","49","0.00659997602572705","0.00442414313750054","0.00877580891395357","1"
"Daily","1998","35-65 y.","East Germany","1","","","","1"
"Daily","1998","66 and older","East Germany","2","","","","1"
"Daily","1998","66 and older","West Germany","19","","","","1"
"Min 1x per month","1998","16-34 y.","West Germany","303","0.0724802641591025","0.0640802694650403","0.0808802588531648","3"
"Min 1x per month","1998","16-34 y.","East Germany","48","0.0419987948185281","0.0306827177180307","0.0533148719190255","3"
"Min 1x per month","1998","35-65 y.","West Germany","659","0.117741783355689","0.109081034692172","0.126402532019207","3"
"Min 1x per month","1998","35-65 y.","East Germany","92","0.0434964896765309","0.0349341937642579","0.0520587855888039","3"
"Min 1x per month","1998","66 and older","East Germany","36","0.0617107089586288","0.0401164875861618","0.0833049303310958","3"
"Min 1x per month","1998","66 and older","West Germany","200","0.144530559662585","0.126038765082536","0.163022354242634","3"
"Min 1x per week","1998","16-34 y.","West Germany","266","0.0641771196959656","0.0562375952756686","0.0721166441162626","2"
"Min 1x per week","1998","16-34 y.","East Germany","33","0.0331374050813611","0.0230393883989574","0.0432354217637648","2"
"Min 1x per week","1998","35-65 y.","West Germany","654","0.110956446260873","0.102516686921689","0.119396205600056","2"
"Min 1x per week","1998","35-65 y.","East Germany","72","0.0311931118343901","0.0238957176819773","0.0384905059868029","2"
"Min 1x per week","1998","66 and older","West Germany","310","0.217236305561177","0.195550352696353","0.238922258426","2"
"Min 1x per week","1998","66 and older","East Germany","19","","","","2"
"Never","1998","16-34 y.","West Germany","1819","0.527216611203748","0.511042024377939","0.543391198029556","5"
"Never","1998","16-34 y.","East Germany","932","0.787705142760472","0.764635225695597","0.810775059825348","5"
"Never","1998","35-65 y.","West Germany","2144","0.418711772670407","0.405454761430299","0.431968783910514","5"
"Never","1998","35-65 y.","East Germany","1604","0.737209079682382","0.718732551878762","0.755685607486002","5"
"Never","1998","66 and older","West Germany","453","0.338499528501844","0.313614331610008","0.363384725393681","5"
"Never","1998","66 and older","East Germany","338","0.723568095671874","0.683433149123689","0.763703042220058","5"
"Rarely","1998","16-34 y.","West Germany","1249","0.332179935001849","0.316921008611552","0.347438861392146","4"
"Rarely","1998","16-34 y.","East Germany","190","0.134399915978405","0.115157810120271","0.153642021836539","4"
"Rarely","1998","35-65 y.","West Germany","1814","0.345990021687304","0.333207508510549","0.35877253486406","4"
"Rarely","1998","35-65 y.","East Germany","411","0.187877508496507","0.171480372091941","0.204274644901073","4"
"Rarely","1998","66 and older","East Germany","82","0.164368442425593","0.131109721900852","0.197627162950334","4"
"Rarely","1998","66 and older","West Germany","407","0.288509194773966","0.264682629365088","0.312335760182844","4"
"Daily","1999","16-34 y.","West Germany","","","","","1"
"Daily","1999","16-34 y.","East Germany","","","","","1"
"Daily","1999","35-65 y.","West Germany","","","","","1"
"Daily","1999","35-65 y.","East Germany","","","","","1"
"Daily","1999","66 and older","East Germany","","","","","1"
"Daily","1999","66 and older","West Germany","","","","","1"
"Min 1x per month","1999","16-34 y.","West Germany","274","0.0628817757890154","0.0547638643144042","0.0709996872636266","3"
"Min 1x per month","1999","16-34 y.","East Germany","44","0.0332469907631133","0.022969791594059","0.0435241899321676","3"
"Min 1x per month","1999","35-65 y.","West Germany","592","0.10620702847276","0.0978004680890511","0.114613588856469","3"
"Min 1x per month","1999","35-65 y.","East Germany","97","0.0451226523354034","0.0362950666833686","0.0539502379874382","3"
"Min 1x per month","1999","66 and older","East Germany","27","","","","3"
"Min 1x per month","1999","66 and older","West Germany","168","0.118386823152399","0.101024293910303","0.135749352394494","3"
"Min 1x per week","1999","16-34 y.","West Germany","203","0.0499945635086248","0.0427065502153155","0.0572825768019341","2"
"Min 1x per week","1999","16-34 y.","East Germany","29","","","","2"
"Min 1x per week","1999","35-65 y.","West Germany","622","0.109840218601663","0.101308472578893","0.118371964624432","2"
"Min 1x per week","1999","35-65 y.","East Germany","68","0.0295904667504563","0.0223839687608174","0.0367969647400953","2"
"Min 1x per week","1999","66 and older","East Germany","20","","","","2"
"Min 1x per week","1999","66 and older","West Germany","314","0.22961194817911","0.207008521585243","0.252215374772976","2"
"Never","1999","16-34 y.","East Germany","905","0.798884210138063","0.775906548035197","0.821861872240928","5"
"Never","1999","16-34 y.","West Germany","1741","0.539942812986896","0.523275541384873","0.556610084588918","5"
"Never","1999","35-65 y.","West Germany","2087","0.416598351149214","0.403147002182695","0.430049700115732","5"
"Never","1999","35-65 y.","East Germany","1563","0.740822591065201","0.722187714711637","0.759457467418765","5"
"Never","1999","66 and older","West Germany","469","0.367725104341213","0.341810959623219","0.393639249059206","5"
"Never","1999","66 and older","East Germany","323","0.666096469773353","0.623950638500683","0.708242301046023","5"
"Rarely","1999","16-34 y.","West Germany","1217","0.347180847715464","0.33126026191846","0.363101433512468","4"
"Rarely","1999","16-34 y.","East Germany","191","0.1376547682169","0.117904315798023","0.157405220635778","4"
"Rarely","1999","35-65 y.","West Germany","1859","0.367354401776364","0.354200756989531","0.380508046563197","4"
"Rarely","1999","35-65 y.","East Germany","396","0.18446428984894","0.167969435762059","0.20095914393582","4"
"Rarely","1999","66 and older","West Germany","379","0.284276124327279","0.260034304674787","0.308517943979771","4"
"Rarely","1999","66 and older","East Germany","111","0.232966865120082","0.195189671386922","0.270744058853243","4"
"Daily","2000","16-34 y.","West Germany","","","","","1"
"Daily","2000","16-34 y.","East Germany","","","","","1"
"Daily","2000","35-65 y.","West Germany","","","","","1"
"Daily","2000","35-65 y.","East Germany","","","","","1"
"Daily","2000","66 and older","West Germany","","","","","1"
"Daily","2000","66 and older","East Germany","","","","","1"
"Min 1x per month","2000","16-34 y.","West Germany","","","","","3"
"Min 1x per month","2000","16-34 y.","East Germany","","","","","3"
"Min 1x per month","2000","35-65 y.","West Germany","","","","","3"
"Min 1x per month","2000","35-65 y.","East Germany","","","","","3"
"Min 1x per month","2000","66 and older","West Germany","","","","","3"
"Min 1x per month","2000","66 and older","East Germany","","","","","3"
"Min 1x per week","2000","16-34 y.","West Germany","","","","","2"
"Min 1x per week","2000","16-34 y.","East Germany","","","","","2"
"Min 1x per week","2000","35-65 y.","West Germany","","","","","2"
"Min 1x per week","2000","35-65 y.","East Germany","","","","","2"
"Min 1x per week","2000","66 and older","West Germany","","","","","2"
"Min 1x per week","2000","66 and older","East Germany","","","","","2"
"Never","2000","16-34 y.","West Germany","","","","","5"
"Never","2000","16-34 y.","East Germany","","","","","5"
"Never","2000","35-65 y.","West Germany","","","","","5"
"Never","2000","35-65 y.","East Germany","","","","","5"
"Never","2000","66 and older","West Germany","","","","","5"
"Never","2000","66 and older","East Germany","","","","","5"
"Rarely","2000","16-34 y.","West Germany","","","","","4"
"Rarely","2000","16-34 y.","East Germany","","","","","4"
"Rarely","2000","35-65 y.","West Germany","","","","","4"
"Rarely","2000","35-65 y.","East Germany","","","","","4"
"Rarely","2000","66 and older","West Germany","","","","","4"
"Rarely","2000","66 and older","East Germany","","","","","4"
"Daily","2001","16-34 y.","West Germany","","","","","1"
"Daily","2001","16-34 y.","East Germany","","","","","1"
"Daily","2001","35-65 y.","West Germany","","","","","1"
"Daily","2001","35-65 y.","East Germany","","","","","1"
"Daily","2001","66 and older","East Germany","","","","","1"
"Daily","2001","66 and older","West Germany","","","","","1"
"Min 1x per month","2001","16-34 y.","West Germany","347","0.06838468486479","0.0611870322657222","0.0755823374638578","3"
"Min 1x per month","2001","16-34 y.","East Germany","59","0.0367900102858784","0.0273697944186602","0.0462102261530966","3"
"Min 1x per month","2001","35-65 y.","West Germany","1097","0.109271363298884","0.10288385556465","0.115658871033118","3"
"Min 1x per month","2001","35-65 y.","East Germany","131","0.0378301815036316","0.0310615494892314","0.0445988135180317","3"
"Min 1x per month","2001","66 and older","West Germany","429","0.157186135970759","0.143108700805461","0.171263571136057","3"
"Min 1x per month","2001","66 and older","East Germany","62","0.0670825773289636","0.0502550339887666","0.0839101206691605","3"
