"pli0098_h","year","bula_h","e11102","n","percent","lower_confidence","upper_confidence"
"Daily","1990","Schleswig-Holstein","Not Employed","","","",""
"Daily","1990","Schleswig-Holstein","Employed","","","",""
"Daily","1990","Hamburg","Not Employed","","","",""
"Daily","1990","Hamburg","Employed","1","","",""
"Daily","1990","Lower Saxony","Not Employed","2","","",""
"Daily","1990","Lower Saxony","Employed","2","","",""
"Daily","1990","Bremen","Not Employed","1","","",""
"Daily","1990","Bremen","Employed","","","",""
"Daily","1990","North Rhine-Westphalia","Not Employed","19","","",""
"Daily","1990","North Rhine-Westphalia","Employed","20","","",""
"Daily","1990","Hesse","Not Employed","3","","",""
"Daily","1990","Hesse","Employed","6","","",""
"Daily","1990","Rhineland-Palatinate,Saarland","Not Employed","","","",""
"Daily","1990","Rhineland-Palatinate,Saarland","Employed","1","","",""
"Daily","1990","Baden-Württemberg","Not Employed","4","","",""
"Daily","1990","Baden-Württemberg","Employed","6","","",""
"Daily","1990","Bavaria","Not Employed","9","","",""
"Daily","1990","Bavaria","Employed","4","","",""
"Daily","1990","Berlin","Not Employed","","","",""
"Daily","1990","Berlin","Employed","1","","",""
"Daily","1990","Brandenburg","Not Employed","","","",""
"Daily","1990","Brandenburg","Employed","","","",""
"Daily","1990","Mecklenburg-Western Pomerania","Not Employed","","","",""
"Daily","1990","Mecklenburg-Western Pomerania","Employed","","","",""
"Daily","1990","Saxony","Not Employed","","","",""
"Daily","1990","Saxony","Employed","","","",""
"Daily","1990","Saxony-Anhalt","Not Employed","","","",""
"Daily","1990","Saxony-Anhalt","Employed","","","",""
"Daily","1990","Thuringia","Not Employed","","","",""
"Daily","1990","Thuringia","Employed","","","",""
"Min 1x per week","1990","Schleswig-Holstein","Not Employed","4","","",""
"Min 1x per week","1990","Schleswig-Holstein","Employed","6","","",""
"Min 1x per week","1990","Hamburg","Not Employed","5","","",""
"Min 1x per week","1990","Hamburg","Employed","6","","",""
"Min 1x per week","1990","Lower Saxony","Not Employed","46","0.111497261073458","0.0794265407876765","0.14356798135924"
"Min 1x per week","1990","Lower Saxony","Employed","36","0.0476546842494021","0.030693280114099","0.0646160883847051"
"Min 1x per week","1990","Bremen","Not Employed","3","","",""
"Min 1x per week","1990","Bremen","Employed","2","","",""
"Min 1x per week","1990","North Rhine-Westphalia","Not Employed","205","0.221708621694453","0.195936793876609","0.247480449512296"
"Min 1x per week","1990","North Rhine-Westphalia","Employed","179","0.0993114642804826","0.0844938621193089","0.114129066441656"
"Min 1x per week","1990","Hesse","Not Employed","57","0.18056583737615","0.139251499172039","0.221880175580261"
"Min 1x per week","1990","Hesse","Employed","55","0.0519733039998872","0.0348295627217762","0.0691170452779983"
"Min 1x per week","1990","Rhineland-Palatinate,Saarland","Not Employed","60","0.226707829920737","0.176579208615845","0.276836451225629"
"Min 1x per week","1990","Rhineland-Palatinate,Saarland","Employed","59","0.148940609127867","0.114137218065053","0.18374400019068"
"Min 1x per week","1990","Baden-Württemberg","Not Employed","138","0.256432950083711","0.219292444360884","0.293573455806538"
"Min 1x per week","1990","Baden-Württemberg","Employed","198","0.165414090201065","0.144849450865261","0.185978729536869"
"Min 1x per week","1990","Bavaria","Not Employed","133","0.279586575050162","0.239849206282979","0.319323943817345"
"Min 1x per week","1990","Bavaria","Employed","172","0.150286533590887","0.129254629037441","0.171318438144332"
"Min 1x per week","1990","Berlin","Not Employed","11","","",""
"Min 1x per week","1990","Berlin","Employed","11","","",""
"Min 1x per week","1990","Brandenburg","Not Employed","","","",""
"Min 1x per week","1990","Brandenburg","Employed","","","",""
"Min 1x per week","1990","Mecklenburg-Western Pomerania","Not Employed","","","",""
"Min 1x per week","1990","Mecklenburg-Western Pomerania","Employed","","","",""
"Min 1x per week","1990","Saxony","Not Employed","","","",""
"Min 1x per week","1990","Saxony","Employed","","","",""
"Min 1x per week","1990","Saxony-Anhalt","Not Employed","","","",""
"Min 1x per week","1990","Saxony-Anhalt","Employed","","","",""
"Min 1x per week","1990","Thuringia","Not Employed","","","",""
"Min 1x per week","1990","Thuringia","Employed","","","",""
"Min 1x per month","1990","Schleswig-Holstein","Not Employed","7","","",""
"Min 1x per month","1990","Schleswig-Holstein","Employed","5","","",""
"Min 1x per month","1990","Hamburg","Not Employed","2","","",""
"Min 1x per month","1990","Hamburg","Employed","3","","",""
"Min 1x per month","1990","Lower Saxony","Not Employed","40","0.124555064598696","0.0909083749794755","0.158201754217916"
"Min 1x per month","1990","Lower Saxony","Employed","33","0.0440935866698966","0.0277477490619841","0.0604394242778092"
"Min 1x per month","1990","Bremen","Not Employed","5","","",""
"Min 1x per month","1990","Bremen","Employed","5","","",""
"Min 1x per month","1990","North Rhine-Westphalia","Not Employed","124","0.132462944241361","0.111431260652787","0.153494627829935"
"Min 1x per month","1990","North Rhine-Westphalia","Employed","152","0.0916747748377709","0.0773780508212892","0.105971498854252"
"Min 1x per month","1990","Hesse","Not Employed","54","0.163385527942612","0.123675933317129","0.203095122568096"
"Min 1x per month","1990","Hesse","Employed","79","0.0996142245359912","0.0764839839943563","0.122744465077626"
"Min 1x per month","1990","Rhineland-Palatinate,Saarland","Not Employed","35","0.158979978485962","0.115202063014883","0.20275789395704"
"Min 1x per month","1990","Rhineland-Palatinate,Saarland","Employed","48","0.124253644817817","0.0920074255893788","0.156499864046255"
"Min 1x per month","1990","Baden-Württemberg","Not Employed","79","0.143160222050412","0.113370817514075","0.172949626586749"
"Min 1x per month","1990","Baden-Württemberg","Employed","185","0.132438088297033","0.113677087024236","0.15119908956983"
"Min 1x per month","1990","Bavaria","Not Employed","87","0.182217685354177","0.148038306106975","0.21639706460138"
