"pli0098_h","year","e11103","education","n","percent","lower_confidence","upper_confidence"
"Daily","1990","Full Time","lower secondary degree","9","","",""
"Daily","1990","Full Time","secondary school degree","2","","",""
"Daily","1990","Full Time","college entrance qualification","2","","",""
"Daily","1990","Full Time","Other degree","12","","",""
"Daily","1990","Full Time","no degree/no degree yet","5","","",""
"Daily","1990","Part Time","lower secondary degree","6","","",""
"Daily","1990","Part Time","secondary school degree","1","","",""
"Daily","1990","Part Time","college entrance qualification","2","","",""
"Daily","1990","Part Time","Other degree","","","",""
"Daily","1990","Part Time","no degree/no degree yet","1","","",""
"Daily","1990","Not Working","lower secondary degree","26","","",""
"Daily","1990","Not Working","secondary school degree","","","",""
"Daily","1990","Not Working","college entrance qualification","1","","",""
"Daily","1990","Not Working","Other degree","3","","",""
"Daily","1990","Not Working","no degree/no degree yet","7","","",""
"Min 1x per week","1990","Full Time","lower secondary degree","218","0.105987769863745","0.0923252630239671","0.119650276703523"
"Min 1x per week","1990","Full Time","secondary school degree","87","0.0839487985212471","0.0656475417120233","0.102250055330471"
"Min 1x per week","1990","Full Time","college entrance qualification","67","0.110400143202151","0.0852192124517549","0.135581073952547"
"Min 1x per week","1990","Full Time","Other degree","99","0.168849142123535","0.139217667600064","0.198480616647007"
"Min 1x per week","1990","Full Time","no degree/no degree yet","37","0.110572446122054","0.0740997667018803","0.147045125542227"
"Min 1x per week","1990","Part Time","lower secondary degree","85","0.107448264482728","0.0857709009115107","0.129125628053946"
"Min 1x per week","1990","Part Time","secondary school degree","41","0.112809242764323","0.0791325768732387","0.146485908655408"
"Min 1x per week","1990","Part Time","college entrance qualification","39","0.127705231398552","0.089357685613226","0.166052777183878"
"Min 1x per week","1990","Part Time","Other degree","20","","",""
"Min 1x per week","1990","Part Time","no degree/no degree yet","14","","",""
"Min 1x per week","1990","Not Working","lower secondary degree","359","0.205358868481689","0.186676274455815","0.224041462507563"
"Min 1x per week","1990","Not Working","secondary school degree","94","0.200949811869009","0.164331357752184","0.237568265985835"
"Min 1x per week","1990","Not Working","college entrance qualification","58","0.188573462066516","0.145444456902118","0.231702467230915"
"Min 1x per week","1990","Not Working","Other degree","48","0.151833985927817","0.107701726498721","0.195966245356913"
"Min 1x per week","1990","Not Working","no degree/no degree yet","96","0.175595426874585","0.139337355126446","0.211853498622723"
"Min 1x per month","1990","Full Time","lower secondary degree","203","0.0969821881619783","0.0838473437405754","0.110117032583381"
"Min 1x per month","1990","Full Time","secondary school degree","72","0.0758046649131944","0.0583366461134401","0.0932726837129487"
"Min 1x per month","1990","Full Time","college entrance qualification","55","0.0873434937319544","0.0646574604391476","0.110029527024761"
"Min 1x per month","1990","Full Time","Other degree","75","0.113512468285349","0.088421235192043","0.138603701378655"
"Min 1x per month","1990","Full Time","no degree/no degree yet","44","0.130769915060581","0.0915587075642704","0.169981122556891"
"Min 1x per month","1990","Part Time","lower secondary degree","107","0.134905262605851","0.110992137245818","0.158818387965884"
"Min 1x per month","1990","Part Time","secondary school degree","43","0.13169832937227","0.0957007172443597","0.167695941500179"
"Min 1x per month","1990","Part Time","college entrance qualification","37","0.106576070551124","0.0711224788684096","0.142029662233838"
"Min 1x per month","1990","Part Time","Other degree","25","","",""
"Min 1x per month","1990","Part Time","no degree/no degree yet","16","","",""
"Min 1x per month","1990","Not Working","lower secondary degree","239","0.143389663406011","0.127181063478191","0.159598263333832"
"Min 1x per month","1990","Not Working","secondary school degree","74","0.168248149171366","0.134062706274841","0.202433592067892"
"Min 1x per month","1990","Not Working","college entrance qualification","28","","",""
"Min 1x per month","1990","Not Working","Other degree","30","0.100250351375306","0.0633156129793957","0.137185089771216"
"Min 1x per month","1990","Not Working","no degree/no degree yet","57","0.129591782170424","0.0975860232321432","0.161597541108705"
"Rarely","1990","Full Time","lower secondary degree","701","0.358540966066212","0.337255427633647","0.379826504498778"
"Rarely","1990","Full Time","secondary school degree","279","0.313735292283527","0.283112744655115","0.344357839911939"
"Rarely","1990","Full Time","college entrance qualification","199","0.33539704275076","0.297461145759512","0.373332939742008"
"Rarely","1990","Full Time","Other degree","167","0.252135864601858","0.217788567119663","0.286483162084053"
"Rarely","1990","Full Time","no degree/no degree yet","70","0.237628291553662","0.188126447296056","0.287130135811267"
"Rarely","1990","Part Time","lower secondary degree","284","0.363413448978937","0.329745296378116","0.397081601579759"
"Rarely","1990","Part Time","secondary school degree","124","0.362184773902838","0.311021211284021","0.413348336521654"
"Rarely","1990","Part Time","college entrance qualification","87","0.281616078673296","0.229937730719958","0.333294426626635"
"Rarely","1990","Part Time","Other degree","38","0.320826222965207","0.242374222767078","0.399278223163335"
"Rarely","1990","Part Time","no degree/no degree yet","36","0.356055869762403","0.271434762339707","0.4406769771851"
"Rarely","1990","Not Working","lower secondary degree","540","0.283370101609876","0.262529061017736","0.304211142202016"
"Rarely","1990","Not Working","secondary school degree","140","0.2800886708612","0.239053480680628","0.321123861041772"
"Rarely","1990","Not Working","college entrance qualification","79","0.261969800100874","0.213489284418035","0.310450315783714"
"Rarely","1990","Not Working","Other degree","61","0.287694849214187","0.232023683096275","0.343366015332098"
"Rarely","1990","Not Working","no degree/no degree yet","96","0.3132189787459","0.269020117056866","0.357417840434935"
"Never","1990","Full Time","lower secondary degree","819","0.435179499525247","0.413174557678326","0.457184441372169"
"Never","1990","Full Time","secondary school degree","442","0.523520251325885","0.490559070254583","0.556481432397186"
"Never","1990","Full Time","college entrance qualification","272","0.459002918836655","0.418962852090522","0.499042985582787"
"Never","1990","Full Time","Other degree","261","0.44701409045307","0.407687930206899","0.48634025069924"
"Never","1990","Full Time","no degree/no degree yet","128","0.506318170969267","0.44817158117649","0.564464760762044"
"Never","1990","Part Time","lower secondary degree","302","0.386305377976562","0.352222866036375","0.42038788991675"
"Never","1990","Part Time","secondary school degree","130","0.389235215380742","0.337332354242086","0.441138076519398"
"Never","1990","Part Time","college entrance qualification","126","0.474507999770515","0.417135150258158","0.531880849282873"
"Never","1990","Part Time","Other degree","53","0.403979416680048","0.321510766771204","0.486448066588892"
"Never","1990","Part Time","no degree/no degree yet","56","0.506804134091633","0.418450315632264","0.595157952551002"
"Never","1990","Not Working","lower secondary degree","632","0.355089714890799","0.332958073575005","0.377221356206594"
"Never","1990","Not Working","secondary school degree","152","0.350713368098424","0.307105629478636","0.394321106718213"
"Never","1990","Not Working","college entrance qualification","150","0.459395874902299","0.40444966094514","0.514342088859458"
"Never","1990","Not Working","Other degree","112","0.44860917283282","0.387445286021254","0.509773059644386"
"Never","1990","Not Working","no degree/no degree yet","167","0.373556222533406","0.327456645075414","0.419655799991398"
"Daily","1991","Full Time","lower secondary degree","","","",""
"Daily","1991","Full Time","secondary school degree","","","",""
"Daily","1991","Full Time","college entrance qualification","","","",""
"Daily","1991","Full Time","Other degree","","","",""
"Daily","1991","Full Time","no degree/no degree yet","","","",""
"Daily","1991","Part Time","lower secondary degree","","","",""
"Daily","1991","Part Time","secondary school degree","","","",""
"Daily","1991","Part Time","college entrance qualification","","","",""
"Daily","1991","Part Time","Other degree","","","",""
"Daily","1991","Part Time","no degree/no degree yet","","","",""
"Daily","1991","Not Working","lower secondary degree","","","",""
"Daily","1991","Not Working","secondary school degree","","","",""
"Daily","1991","Not Working","college entrance qualification","","","",""
"Daily","1991","Not Working","Other degree","","","",""
"Daily","1991","Not Working","no degree/no degree yet","","","",""
"Min 1x per week","1991","Full Time","lower secondary degree","","","",""
"Min 1x per week","1991","Full Time","secondary school degree","","","",""
"Min 1x per week","1991","Full Time","college entrance qualification","","","",""
"Min 1x per week","1991","Full Time","Other degree","","","",""
"Min 1x per week","1991","Full Time","no degree/no degree yet","","","",""
"Min 1x per week","1991","Part Time","lower secondary degree","","","",""
"Min 1x per week","1991","Part Time","secondary school degree","","","",""
"Min 1x per week","1991","Part Time","college entrance qualification","","","",""
"Min 1x per week","1991","Part Time","Other degree","","","",""
"Min 1x per week","1991","Part Time","no degree/no degree yet","","","",""
"Min 1x per week","1991","Not Working","lower secondary degree","","","",""
"Min 1x per week","1991","Not Working","secondary school degree","","","",""
"Min 1x per week","1991","Not Working","college entrance qualification","","","",""
"Min 1x per week","1991","Not Working","Other degree","","","",""
"Min 1x per week","1991","Not Working","no degree/no degree yet","","","",""
"Min 1x per month","1991","Full Time","lower secondary degree","","","",""
"Min 1x per month","1991","Full Time","secondary school degree","","","",""
"Min 1x per month","1991","Full Time","college entrance qualification","","","",""
"Min 1x per month","1991","Full Time","Other degree","","","",""
"Min 1x per month","1991","Full Time","no degree/no degree yet","","","",""
"Min 1x per month","1991","Part Time","lower secondary degree","","","",""
"Min 1x per month","1991","Part Time","secondary school degree","","","",""
"Min 1x per month","1991","Part Time","college entrance qualification","","","",""
"Min 1x per month","1991","Part Time","Other degree","","","",""
"Min 1x per month","1991","Part Time","no degree/no degree yet","","","",""
"Min 1x per month","1991","Not Working","lower secondary degree","","","",""
"Min 1x per month","1991","Not Working","secondary school degree","","","",""
"Min 1x per month","1991","Not Working","college entrance qualification","","","",""
"Min 1x per month","1991","Not Working","Other degree","","","",""
"Min 1x per month","1991","Not Working","no degree/no degree yet","","","",""
"Rarely","1991","Full Time","lower secondary degree","","","",""
"Rarely","1991","Full Time","secondary school degree","","","",""
