"pli0098_h","year","bula_h","education","n","percent","lower_confidence","upper_confidence"
"Daily","1990","Schleswig-Holstein","lower secondary degree","","","",""
"Daily","1990","Schleswig-Holstein","secondary school degree","","","",""
"Daily","1990","Schleswig-Holstein","college entrance qualification","","","",""
"Daily","1990","Schleswig-Holstein","Other degree","","","",""
"Daily","1990","Schleswig-Holstein","no degree/no degree yet","","","",""
"Daily","1990","Hamburg","lower secondary degree","","","",""
"Daily","1990","Hamburg","secondary school degree","","","",""
"Daily","1990","Hamburg","college entrance qualification","1","","",""
"Daily","1990","Hamburg","Other degree","","","",""
"Daily","1990","Hamburg","no degree/no degree yet","","","",""
"Daily","1990","Lower Saxony","lower secondary degree","2","","",""
"Daily","1990","Lower Saxony","secondary school degree","","","",""
"Daily","1990","Lower Saxony","college entrance qualification","1","","",""
"Daily","1990","Lower Saxony","Other degree","1","","",""
"Daily","1990","Lower Saxony","no degree/no degree yet","","","",""
"Daily","1990","Bremen","lower secondary degree","1","","",""
"Daily","1990","Bremen","secondary school degree","","","",""
"Daily","1990","Bremen","college entrance qualification","","","",""
"Daily","1990","Bremen","Other degree","","","",""
"Daily","1990","Bremen","no degree/no degree yet","","","",""
"Daily","1990","North Rhine-Westphalia","lower secondary degree","15","","",""
"Daily","1990","North Rhine-Westphalia","secondary school degree","2","","",""
"Daily","1990","North Rhine-Westphalia","college entrance qualification","3","","",""
"Daily","1990","North Rhine-Westphalia","Other degree","11","","",""
"Daily","1990","North Rhine-Westphalia","no degree/no degree yet","7","","",""
"Daily","1990","Hesse","lower secondary degree","4","","",""
"Daily","1990","Hesse","secondary school degree","1","","",""
"Daily","1990","Hesse","college entrance qualification","","","",""
"Daily","1990","Hesse","Other degree","1","","",""
"Daily","1990","Hesse","no degree/no degree yet","3","","",""
"Daily","1990","Rhineland-Palatinate,Saarland","lower secondary degree","1","","",""
"Daily","1990","Rhineland-Palatinate,Saarland","secondary school degree","","","",""
"Daily","1990","Rhineland-Palatinate,Saarland","college entrance qualification","","","",""
"Daily","1990","Rhineland-Palatinate,Saarland","Other degree","","","",""
"Daily","1990","Rhineland-Palatinate,Saarland","no degree/no degree yet","","","",""
"Daily","1990","Baden-Württemberg","lower secondary degree","7","","",""
"Daily","1990","Baden-Württemberg","secondary school degree","","","",""
"Daily","1990","Baden-Württemberg","college entrance qualification","","","",""
"Daily","1990","Baden-Württemberg","Other degree","1","","",""
"Daily","1990","Baden-Württemberg","no degree/no degree yet","2","","",""
"Daily","1990","Bavaria","lower secondary degree","11","","",""
"Daily","1990","Bavaria","secondary school degree","","","",""
"Daily","1990","Bavaria","college entrance qualification","","","",""
"Daily","1990","Bavaria","Other degree","","","",""
"Daily","1990","Bavaria","no degree/no degree yet","1","","",""
"Daily","1990","Berlin","lower secondary degree","","","",""
"Daily","1990","Berlin","secondary school degree","","","",""
"Daily","1990","Berlin","college entrance qualification","","","",""
"Daily","1990","Berlin","Other degree","1","","",""
"Daily","1990","Berlin","no degree/no degree yet","","","",""
"Daily","1990","Brandenburg","lower secondary degree","","","",""
"Daily","1990","Brandenburg","secondary school degree","","","",""
"Daily","1990","Brandenburg","college entrance qualification","","","",""
"Daily","1990","Brandenburg","Other degree","","","",""
"Daily","1990","Brandenburg","no degree/no degree yet","","","",""
"Daily","1990","Mecklenburg-Western Pomerania","lower secondary degree","","","",""
"Daily","1990","Mecklenburg-Western Pomerania","secondary school degree","","","",""
"Daily","1990","Mecklenburg-Western Pomerania","college entrance qualification","","","",""
"Daily","1990","Mecklenburg-Western Pomerania","Other degree","","","",""
"Daily","1990","Mecklenburg-Western Pomerania","no degree/no degree yet","","","",""
