"pli0098_h","year","n","percent","lower_confidence","upper_confidence","value"
"Min 1x per month","2007","1845","0.0866405971107766","0.0827911894986785","0.0904900047228746","3"
"Min 1x per week","2007","1772","0.0858863666687731","0.0820521686465172","0.089720564691029","2"
"Never","2007","10869","0.540782080516017","0.533962888966681","0.547601272065352","5"
"Rarely","2007","6029","0.286690955704434","0.280502843328446","0.292879068080421","4"
"Daily","2008","78","0.00389483796847943","0.00301717586873792","0.00477250006822093","1"
"Min 1x per month","2008","1754","0.08556783724053","0.0816263413720993","0.0895093331089608","3"
"Min 1x per week","2008","1507","0.0791016364866386","0.0752986162490933","0.082904656724184","2"
"Never","2008","10171","0.532991789802875","0.525961834412911","0.540021745192838","5"
"Rarely","2008","5838","0.298443898501477","0.291996379853317","0.304891417149638","4"
"Daily","2009","","","","","1"
"Min 1x per month","2009","1604","0.084694352927675","0.0806306271136398","0.0887580787417102","3"
"Min 1x per week","2009","1414","0.0772606077807606","0.0733635872802098","0.0811576282813114","2"
"Never","2009","9709","0.548451428802978","0.54118810472717","0.555714752878785","5"
"Rarely","2009","5306","0.289593610488587","0.282973549097755","0.296213671879418","4"
"Daily","2010","","","","","1"
"Min 1x per month","2010","","","","","3"
"Min 1x per week","2010","","","","","2"
"Never","2010","","","","","5"
"Rarely","2010","","","","","4"
"Daily","2011","","","","","1"
"Min 1x per month","2011","2747","0.0865041465838164","0.0832353776087946","0.0897729155588382","3"
"Min 1x per week","2011","2430","0.0809158769394903","0.0777447985447631","0.0840869553342175","2"
"Never","2011","15586","0.561816003658044","0.556046508898695","0.567585498417393","5"
"Rarely","2011","7647","0.270763972818649","0.265596931062338","0.275931014574961","4"
"Daily","2012","","","","","1"
"Min 1x per month","2012","","","","","3"
"Min 1x per week","2012","","","","","2"
"Never","2012","","","","","5"
"Rarely","2012","","","","","4"
"Daily","2013","54","0.00204190567442794","0.00148780834587293","0.00259600300298295","1"
"Min 1x per month","2013","2372","0.0842366889233553","0.0808274744013475","0.0876459034453631","3"
"Min 1x per week","2013","2092","0.080616103608835","0.0772743731748804","0.0839578340427897","2"
"Never","2013","14072","0.566733538902922","0.560651081739387","0.572815996066457","5"
"Rarely","2013","6906","0.26637176289046","0.260945583123143","0.271797942657777","4"
"Daily","2014","","","","","1"
"Min 1x per month","2014","","","","","3"
"Min 1x per week","2014","","","","","2"
"Never","2014","","","","","5"
"Rarely","2014","","","","","4"
"Daily","2015","","","","","1"
"Min 1x per month","2015","2469","0.0775172600978309","0.0743195353128297","0.0807149848828321","3"
"Min 1x per week","2015","2130","0.0777424679493877","0.0745404923456364","0.080944443553139","2"
"Never","2015","15365","0.589426380375597","0.583543729738713","0.595309031012482","5"
"Rarely","2015","6900","0.255313891577184","0.250099704601142","0.260528078553226","4"
"Daily","2016","","","","","1"
"Min 1x per month","2016","","","","","3"
"Min 1x per week","2016","","","","","2"
"Never","2016","","","","","5"
"Rarely","2016","","","","","4"
"Daily","2017","39","0.000135043941645681","8.01787592425341e-06","0.00026207000736711","1"
"Min 1x per month","2017","2795","0.082380985774531","0.0793753986949602","0.0853865728541019","3"
"Min 1x per week","2017","3030","0.0786604885749742","0.0757176069811785","0.0816033701687699","2"
"Never","2017","18788","0.597898481155461","0.592538463716284","0.603258498594638","5"
"Rarely","2017","7494","0.240925000553388","0.236250148198973","0.245599852907803","4"
"Daily","2018","23","","","","1"
"Min 1x per month","2018","374","0.11152262424869","0.101583382284231","0.121461866213149","3"
"Min 1x per week","2018","671","0.21277860565922","0.199855675118852","0.225701536199589","2"
"Never","2018","2092","0.492409342168595","0.476623471562627","0.508195212774564","5"
"Rarely","2018","693","0.175075336762012","0.163075696796072","0.187074976727952","4"
"Daily","2019","73","0.00245938991922523","0.00189242014405431","0.00302635969439614","1"
"Min 1x per month","2019","2381","0.0739075446709797","0.0709128504735548","0.0769022388684047","3"
"Min 1x per week","2019","2313","0.0723934484815785","0.0694271663417444","0.0753597306214127","2"
"Never","2019","17035","0.595949898587586","0.59033291175338","0.601566885421791","5"
"Rarely","2019","7516","0.255289718340631","0.250298675958121","0.260280760723141","4"
