"pli0098_h","year","pgisced97","sex","n","percent","lower_confidence","upper_confidence"
"Daily","1990","in school","Male","","","",""
"Daily","1990","in school","Female","","","",""
"Daily","1990","inadequately","Male","6","","",""
"Daily","1990","inadequately","Female","6","","",""
"Daily","1990","general elemantary","Male","11","","",""
"Daily","1990","general elemantary","Female","17","","",""
"Daily","1990","middle vocational","Male","14","","",""
"Daily","1990","middle vocational","Female","15","","",""
"Daily","1990","vocational + Abi","Male","1","","",""
"Daily","1990","vocational + Abi","Female","","","",""
"Daily","1990","higher vocational","Male","1","","",""
"Daily","1990","higher vocational","Female","1","","",""
"Daily","1990","higher education","Male","2","","",""
"Daily","1990","higher education","Female","3","","",""
"Min 1x per week","1990","in school","Male","25","","",""
"Min 1x per week","1990","in school","Female","9","","",""
"Min 1x per week","1990","inadequately","Male","38","0.106388377726411","0.0689816830442327","0.14379507240859"
"Min 1x per week","1990","inadequately","Female","78","0.161153550887219","0.124137536020828","0.198169565753609"
"Min 1x per week","1990","general elemantary","Male","118","0.10702326781779","0.0878723220054045","0.126174213630175"
"Min 1x per week","1990","general elemantary","Female","324","0.183042764866253","0.165983886911578","0.200101642820927"
"Min 1x per week","1990","middle vocational","Male","344","0.103295454922176","0.0934328523647594","0.113158057479593"
"Min 1x per week","1990","middle vocational","Female","331","0.114782181964957","0.104021717282981","0.125542646646934"
"Min 1x per week","1990","vocational + Abi","Male","22","","",""
"Min 1x per week","1990","vocational + Abi","Female","18","","",""
"Min 1x per week","1990","higher vocational","Male","42","0.10788695243116","0.0806119809635275","0.135161923898792"
"Min 1x per week","1990","higher vocational","Female","43","0.173631062071552","0.128195786823796","0.219066337319308"
"Min 1x per week","1990","higher education","Male","76","0.0942574889225739","0.0752943170784875","0.11322066076666"
"Min 1x per week","1990","higher education","Female","65","0.120758042037234","0.0975766539965782","0.143939430077891"
"Min 1x per month","1990","in school","Male","8","","",""
"Min 1x per month","1990","in school","Female","13","","",""
"Min 1x per month","1990","inadequately","Male","44","0.130411264446349","0.0895565346121665","0.171265994280532"
"Min 1x per month","1990","inadequately","Female","49","0.121977366588532","0.0890299802744149","0.154924752902649"
"Min 1x per month","1990","general elemantary","Male","97","0.093740239302387","0.0756842857135564","0.111796192891218"
"Min 1x per month","1990","general elemantary","Female","257","0.136603966464996","0.12145401657602","0.151753916353973"
"Min 1x per month","1990","middle vocational","Male","282","0.0820875569630791","0.0731921558871338","0.0909829580390244"
"Min 1x per month","1990","middle vocational","Female","352","0.121564159900439","0.110532864495182","0.132595455305696"
"Min 1x per month","1990","vocational + Abi","Male","16","","",""
"Min 1x per month","1990","vocational + Abi","Female","13","","",""
"Min 1x per month","1990","higher vocational","Male","33","0.0685538516141388","0.0463379111797408","0.0907697920485368"
"Min 1x per month","1990","higher vocational","Female","32","0.116310042714313","0.077855201034722","0.154764884393904"
"Min 1x per month","1990","higher education","Male","65","0.0893664660969336","0.0708520600719154","0.107880872121952"
"Min 1x per month","1990","higher education","Female","52","0.081046924623319","0.0616317124578366","0.100462136788801"
"Rarely","1990","in school","Male","36","0.417154188638991","0.325424114219901","0.50888426305808"
"Rarely","1990","in school","Female","19","","",""
"Rarely","1990","inadequately","Male","58","0.256523009196063","0.203541446156841","0.309504572235285"
"Rarely","1990","inadequately","Female","82","0.233967231897469","0.191345638834222","0.276588824960715"
"Rarely","1990","general elemantary","Male","258","0.272769050959838","0.245178220336304","0.300359881583373"
"Rarely","1990","general elemantary","Female","533","0.270275592905849","0.250684558497206","0.289866627314492"
"Rarely","1990","middle vocational","Male","959","0.284342503059411","0.269724106327986","0.298960899790836"
"Rarely","1990","middle vocational","Female","942","0.295536745153451","0.28013380492038","0.310939685386521"
"Rarely","1990","vocational + Abi","Male","61","0.314809335771763","0.252290672945409","0.377327998598116"
"Rarely","1990","vocational + Abi","Female","49","0.277198374860197","0.208270405564551","0.346126344155844"
"Rarely","1990","higher vocational","Male","147","0.301397830698783","0.261056063145623","0.341739598251943"
"Rarely","1990","higher vocational","Female","94","0.330637920242015","0.274209311436877","0.387066529047153"
"Rarely","1990","higher education","Male","232","0.288661554329644","0.259252349268546","0.318070759390743"
"Rarely","1990","higher education","Female","162","0.242669800357951","0.212171354637517","0.273168246078385"
"Never","1990","in school","Male","42","0.297582711658615","0.21253002315719","0.382635400160039"
"Never","1990","in school","Female","38","0.382684515646562","0.275505793280153","0.489863238012971"
"Never","1990","inadequately","Male","115","0.493645072761109","0.432990609940522","0.554299535581697"
"Never","1990","inadequately","Female","164","0.47096098191316","0.420707656919204","0.521214306907116"
"Never","1990","general elemantary","Male","517","0.518046793888188","0.487092707931369","0.549000879845006"
"Never","1990","general elemantary","Female","843","0.399758281452066","0.378149198333472","0.421367364570661"
"Never","1990","middle vocational","Male","2059","0.527145206188496","0.510966072287566","0.543324340089425"
"Never","1990","middle vocational","Female","1731","0.463335429458837","0.446502181048155","0.480168677869518"
"Never","1990","vocational + Abi","Male","112","0.511790154256404","0.444503429253082","0.579076879259725"
"Never","1990","vocational + Abi","Female","82","0.554789549067809","0.478258547911691","0.631320550223927"
"Never","1990","higher vocational","Male","274","0.520750539726979","0.47683021147876","0.564670867975198"
"Never","1990","higher vocational","Female","97","0.374562457334833","0.316506531335725","0.43261838333394"
"Never","1990","higher education","Male","537","0.520513692411749","0.48809056850872","0.552936816314779"
"Never","1990","higher education","Female","477","0.54245960301285","0.507016998693805","0.577902207331895"
"Daily","1991","in school","Male","","","",""
"Daily","1991","in school","Female","","","",""
"Daily","1991","inadequately","Male","","","",""
"Daily","1991","inadequately","Female","","","",""
"Daily","1991","general elemantary","Male","","","",""
"Daily","1991","general elemantary","Female","","","",""
"Daily","1991","middle vocational","Male","","","",""
"Daily","1991","middle vocational","Female","","","",""
"Daily","1991","vocational + Abi","Male","","","",""
"Daily","1991","vocational + Abi","Female","","","",""
"Daily","1991","higher vocational","Male","","","",""
"Daily","1991","higher vocational","Female","","","",""
"Daily","1991","higher education","Male","","","",""
"Daily","1991","higher education","Female","","","",""
"Min 1x per week","1991","in school","Male","","","",""
"Min 1x per week","1991","in school","Female","","","",""
"Min 1x per week","1991","inadequately","Male","","","",""
"Min 1x per week","1991","inadequately","Female","","","",""
"Min 1x per week","1991","general elemantary","Male","","","",""
"Min 1x per week","1991","general elemantary","Female","","","",""
"Min 1x per week","1991","middle vocational","Male","","","",""
"Min 1x per week","1991","middle vocational","Female","","","",""
"Min 1x per week","1991","vocational + Abi","Male","","","",""
"Min 1x per week","1991","vocational + Abi","Female","","","",""
"Min 1x per week","1991","higher vocational","Male","","","",""
"Min 1x per week","1991","higher vocational","Female","","","",""
"Min 1x per week","1991","higher education","Male","","","",""
"Min 1x per week","1991","higher education","Female","","","",""
"Min 1x per month","1991","in school","Male","","","",""
"Min 1x per month","1991","in school","Female","","","",""
"Min 1x per month","1991","inadequately","Male","","","",""
"Min 1x per month","1991","inadequately","Female","","","",""
"Min 1x per month","1991","general elemantary","Male","","","",""
"Min 1x per month","1991","general elemantary","Female","","","",""
"Min 1x per month","1991","middle vocational","Male","","","",""
"Min 1x per month","1991","middle vocational","Female","","","",""
"Min 1x per month","1991","vocational + Abi","Male","","","",""
"Min 1x per month","1991","vocational + Abi","Female","","","",""
"Min 1x per month","1991","higher vocational","Male","","","",""
"Min 1x per month","1991","higher vocational","Female","","","",""
"Min 1x per month","1991","higher education","Male","","","",""
"Min 1x per month","1991","higher education","Female","","","",""
"Rarely","1991","in school","Male","","","",""
"Rarely","1991","in school","Female","","","",""
"Rarely","1991","inadequately","Male","","","",""
"Rarely","1991","inadequately","Female","","","",""
"Rarely","1991","general elemantary","Male","","","",""
"Rarely","1991","general elemantary","Female","","","",""
"Rarely","1991","middle vocational","Male","","","",""
"Rarely","1991","middle vocational","Female","","","",""
"Rarely","1991","vocational + Abi","Male","","","",""
"Rarely","1991","vocational + Abi","Female","","","",""
"Rarely","1991","higher vocational","Male","","","",""
"Rarely","1991","higher vocational","Female","","","",""
"Rarely","1991","higher education","Male","","","",""
"Rarely","1991","higher education","Female","","","",""
"Never","1991","in school","Male","","","",""
"Never","1991","in school","Female","","","",""
"Never","1991","inadequately","Male","","","",""
"Never","1991","inadequately","Female","","","",""
"Never","1991","general elemantary","Male","","","",""
"Never","1991","general elemantary","Female","","","",""
"Never","1991","middle vocational","Male","","","",""
"Never","1991","middle vocational","Female","","","",""
"Never","1991","vocational + Abi","Male","","","",""
"Never","1991","vocational + Abi","Female","","","",""
"Never","1991","higher vocational","Male","","","",""
"Never","1991","higher vocational","Female","","","",""
"Never","1991","higher education","Male","","","",""
"Never","1991","higher education","Female","","","",""
"Daily","1992","in school","Male","","","",""
"Daily","1992","in school","Female","","","",""
"Daily","1992","inadequately","Male","","","",""
"Daily","1992","inadequately","Female","","","",""
"Daily","1992","general elemantary","Male","","","",""
"Daily","1992","general elemantary","Female","","","",""
"Daily","1992","middle vocational","Male","","","",""
"Daily","1992","middle vocational","Female","","","",""
"Daily","1992","vocational + Abi","Male","","","",""
"Daily","1992","vocational + Abi","Female","","","",""
"Daily","1992","higher vocational","Male","","","",""
"Daily","1992","higher vocational","Female","","","",""
"Daily","1992","higher education","Male","","","",""
"Daily","1992","higher education","Female","","","",""
"Min 1x per week","1992","in school","Male","12","","",""
"Min 1x per week","1992","in school","Female","11","","",""
"Min 1x per week","1992","inadequately","Male","41","0.142257169872473","0.0992988919735621","0.185215447771383"
"Min 1x per week","1992","inadequately","Female","76","0.152319976022392","0.115902763909271","0.188737188135514"
"Min 1x per week","1992","general elemantary","Male","113","0.115457982315561","0.0953262277051115","0.13558973692601"
"Min 1x per week","1992","general elemantary","Female","274","0.166112534207067","0.148975963419667","0.183249104994468"
"Min 1x per week","1992","middle vocational","Male","292","0.0942429074421876","0.0844510462657631","0.104034768618612"
"Min 1x per week","1992","middle vocational","Female","281","0.100413317662128","0.0901088814770243","0.110717753847231"
"Min 1x per week","1992","vocational + Abi","Male","27","","",""
"Min 1x per week","1992","vocational + Abi","Female","16","","",""
"Min 1x per week","1992","higher vocational","Male","43","0.098324414020104","0.0719607426260344","0.124688085414174"
"Min 1x per week","1992","higher vocational","Female","48","0.196228641693449","0.149204565583615","0.243252717803284"
"Min 1x per week","1992","higher education","Male","77","0.0950179727346321","0.075923536097614","0.11411240937165"
"Min 1x per week","1992","higher education","Female","67","0.131610176091602","0.107219602820168","0.156000749363035"
"Min 1x per month","1992","in school","Male","11","","",""
"Min 1x per month","1992","in school","Female","6","","",""
"Min 1x per month","1992","inadequately","Male","31","0.078897743837872","0.0457451549697416","0.112050332706002"
"Min 1x per month","1992","inadequately","Female","50","0.117213501706909","0.0846126496233271","0.149814353790491"
"Min 1x per month","1992","general elemantary","Male","91","0.0619339956772649","0.0467498045823929","0.0771181867721368"
"Min 1x per month","1992","general elemantary","Female","221","0.12686125532633","0.111537150059734","0.142185360592925"
"Min 1x per month","1992","middle vocational","Male","246","0.0689927326109292","0.0604987132460314","0.0774867519758269"
"Min 1x per month","1992","middle vocational","Female","285","0.0920297210799114","0.0821189616043663","0.101940480555456"
"Min 1x per month","1992","vocational + Abi","Male","12","","",""
"Min 1x per month","1992","vocational + Abi","Female","12","","",""
"Min 1x per month","1992","higher vocational","Male","28","","",""
"Min 1x per month","1992","higher vocational","Female","30","0.129700449861782","0.0899192452032056","0.169481654520359"
"Min 1x per month","1992","higher education","Male","57","0.0793251423523293","0.0617279831184349","0.0969223015862237"
"Min 1x per month","1992","higher education","Female","40","0.068886960340489","0.0506148114527291","0.0871591092282488"
"Rarely","1992","in school","Male","24","","",""
"Rarely","1992","in school","Female","21","","",""
"Rarely","1992","inadequately","Male","68","0.257485585782943","0.20371309693824","0.311258074627646"
"Rarely","1992","inadequately","Female","78","0.188282161753136","0.148661710009154","0.227902613497118"
"Rarely","1992","general elemantary","Male","222","0.247311153966412","0.220131745250473","0.274490562682351"
"Rarely","1992","general elemantary","Female","464","0.272222227127235","0.251728064434005","0.292716389820465"
"Rarely","1992","middle vocational","Male","857","0.271385407839878","0.256482287218702","0.286288528461055"
"Rarely","1992","middle vocational","Female","917","0.300356611104175","0.284639814522524","0.316073407685826"
"Rarely","1992","vocational + Abi","Male","54","0.281725146923307","0.221735079028364","0.341715214818249"
"Rarely","1992","vocational + Abi","Female","42","0.221405968698951","0.158808764585495","0.284003172812406"
"Rarely","1992","higher vocational","Male","143","0.316396719751968","0.275218448873634","0.357574990630302"
"Rarely","1992","higher vocational","Female","88","0.308438498074615","0.253752958214219","0.363124037935011"
"Rarely","1992","higher education","Male","208","0.24275566395357","0.214837510194023","0.270673817713117"
"Rarely","1992","higher education","Female","158","0.238421421213162","0.207678162038137","0.269164680388187"
