"pli0098_h","year","e11103","pgisced97","n","percent","lower_confidence","upper_confidence"
"Daily","1990","Full Time","in school","","","",""
"Daily","1990","Full Time","inadequately","4","","",""
"Daily","1990","Full Time","general elemantary","10","","",""
"Daily","1990","Full Time","middle vocational","12","","",""
"Daily","1990","Full Time","vocational + Abi","1","","",""
"Daily","1990","Full Time","higher vocational","","","",""
"Daily","1990","Full Time","higher education","3","","",""
"Daily","1990","Part Time","in school","","","",""
"Daily","1990","Part Time","inadequately","1","","",""
"Daily","1990","Part Time","general elemantary","1","","",""
"Daily","1990","Part Time","middle vocational","5","","",""
"Daily","1990","Part Time","vocational + Abi","","","",""
"Daily","1990","Part Time","higher vocational","2","","",""
"Daily","1990","Part Time","higher education","1","","",""
"Daily","1990","Not Working","in school","","","",""
"Daily","1990","Not Working","inadequately","7","","",""
"Daily","1990","Not Working","general elemantary","17","","",""
"Daily","1990","Not Working","middle vocational","12","","",""
"Daily","1990","Not Working","vocational + Abi","","","",""
"Daily","1990","Not Working","higher vocational","","","",""
"Daily","1990","Not Working","higher education","1","","",""
"Min 1x per week","1990","Full Time","in school","","","",""
"Min 1x per week","1990","Full Time","inadequately","37","0.122939821028775","0.0825574125373094","0.163322229520241"
"Min 1x per week","1990","Full Time","general elemantary","114","0.100841310422701","0.0811685977266031","0.1205140231188"
"Min 1x per week","1990","Full Time","middle vocational","259","0.0991891677528214","0.0870675497145736","0.111310785791069"
"Min 1x per week","1990","Full Time","vocational + Abi","15","","",""
"Min 1x per week","1990","Full Time","higher vocational","39","0.15317524243931","0.111361723112444","0.194988761766177"
"Min 1x per week","1990","Full Time","higher education","49","0.103745551028551","0.0749909980283444","0.132500104028758"
"Min 1x per week","1990","Part Time","in school","1","","",""
"Min 1x per week","1990","Part Time","inadequately","14","","",""
"Min 1x per week","1990","Part Time","general elemantary","58","0.127241826119612","0.0976145404179589","0.156869111821265"
"Min 1x per week","1990","Part Time","middle vocational","93","0.105238090965918","0.083853543037856","0.12662263889398"
"Min 1x per week","1990","Part Time","vocational + Abi","5","","",""
"Min 1x per week","1990","Part Time","higher vocational","7","","",""
"Min 1x per week","1990","Part Time","higher education","22","","",""
"Min 1x per week","1990","Not Working","in school","29","","",""
"Min 1x per week","1990","Not Working","inadequately","65","0.161948890135782","0.117676648361619","0.206221131909945"
"Min 1x per week","1990","Not Working","general elemantary","243","0.232169546853404","0.207023532681879","0.257315561024929"
"Min 1x per week","1990","Not Working","middle vocational","244","0.177654525621919","0.157725213857584","0.197583837386255"
"Min 1x per week","1990","Not Working","vocational + Abi","16","","",""
"Min 1x per week","1990","Not Working","higher vocational","31","0.207201963692656","0.139580157887011","0.274823769498302"
"Min 1x per week","1990","Not Working","higher education","28","","",""
"Min 1x per month","1990","Full Time","in school","","","",""
"Min 1x per month","1990","Full Time","inadequately","41","0.136708337596644","0.0944602060145621","0.178956469178726"
"Min 1x per month","1990","Full Time","general elemantary","108","0.0991640147167233","0.0796374093126866","0.11869062012076"
"Min 1x per month","1990","Full Time","middle vocational","224","0.0878729942045722","0.0763923292902144","0.0993536591189299"
"Min 1x per month","1990","Full Time","vocational + Abi","13","","",""
"Min 1x per month","1990","Full Time","higher vocational","26","","",""
"Min 1x per month","1990","Full Time","higher education","42","0.0998686673854419","0.0715955442472108","0.128141790523673"
"Min 1x per month","1990","Part Time","in school","","","",""
"Min 1x per month","1990","Part Time","inadequately","15","","",""
"Min 1x per month","1990","Part Time","general elemantary","75","0.161394393905082","0.128686463899802","0.194102323910361"
"Min 1x per month","1990","Part Time","middle vocational","98","0.111298045113598","0.0893810159686117","0.133215074258585"
"Min 1x per month","1990","Part Time","vocational + Abi","6","","",""
"Min 1x per month","1990","Part Time","higher vocational","11","","",""
"Min 1x per month","1990","Part Time","higher education","24","","",""
