"plh0225","year","e11103","pgcasmin","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Full Time","(0) in school","","","",""
"1 Strongly disagree","2005","Full Time","(1a) inadequately completed","3","","",""
"1 Strongly disagree","2005","Full Time","(1b) general elementary school","18","","",""
"1 Strongly disagree","2005","Full Time","(1c) basic vocational qualification","64","0.0421380529053378","0.0329004493573692","0.0513756564533065"
"1 Strongly disagree","2005","Full Time","(2b) intermediate general qualification","5","","",""
"1 Strongly disagree","2005","Full Time","(2a) intermediate vocational","43","0.018011834889742","0.0126301756832554","0.0233934940962285"
"1 Strongly disagree","2005","Full Time","(2c_gen) general maturity certificate","2","","",""
"1 Strongly disagree","2005","Full Time","(2c_voc) vocational maturity certificate","15","","",""
"1 Strongly disagree","2005","Full Time","(3a) lower tertiary education","6","","",""
"1 Strongly disagree","2005","Full Time","(3b) higher tertiary education","12","","",""
"1 Strongly disagree","2005","Part Time","(0) in school","","","",""
"1 Strongly disagree","2005","Part Time","(1a) inadequately completed","3","","",""
"1 Strongly disagree","2005","Part Time","(1b) general elementary school","15","","",""
"1 Strongly disagree","2005","Part Time","(1c) basic vocational qualification","30","0.0239026796874104","0.0148055639758427","0.0329997953989781"
"1 Strongly disagree","2005","Part Time","(2b) intermediate general qualification","3","","",""
"1 Strongly disagree","2005","Part Time","(2a) intermediate vocational","22","","",""
"1 Strongly disagree","2005","Part Time","(2c_gen) general maturity certificate","2","","",""
"1 Strongly disagree","2005","Part Time","(2c_voc) vocational maturity certificate","2","","",""
"1 Strongly disagree","2005","Part Time","(3a) lower tertiary education","5","","",""
"1 Strongly disagree","2005","Part Time","(3b) higher tertiary education","3","","",""
"1 Strongly disagree","2005","Not Working","(0) in school","3","","",""
"1 Strongly disagree","2005","Not Working","(1a) inadequately completed","15","","",""
"1 Strongly disagree","2005","Not Working","(1b) general elementary school","85","0.0828650414090112","0.066952639585674","0.0987774432323484"
"1 Strongly disagree","2005","Not Working","(1c) basic vocational qualification","125","0.0460711889358694","0.0382936737873258","0.0538487040844131"
"1 Strongly disagree","2005","Not Working","(2b) intermediate general qualification","7","","",""
"1 Strongly disagree","2005","Not Working","(2a) intermediate vocational","31","0.0324733298317514","0.0221703525268056","0.0427763071366972"
"1 Strongly disagree","2005","Not Working","(2c_gen) general maturity certificate","4","","",""
"1 Strongly disagree","2005","Not Working","(2c_voc) vocational maturity certificate","9","","",""
"1 Strongly disagree","2005","Not Working","(3a) lower tertiary education","13","","",""
"1 Strongly disagree","2005","Not Working","(3b) higher tertiary education","9","","",""
"2 on scale 1-7 ","2005","Full Time","(0) in school","","","",""
"2 on scale 1-7 ","2005","Full Time","(1a) inadequately completed","6","","",""
"2 on scale 1-7 ","2005","Full Time","(1b) general elementary school","21","","",""
"2 on scale 1-7 ","2005","Full Time","(1c) basic vocational qualification","113","0.0603951674268632","0.0494418835606109","0.0713484512931154"
"2 on scale 1-7 ","2005","Full Time","(2b) intermediate general qualification","13","","",""
"2 on scale 1-7 ","2005","Full Time","(2a) intermediate vocational","131","0.0615418604695901","0.0518171461848777","0.0712665747543025"
"2 on scale 1-7 ","2005","Full Time","(2c_gen) general maturity certificate","4","","",""
"2 on scale 1-7 ","2005","Full Time","(2c_voc) vocational maturity certificate","32","0.0507075143059686","0.0347261080950102","0.066688920516927"
"2 on scale 1-7 ","2005","Full Time","(3a) lower tertiary education","43","0.0416376599937784","0.028152927651628","0.0551223923359288"
"2 on scale 1-7 ","2005","Full Time","(3b) higher tertiary education","54","0.0562895501809135","0.0441861942812982","0.0683929060805287"
"2 on scale 1-7 ","2005","Part Time","(0) in school","4","","",""
"2 on scale 1-7 ","2005","Part Time","(1a) inadequately completed","5","","",""
"2 on scale 1-7 ","2005","Part Time","(1b) general elementary school","26","","",""
"2 on scale 1-7 ","2005","Part Time","(1c) basic vocational qualification","60","0.0620623420987692","0.0476930646755237","0.0764316195220146"
"2 on scale 1-7 ","2005","Part Time","(2b) intermediate general qualification","3","","",""
"2 on scale 1-7 ","2005","Part Time","(2a) intermediate vocational","74","0.0499666459815776","0.0381907288665036","0.0617425630966517"
"2 on scale 1-7 ","2005","Part Time","(2c_gen) general maturity certificate","13","","",""
"2 on scale 1-7 ","2005","Part Time","(2c_voc) vocational maturity certificate","19","","",""
"2 on scale 1-7 ","2005","Part Time","(3a) lower tertiary education","17","","",""
"2 on scale 1-7 ","2005","Part Time","(3b) higher tertiary education","18","","",""
"2 on scale 1-7 ","2005","Not Working","(0) in school","9","","",""
"2 on scale 1-7 ","2005","Not Working","(1a) inadequately completed","19","","",""
"2 on scale 1-7 ","2005","Not Working","(1b) general elementary school","89","0.07342939084694","0.058373458305869","0.0884853233880109"
"2 on scale 1-7 ","2005","Not Working","(1c) basic vocational qualification","217","0.084674725592598","0.0743463315393619","0.0950031196458341"
"2 on scale 1-7 ","2005","Not Working","(2b) intermediate general qualification","7","","",""
"2 on scale 1-7 ","2005","Not Working","(2a) intermediate vocational","67","0.0574179468109539","0.0438956248761689","0.070940268745739"
"2 on scale 1-7 ","2005","Not Working","(2c_gen) general maturity certificate","8","","",""
"2 on scale 1-7 ","2005","Not Working","(2c_voc) vocational maturity certificate","15","","",""
"2 on scale 1-7 ","2005","Not Working","(3a) lower tertiary education","12","","",""
"2 on scale 1-7 ","2005","Not Working","(3b) higher tertiary education","20","","",""
"3 on scale 1-7 ","2005","Full Time","(0) in school","","","",""
"3 on scale 1-7 ","2005","Full Time","(1a) inadequately completed","6","","",""
"3 on scale 1-7 ","2005","Full Time","(1b) general elementary school","44","0.138793293860742","0.102624629151187","0.174961958570298"
"3 on scale 1-7 ","2005","Full Time","(1c) basic vocational qualification","203","0.118543011829224","0.103679919742032","0.133406103916415"
"3 on scale 1-7 ","2005","Full Time","(2b) intermediate general qualification","13","","",""
"3 on scale 1-7 ","2005","Full Time","(2a) intermediate vocational","246","0.109805040448321","0.097153663646865","0.122456417249777"
"3 on scale 1-7 ","2005","Full Time","(2c_gen) general maturity certificate","15","","",""
"3 on scale 1-7 ","2005","Full Time","(2c_voc) vocational maturity certificate","66","0.106210831135623","0.0837678391003294","0.128653823170917"
"3 on scale 1-7 ","2005","Full Time","(3a) lower tertiary education","86","0.115162650818945","0.093613912205779","0.136711389432112"
"3 on scale 1-7 ","2005","Full Time","(3b) higher tertiary education","154","0.112463851643329","0.0958728718434977","0.129054831443161"
"3 on scale 1-7 ","2005","Part Time","(0) in school","6","","",""
"3 on scale 1-7 ","2005","Part Time","(1a) inadequately completed","10","","",""
"3 on scale 1-7 ","2005","Part Time","(1b) general elementary school","36","0.100661296343803","0.0689581078277345","0.132364484859872"
"3 on scale 1-7 ","2005","Part Time","(1c) basic vocational qualification","119","0.10955140401379","0.0909499341319693","0.128152873895611"
"3 on scale 1-7 ","2005","Part Time","(2b) intermediate general qualification","11","","",""
"3 on scale 1-7 ","2005","Part Time","(2a) intermediate vocational","132","0.0910356063516205","0.0754879728434429","0.106583239859798"
"3 on scale 1-7 ","2005","Part Time","(2c_gen) general maturity certificate","26","","",""
"3 on scale 1-7 ","2005","Part Time","(2c_voc) vocational maturity certificate","40","0.0978237277431642","0.0691379065149418","0.126509548971387"
"3 on scale 1-7 ","2005","Part Time","(3a) lower tertiary education","31","0.130792521014945","0.0951620098906557","0.166423032139235"
"3 on scale 1-7 ","2005","Part Time","(3b) higher tertiary education","53","0.0828786471332943","0.060613520333959","0.10514377393263"
"3 on scale 1-7 ","2005","Not Working","(0) in school","39","0.0709321739949165","0.0494974627558994","0.0923668852339335"
"3 on scale 1-7 ","2005","Not Working","(1a) inadequately completed","19","","",""
"3 on scale 1-7 ","2005","Not Working","(1b) general elementary school","171","0.149236625671351","0.128669408192892","0.16980384314981"
