"year","bula_h","hgtyp1hh","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","Baden-Württemberg","(Married) couple without C.","62.58","50.09","49","30","50","80","100","100","55.72","69.44","25","100","50","70"
"1984","Baden-Württemberg","1-pers.-HH","","","","","","","","","","","","","",""
"1984","Baden-Württemberg","Couple + C. GT 16 ","57.95","50","32","30","40","80","100","100","50.14","65.76","30","100","50","70"
"1984","Baden-Württemberg","Couple + C. LE 16","","","","","","","","","","","","","",""
"1984","Baden-Württemberg","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"1984","Baden-Württemberg","Single parent","","","","","","","","","","","","","",""
"1984","Bavaria","(Married) couple without C.","62.13","60","78","30","50","80","100","100","56.6","67.66","10","100","50","70"
"1984","Bavaria","1-pers.-HH","","","","","","","","","","","","","",""
"1984","Bavaria","Couple + C. GT 16 ","66.69","70","34","40","50","80","90","100","59.4","73.98","25","100","50","80"
"1984","Bavaria","Couple + C. LE 16","","","","","","","","","","","","","",""
"1984","Bavaria","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"1984","Bavaria","Single parent","","","","","","","","","","","","","",""
"1984","Berlin","(Married) couple without C.","","","","","","","","","","","","","",""
"1984","Berlin","1-pers.-HH","","","","","","","","","","","","","",""
"1984","Berlin","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"1984","Berlin","Couple + C. LE 16","","","","","","","","","","","","","",""
"1984","Berlin","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"1984","Berlin","Single parent","","","","","","","","","","","","","",""
"1984","Brandenburg","(Married) couple without C.","","","","","","","","","","","","","",""
"1984","Brandenburg","1-pers.-HH","","","","","","","","","","","","","",""
"1984","Brandenburg","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"1984","Brandenburg","Couple + C. LE 16","","","","","","","","","","","","","",""
"1984","Brandenburg","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"1984","Brandenburg","Single parent","","","","","","","","","","","","","",""
"1984","Bremen","(Married) couple without C.","","","","","","","","","","","","","",""
"1984","Bremen","1-pers.-HH","","","","","","","","","","","","","",""
"1984","Bremen","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"1984","Bremen","Couple + C. LE 16","","","","","","","","","","","","","",""
"1984","Bremen","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"1984","Bremen","Single parent","","","","","","","","","","","","","",""
"1984","Hamburg","(Married) couple without C.","","","","","","","","","","","","","",""
"1984","Hamburg","1-pers.-HH","","","","","","","","","","","","","",""
"1984","Hamburg","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"1984","Hamburg","Couple + C. LE 16","","","","","","","","","","","","","",""
"1984","Hamburg","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"1984","Hamburg","Single parent","","","","","","","","","","","","","",""
"1984","Hesse","(Married) couple without C.","56.01","50","48","25","30","70","90","100","48.93","63.09","20","100","50","70"
"1984","Hesse","1-pers.-HH","","","","","","","","","","","","","",""
"1984","Hesse","Couple + C. GT 16 ","","","","","","","","","","","","","",""
