"plh0038","year","bula_h","pgisced97","n","percent","lower_confidence","upper_confidence"
"Big worries","1984","Schleswig-Holstein","in school","","","",""
"Big worries","1984","Schleswig-Holstein","inadequately","","","",""
"Big worries","1984","Schleswig-Holstein","general elemantary","39","0.492557310551982","0.386894842636263","0.598219778467702"
"Big worries","1984","Schleswig-Holstein","middle vocational","107","0.483024885129203","0.416992600620645","0.549057169637761"
"Big worries","1984","Schleswig-Holstein","vocational + Abi","","","",""
"Big worries","1984","Schleswig-Holstein","higher vocational","","","",""
"Big worries","1984","Schleswig-Holstein","higher education","","","",""
"Big worries","1984","Hamburg","in school","","","",""
"Big worries","1984","Hamburg","inadequately","","","",""
"Big worries","1984","Hamburg","general elemantary","39","0.570179268938481","0.450745946479087","0.689612591397875"
"Big worries","1984","Hamburg","middle vocational","90","0.57255683981501","0.495173627444921","0.649940052185099"
"Big worries","1984","Hamburg","vocational + Abi","","","",""
"Big worries","1984","Hamburg","higher vocational","","","",""
"Big worries","1984","Hamburg","higher education","","","",""
"Big worries","1984","Lower Saxony","in school","","","",""
"Big worries","1984","Lower Saxony","inadequately","","","",""
"Big worries","1984","Lower Saxony","general elemantary","182","0.511621026733497","0.460199206032812","0.563042847434182"
"Big worries","1984","Lower Saxony","middle vocational","289","0.507098733981149","0.46634096514843","0.547856502813868"
"Big worries","1984","Lower Saxony","vocational + Abi","","","",""
"Big worries","1984","Lower Saxony","higher vocational","41","0.522568107840478","0.411720084407587","0.63341613127337"
"Big worries","1984","Lower Saxony","higher education","43","0.534504051194509","0.423807461078584","0.645200641310435"
"Big worries","1984","Bremen","in school","","","",""
"Big worries","1984","Bremen","inadequately","","","",""
"Big worries","1984","Bremen","general elemantary","","","",""
"Big worries","1984","Bremen","middle vocational","56","0.774007803014976","0.678716860460313","0.869298745569638"
"Big worries","1984","Bremen","vocational + Abi","","","",""
"Big worries","1984","Bremen","higher vocational","","","",""
"Big worries","1984","Bremen","higher education","","","",""
"Big worries","1984","North Rhine-Westphalia","in school","36","0.573342498937403","0.449225880788672","0.697459117086134"
"Big worries","1984","North Rhine-Westphalia","inadequately","133","0.462211379702476","0.405123961571899","0.519298797833053"
"Big worries","1984","North Rhine-Westphalia","general elemantary","476","0.578374074906941","0.545408358320272","0.611339791493609"
"Big worries","1984","North Rhine-Westphalia","middle vocational","849","0.579370795564396","0.554520789353476","0.604220801775315"
"Big worries","1984","North Rhine-Westphalia","vocational + Abi","49","0.602598333697405","0.500354868491717","0.704841798903093"
"Big worries","1984","North Rhine-Westphalia","higher vocational","93","0.587256256891294","0.510489424100268","0.664023089682321"
"Big worries","1984","North Rhine-Westphalia","higher education","130","0.575228818728007","0.510496387006362","0.639961250449652"
"Big worries","1984","Hesse","in school","","","",""
"Big worries","1984","Hesse","inadequately","44","0.413477308868169","0.320168111876026","0.506786505860312"
"Big worries","1984","Hesse","general elemantary","180","0.510148659120122","0.458073934099374","0.562223384140871"
"Big worries","1984","Hesse","middle vocational","318","0.541617698239468","0.501241027890165","0.58199436858877"
"Big worries","1984","Hesse","vocational + Abi","","","",""
"Big worries","1984","Hesse","higher vocational","","","",""
"Big worries","1984","Hesse","higher education","56","0.593427668210269","0.493598047148522","0.693257289272017"
"Big worries","1984","Rhineland-Palatinate,Saarland","in school","","","",""
"Big worries","1984","Rhineland-Palatinate,Saarland","inadequately","","","",""
