"plh0038","year","bula_h","education","n","percent","lower_confidence","upper_confidence"
"Big worries","1984","Saxony","no degree/no degree yet","","","",""
"Big worries","1984","Saxony-Anhalt","lower secondary degree","","","",""
"Big worries","1984","Saxony-Anhalt","secondary school degree","","","",""
"Big worries","1984","Saxony-Anhalt","college entrance qualification","","","",""
"Big worries","1984","Saxony-Anhalt","Other degree","","","",""
"Big worries","1984","Saxony-Anhalt","no degree/no degree yet","","","",""
"Big worries","1984","Thuringia","lower secondary degree","","","",""
"Big worries","1984","Thuringia","secondary school degree","","","",""
"Big worries","1984","Thuringia","college entrance qualification","","","",""
"Big worries","1984","Thuringia","Other degree","","","",""
"Big worries","1984","Thuringia","no degree/no degree yet","","","",""
"Some worries","1984","Schleswig-Holstein","lower secondary degree","86","0.406401688701393","0.33997195308786","0.472831424314926"
"Some worries","1984","Schleswig-Holstein","secondary school degree","37","0.356561822400853","0.259732922569131","0.453390722232574"
"Some worries","1984","Schleswig-Holstein","college entrance qualification","14","","",""
"Some worries","1984","Schleswig-Holstein","Other degree","7","","",""
"Some worries","1984","Schleswig-Holstein","no degree/no degree yet","8","","",""
"Some worries","1984","Hamburg","lower secondary degree","39","0.288317909092161","0.211333798086184","0.365302020098139"
"Some worries","1984","Hamburg","secondary school degree","17","","",""
"Some worries","1984","Hamburg","college entrance qualification","14","","",""
"Some worries","1984","Hamburg","Other degree","11","","",""
"Some worries","1984","Hamburg","no degree/no degree yet","9","","",""
"Some worries","1984","Lower Saxony","lower secondary degree","275","0.408485354559912","0.371209221276647","0.445761487843177"
"Some worries","1984","Lower Saxony","secondary school degree","85","0.361813781188039","0.300245585621095","0.423381976754984"
"Some worries","1984","Lower Saxony","college entrance qualification","49","0.395923754097553","0.310532286642783","0.481315221552324"
"Some worries","1984","Lower Saxony","Other degree","31","0.39781280973181","0.294965342051311","0.50066027741231"
"Some worries","1984","Lower Saxony","no degree/no degree yet","32","0.333668215660281","0.239345746995167","0.427990684325395"
"Some worries","1984","Bremen","lower secondary degree","16","","",""
"Some worries","1984","Bremen","secondary school degree","1","","",""
"Some worries","1984","Bremen","college entrance qualification","1","","",""
"Some worries","1984","Bremen","Other degree","3","","",""
"Some worries","1984","Bremen","no degree/no degree yet","2","","",""
"Some worries","1984","North Rhine-Westphalia","lower secondary degree","532","0.335822886264637","0.312483962363948","0.359161810165325"
"Some worries","1984","North Rhine-Westphalia","secondary school degree","170","0.336418765096415","0.294455355826029","0.378382174366801"
"Some worries","1984","North Rhine-Westphalia","college entrance qualification","118","0.309894162534447","0.263026117538397","0.356762207530498"
"Some worries","1984","North Rhine-Westphalia","Other degree","153","0.434768259865581","0.384392825111126","0.485143694620035"
"Some worries","1984","North Rhine-Westphalia","no degree/no degree yet","132","0.326933294452623","0.280496344502364","0.373370244402882"
"Some worries","1984","Hesse","lower secondary degree","209","0.388380672589146","0.347386928899396","0.429374416278897"
"Some worries","1984","Hesse","secondary school degree","74","0.377319945149487","0.308935583801735","0.445704306497239"
"Some worries","1984","Hesse","college entrance qualification","44","0.291720191998759","0.218977706306782","0.364462677690736"
