"plh0038","year","sampreg","sex","n","percent","lower_confidence","upper_confidence"
"Big worries","1984","West Germany","Male","2868","0.492610032451315","0.479885456789186","0.505334608113444"
"Big worries","1984","West Germany","Female","3427","0.570787399623773","0.558435057021273","0.583139742226273"
"Big worries","1984","East Germany","Male","","","",""
"Big worries","1984","East Germany","Female","","","",""
"Some worries","1984","West Germany","Male","2248","0.386607787213504","0.37421339679368","0.399002177633327"
"Some worries","1984","West Germany","Female","2181","0.355044031853006","0.343101894833387","0.366986168872625"
"Some worries","1984","East Germany","Male","","","",""
"Some worries","1984","East Germany","Female","","","",""
"No worries","1984","West Germany","Male","814","0.120782180335182","0.112488058363533","0.129076302306831"
"No worries","1984","West Germany","Female","560","0.0741685685232212","0.0676289590027054","0.0807081780437369"
"No worries","1984","East Germany","Male","","","",""
"No worries","1984","East Germany","Female","","","",""
"Big worries","1985","West Germany","Male","2435","0.446551680276561","0.433300812915277","0.459802547637845"
"Big worries","1985","West Germany","Female","2890","0.529704957420295","0.516566671789083","0.542843243051508"
"Big worries","1985","East Germany","Male","","","",""
"Big worries","1985","East Germany","Female","","","",""
"Some worries","1985","West Germany","Male","2231","0.425258820719372","0.412081329701377","0.438436311737367"
"Some worries","1985","West Germany","Female","2108","0.384857667159197","0.372049872404437","0.397665461913956"
"Some worries","1985","East Germany","Male","","","",""
"Some worries","1985","East Germany","Female","","","",""
"No worries","1985","West Germany","Male","741","0.128189499004067","0.119278894269249","0.137100103738886"
"No worries","1985","West Germany","Female","546","0.0854373754205079","0.0780792505436652","0.0927955002973507"
"No worries","1985","East Germany","Male","","","",""
"No worries","1985","East Germany","Female","","","",""
"Big worries","1986","West Germany","Male","2209","0.410930114529246","0.397581941188859","0.424278287869633"
"Big worries","1986","West Germany","Female","2588","0.491685775281606","0.478259440758244","0.505112109804968"
"Big worries","1986","East Germany","Male","","","",""
"Big worries","1986","East Germany","Female","","","",""
"Some worries","1986","West Germany","Male","2226","0.440666947871096","0.427197651063002","0.454136244679191"
"Some worries","1986","West Germany","Female","2152","0.410084309627228","0.396875032240388","0.423293587014069"
"Some worries","1986","East Germany","Male","","","",""
"Some worries","1986","East Germany","Female","","","",""
