"plh0038","year","regtyp","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Big worries","1985","Urban Area","West Germany","4293","0.499029059737674","0.488522569768912","0.509535549706437","1"
"Big worries","1985","Urban Area","East Germany","","","","","1"
"Big worries","1985","Rural Area","West Germany","1032","0.462272372160817","0.441676011502047","0.482868732819586","1"
"Big worries","1985","Rural Area","East Germany","","","","","1"
"No worries","1985","Urban Area","West Germany","1047","0.106389971665184","0.0999108993352065","0.112869043995161","3"
"No worries","1985","Urban Area","East Germany","","","","","3"
"No worries","1985","Rural Area","West Germany","240","0.103201307079986","0.090633762752221","0.115768851407752","3"
"No worries","1985","Rural Area","East Germany","","","","","3"
"Some worries","1985","Urban Area","West Germany","3360","0.394580968597142","0.38431063462083","0.404851302573454","2"
"Some worries","1985","Urban Area","East Germany","","","","","2"
"Some worries","1985","Rural Area","West Germany","979","0.434526320759197","0.414048931540166","0.455003709978228","2"
"Some worries","1985","Rural Area","East Germany","","","","","2"
"Big worries","1986","Urban Area","West Germany","3867","0.460249455598246","0.449580017595293","0.4709188936012","1"
"Big worries","1986","Urban Area","East Germany","","","","","1"
"Big worries","1986","Rural Area","West Germany","930","0.431373957262108","0.410497318303038","0.452250596221177","1"
"Big worries","1986","Rural Area","East Germany","","","","","1"
"No worries","1986","Urban Area","West Germany","1064","0.117660986562394","0.110763635332231","0.124558337792556","3"
"No worries","1986","Rural Area","West Germany","306","0.136031521933154","0.121580818991608","0.1504822248747","3"
"No worries","1986","Urban Area","East Germany","","","","","3"
"No worries","1986","Rural Area","East Germany","","","","","3"
"Some worries","1986","Urban Area","West Germany","3452","0.42208955783936","0.411516978986677","0.432662136692043","2"
"Some worries","1986","Urban Area","East Germany","","","","","2"
"Some worries","1986","Rural Area","West Germany","926","0.432594520804738","0.411710817427595","0.453478224181881","2"
"Some worries","1986","Rural Area","East Germany","","","","","2"
"Big worries","1987","Urban Area","West Germany","3700","0.472095667377484","0.461329107041944","0.482862227713024","1"
"Big worries","1987","Urban Area","East Germany","","","","","1"
"Big worries","1987","Rural Area","West Germany","910","0.430291101877601","0.409299116562431","0.45128308719277","1"
"Big worries","1987","Rural Area","East Germany","","","","","1"
"No worries","1987","Urban Area","West Germany","1023","0.111904889428016","0.105105989816146","0.118703789039886","3"
"No worries","1987","Rural Area","West Germany","265","0.114931773097561","0.101409358151753","0.128454188043369","3"
"No worries","1987","Urban Area","East Germany","","","","","3"
"No worries","1987","Rural Area","East Germany","","","","","3"
"Some worries","1987","Urban Area","West Germany","3536","0.4159994431945","0.405369342872302","0.426629543516698","2"
"Some worries","1987","Urban Area","East Germany","","","","","2"
"Some worries","1987","Rural Area","West Germany","962","0.454777125024839","0.433664989255605","0.475889260794073","2"
"Some worries","1987","Rural Area","East Germany","","","","","2"
"Big worries","1988","Urban Area","West Germany","3175","0.411075589461943","0.400240095699987","0.421911083223899","1"
"Big worries","1988","Urban Area","East Germany","","","","","1"
"Big worries","1988","Rural Area","West Germany","826","0.394482150490594","0.373094662429156","0.415869638552033","1"
"Big worries","1988","Rural Area","East Germany","","","","","1"
"No worries","1988","Urban Area","West Germany","1010","0.123588795668572","0.116341072530177","0.130836518806968","3"
"No worries","1988","Urban Area","East Germany","","","","","3"
"No worries","1988","Rural Area","West Germany","269","0.134770383339421","0.119827116661991","0.14971365001685","3"
"No worries","1988","Rural Area","East Germany","","","","","3"
"Some worries","1988","Urban Area","West Germany","3736","0.465335614869485","0.454351075270109","0.476320154468861","2"
"Some worries","1988","Urban Area","East Germany","","","","","2"
"Some worries","1988","Rural Area","West Germany","911","0.470747466169985","0.448904676936787","0.492590255403184","2"
"Some worries","1988","Rural Area","East Germany","","","","","2"
"Big worries","1989","Urban Area","West Germany","2651","0.346135232156527","0.335511306715413","0.356759157597641","1"
"Big worries","1989","Urban Area","East Germany","","","","","1"
"Big worries","1989","Rural Area","West Germany","637","0.321363603057714","0.300337421896922","0.342389784218507","1"
"Big worries","1989","Rural Area","East Germany","","","","","1"
"No worries","1989","Urban Area","West Germany","1417","0.180875920809571","0.172280178923008","0.189471662696135","3"
"No worries","1989","Urban Area","East Germany","","","","","3"
"No worries","1989","Rural Area","West Germany","347","0.187300738633779","0.169734524950036","0.204866952317521","3"
"No worries","1989","Rural Area","East Germany","","","","","3"
"Some worries","1989","Urban Area","West Germany","3635","0.472988847033902","0.461839395723285","0.484138298344519","2"
"Some worries","1989","Urban Area","East Germany","","","","","2"
"Some worries","1989","Rural Area","West Germany","911","0.491335658308507","0.468827069227029","0.513844247389985","2"
"Some worries","1989","Rural Area","East Germany","","","","","2"
"Big worries","1990","Urban Area","West Germany","2010","0.258113192059577","0.248228722515027","0.267997661604126","1"
"Big worries","1990","Urban Area","East Germany","626","0.41220957338944","0.387593273487646","0.436825873291233","1"
"Big worries","1990","Rural Area","West Germany","527","0.263000471008029","0.243157157456434","0.282843784559624","1"
"Big worries","1990","Rural Area","East Germany","1132","0.412340128743441","0.394142764541711","0.430537492945171","1"
"No worries","1990","Urban Area","West Germany","1933","0.263876114031494","0.253920800610005","0.273831427452984","3"
"No worries","1990","Urban Area","East Germany","267","0.165453254749116","0.146870269828524","0.184036239669707","3"
"No worries","1990","Rural Area","West Germany","465","0.259570145756255","0.239810841085365","0.279329450427144","3"
"No worries","1990","Rural Area","East Germany","526","0.190435290383981","0.175920286092347","0.204950294675616","3"
"Some worries","1990","Urban Area","West Germany","3586","0.478010693908929","0.466727577946128","0.489293809871731","2"
"Some worries","1990","Urban Area","East Germany","643","0.422337171861445","0.397635898156874","0.447038445566016","2"
"Some worries","1990","Rural Area","West Germany","899","0.477429383235716","0.454916589525632","0.4999421769458","2"
"Some worries","1990","Rural Area","East Germany","1153","0.397224580872578","0.379135625271394","0.415313536473762","2"
"Big worries","1991","Urban Area","West Germany","3195","0.431487340015268","0.420263993733254","0.442710686297282","1"
"Big worries","1991","Urban Area","East Germany","623","0.480209179233278","0.453811338416682","0.506607020049874","1"
"Big worries","1991","Rural Area","West Germany","792","0.405170710824066","0.383347675540615","0.426993746107517","1"
