"plh0038","year","regtyp","sex","n","percent","lower_confidence","upper_confidence","value"
"Big worries","1985","Rural Area","Female","583","0.51659568650509","0.487599831640447","0.545591541369733","1"
"Big worries","1985","Rural Area","Male","449","0.402759882432644","0.373907333218902","0.431612431646385","1"
"Big worries","1985","Urban Area","Female","2307","0.533676764523831","0.518941551340883","0.54841197770678","1"
"Big worries","1985","Urban Area","Male","1986","0.460143889675905","0.445241659933416","0.475046119418393","1"
"No worries","1985","Rural Area","Female","92","0.076012599125952","0.0606352638006742","0.0913899344512297","3"
"No worries","1985","Rural Area","Male","148","0.132987186722423","0.113011383144441","0.152962990300405","3"
"No worries","1985","Urban Area","Female","454","0.0882928655296136","0.0799124755102294","0.0966732555489978","3"
"No worries","1985","Urban Area","Male","593","0.126700380509025","0.11675466552958","0.136646095488469","3"
"Some worries","1985","Rural Area","Female","466","0.407391714368958","0.37888184519258","0.435901583545336","2"
"Some worries","1985","Rural Area","Male","513","0.464252930844934","0.434914030589885","0.493591831099982","2"
"Some worries","1985","Urban Area","Female","1642","0.378030369946555","0.363707775870669","0.392352964022441","2"
"Some worries","1985","Urban Area","Male","1718","0.413155729815071","0.398433156064677","0.427878303565465","2"
"Big worries","1986","Rural Area","Female","511","0.473140062542711","0.443661945205325","0.502618179880096","1"
"Big worries","1986","Rural Area","Male","419","0.384913309426939","0.355621595272382","0.414205023581496","1"
"Big worries","1986","Urban Area","Female","2077","0.497296411922987","0.482218201782635","0.512374622063338","1"
"Big worries","1986","Urban Area","Male","1790","0.418839053289188","0.403844779840535","0.433833326737841","1"
"No worries","1986","Rural Area","Female","121","0.100238283714609","0.0825070946738247","0.117969472755394","3"
"No worries","1986","Rural Area","Male","185","0.17584794782634","0.152930435016424","0.198765460636257","3"
"No worries","1986","Urban Area","Female","465","0.0976223230969002","0.0886716668758341","0.106572979317966","3"
"No worries","1986","Urban Area","Male","599","0.140059833813652","0.129512454823279","0.150607212804025","3"
"Some worries","1986","Rural Area","Female","470","0.42662165374268","0.397420542077117","0.455822765408243","2"
"Some worries","1986","Urban Area","Female","1682","0.405081264980113","0.390277027678136","0.419885502282091","2"
"Some worries","1986","Rural Area","Male","456","0.439238742746721","0.409361915311677","0.469115570181764","2"
"Some worries","1986","Urban Area","Male","1770","0.44110111289716","0.42601110976196","0.456191116032359","2"
"Big worries","1987","Rural Area","Female","505","0.460974047478159","0.431449441727715","0.490498653228604","1"
"Big worries","1987","Rural Area","Male","405","0.396095045790503","0.366399026752286","0.425791064828719","1"
"Big worries","1987","Urban Area","Female","2059","0.526496155839385","0.511301597741628","0.541690713937141","1"
"Big worries","1987","Urban Area","Male","1641","0.411509091775107","0.396466109323014","0.426552074227201","1"
"No worries","1987","Rural Area","Female","104","0.0833038007768918","0.0669361573537982","0.0996714441999854","3"
"No worries","1987","Rural Area","Male","161","0.150181058791275","0.128489787015783","0.171872330566767","3"
"No worries","1987","Urban Area","Female","418","0.0900639206251857","0.0813520867741989","0.0987757544761724","3"
"No worries","1987","Urban Area","Male","605","0.136229478140644","0.125743496609863","0.146715459671426","3"
"Some worries","1987","Rural Area","Female","486","0.455722151744949","0.42622354999516","0.485220753494737","2"
"Some worries","1987","Urban Area","Female","1671","0.38343992353543","0.368643216274832","0.398236630796027","2"
"Some worries","1987","Rural Area","Male","476","0.453723895418223","0.423495425880196","0.48395236495625","2"
"Some worries","1987","Urban Area","Male","1865","0.452261430084248","0.437046996446175","0.467475863722321","2"
