"plh0038","year","migback","n","percent","lower_confidence","upper_confidence"
"Big worries","1984","direct migration background","1593","0.507480912913654","0.490566438630634","0.524395387196673"
"Big worries","1984","indirect migration background","71","0.593787048430218","0.507690581918243","0.679883514942194"
"Big worries","1984","no migration background","4631","0.536594715275329","0.526066040004327","0.547123390546331"
"No worries","1984","direct migration background","602","0.153292189209102","0.141103306126086","0.165481072292118"
"No worries","1984","indirect migration background","","","",""
"No worries","1984","no migration background","758","0.0902208818808413","0.0841717707850685","0.096269992976614"
"Some worries","1984","direct migration background","1161","0.339226897877244","0.323208892564016","0.355244903190472"
"Some worries","1984","indirect migration background","40","0.342430617145976","0.259244630757577","0.425616603534374"
"Some worries","1984","no migration background","3228","0.37318440284383","0.362972617340995","0.383396188346665"
"Big worries","1985","direct migration background","1384","0.494727970030247","0.476509171412865","0.512946768647628"
"Big worries","1985","indirect migration background","69","0.507211307970273","0.425269620622425","0.589152995318121"
"Big worries","1985","no migration background","3872","0.489855369448671","0.478842430598334","0.500868308299007"
"No worries","1985","direct migration background","470","0.137641513054897","0.125087212715938","0.150195813393856"
"No worries","1985","indirect migration background","","","",""
"No worries","1985","no migration background","793","0.102411222198123","0.0957318581743665","0.109090586221879"
"Some worries","1985","direct migration background","1039","0.367630516914856","0.350060786274693","0.385200247555019"
"Some worries","1985","indirect migration background","50","0.403817797686923","0.32339812452069","0.484237470853155"
"Some worries","1985","no migration background","3250","0.407733408353206","0.396907374068299","0.418559442638114"
"Big worries","1986","direct migration background","1264","0.433196460163569","0.414917504541463","0.451475415785675"
"Big worries","1986","indirect migration background","84","0.543728331393045","0.465567616192062","0.621889046594027"
"Big worries","1986","no migration background","3449","0.455184826736905","0.443963779049155","0.466405874424656"
"No worries","1986","direct migration background","455","0.146679688976871","0.13362899267008","0.159730385283663"
"No worries","1986","indirect migration background","","","",""
"No worries","1986","no migration background","893","0.119509607645908","0.112200259573408","0.126818955718408"
"Some worries","1986","direct migration background","1104","0.42012385085956","0.401916408497266","0.438331293221853"
"Some worries","1986","indirect migration background","50","0.382239548017187","0.305985368535857","0.458493727498518"
"Some worries","1986","no migration background","3224","0.425305565617187","0.414165597415866","0.436445533818508"
"Big worries","1987","direct migration background","1114","0.428374839070256","0.410072053791696","0.446677624348816"
"Big worries","1987","indirect migration background","75","0.544179760645091","0.470599765951236","0.617759755338946"
"Big worries","1987","no migration background","3421","0.465840638425727","0.454484400211737","0.477196876639717"
"No worries","1987","direct migration background","475","0.149191478243374","0.136013843566726","0.162369112920022"
"No worries","1987","indirect migration background","","","",""
"No worries","1987","no migration background","791","0.108804562971251","0.101715474158737","0.115893651783766"
"Some worries","1987","direct migration background","1219","0.42243368268637","0.404164053279042","0.440703312093697"
"Some worries","1987","indirect migration background","79","0.408076209250462","0.335466400470427","0.480686018030497"
"Some worries","1987","no migration background","3200","0.425354798603022","0.414099527862125","0.436610069343918"
"Big worries","1988","direct migration background","1073","0.41943725163165","0.400684484735686","0.438190018527613"
"Big worries","1988","indirect migration background","101","0.552230272419628","0.486964853634276","0.61749569120498"
"Big worries","1988","no migration background","2827","0.404680651440387","0.393218407774378","0.416142895106395"
"No worries","1988","direct migration background","401","0.135298562654893","0.122300250732315","0.148296874577471"
"No worries","1988","indirect migration background","33","0.122733281838523","0.0796664762564773","0.165800087420569"
"No worries","1988","no migration background","845","0.125119178027526","0.117392820388515","0.132845535666537"
"Some worries","1988","direct migration background","1186","0.445264185713457","0.426377347608644","0.46415102381827"
"Some worries","1988","indirect migration background","89","0.325036445741849","0.263560976669734","0.386511914813965"
"Some worries","1988","no migration background","3372","0.470200170532087","0.458544541524893","0.481855799539282"
"Big worries","1989","direct migration background","967","0.374091275710563","0.355357812125633","0.392824739295493"
"Big worries","1989","indirect migration background","98","0.389614864132324","0.329993588673219","0.449236139591429"
"Big worries","1989","no migration background","2223","0.336099489315157","0.324853886606816","0.347345092023498"
"No worries","1989","direct migration background","505","0.189956716945508","0.174770303193511","0.205143130697505"
"No worries","1989","indirect migration background","44","0.174743436766609","0.128315812691217","0.221171060842001"
"No worries","1989","no migration background","1215","0.181453065281632","0.172278167032153","0.190627963531111"
"Some worries","1989","direct migration background","1091","0.435952007343929","0.416754220833507","0.455149793854351"
"Some worries","1989","indirect migration background","115","0.435641699101067","0.375020613476985","0.496262784725148"
"Some worries","1989","no migration background","3340","0.482447445403211","0.470551484104659","0.494343406701763"
"Big worries","1990","direct migration background","872","0.331479637031215","0.313590350500503","0.349368923561928"
"Big worries","1990","indirect migration background","92","0.320309624966112","0.266883357338651","0.373735892593572"
"Big worries","1990","no migration background","3359","0.284270820083327","0.275803315816452","0.292738324350203"
"No worries","1990","direct migration background","586","0.218886920684006","0.203173377136337","0.234600464231674"
"No worries","1990","indirect migration background","74","0.247077004940402","0.197690791900341","0.296463217980462"
"No worries","1990","no migration background","2557","0.250411064425126","0.242278017799287","0.258544111050966"
"Some worries","1990","direct migration background","1202","0.449633442284779","0.430729055532769","0.468537829036789"
