"plh0038","year","bula_h","sex","n","percent","lower_confidence","upper_confidence"
"Big worries","1984","Schleswig-Holstein","Male","82","0.44856041527412","0.377277290446816","0.519843540101425"
"Big worries","1984","Schleswig-Holstein","Female","103","0.527097010331122","0.457555070299091","0.596638950363153"
"Big worries","1984","Hamburg","Male","85","0.561456189501068","0.482047707980439","0.640864671021697"
"Big worries","1984","Hamburg","Female","94","0.601181481101774","0.525071785668867","0.677291176534681"
"Big worries","1984","Lower Saxony","Male","267","0.457024612544839","0.416862715629643","0.497186509460035"
"Big worries","1984","Lower Saxony","Female","344","0.553690054692356","0.514717423648115","0.592662685736598"
"Big worries","1984","Bremen","Male","45","0.720320737751543","0.60948727347019","0.831154202032895"
"Big worries","1984","Bremen","Female","48","0.665872737031301","0.554577874046776","0.777167600015827"
"Big worries","1984","North Rhine-Westphalia","Male","816","0.530697820053061","0.506175421938154","0.555220218167967"
"Big worries","1984","North Rhine-Westphalia","Female","962","0.615611122962059","0.592031989119829","0.639190256804289"
"Big worries","1984","Hesse","Male","315","0.504010450908753","0.464874998888279","0.543145902929227"
"Big worries","1984","Hesse","Female","350","0.569512337266758","0.530568906008965","0.60845576852455"
"Big worries","1984","Rhineland-Palatinate,Saarland","Male","194","0.459798505430038","0.411906492173412","0.507690518686664"
"Big worries","1984","Rhineland-Palatinate,Saarland","Female","249","0.569789432501551","0.523101574448005","0.616477290555098"
"Big worries","1984","Baden-Württemberg","Male","487","0.449522406338463","0.420402445950285","0.478642366726641"
"Big worries","1984","Baden-Württemberg","Female","534","0.500811428905426","0.471645853265905","0.529977004544947"
"Big worries","1984","Bavaria","Male","465","0.470317564737389","0.439195170214543","0.501439959260234"
"Big worries","1984","Bavaria","Female","617","0.564306449817512","0.534856658368493","0.59375624126653"
"Big worries","1984","Berlin","Male","112","0.576842613439781","0.507675494462053","0.646009732417509"
"Big worries","1984","Berlin","Female","126","0.613567085411281","0.547865636728025","0.679268534094536"
"Big worries","1984","Brandenburg","Male","","","",""
"Big worries","1984","Brandenburg","Female","","","",""
"Big worries","1984","Mecklenburg-Western Pomerania","Male","","","",""
"Big worries","1984","Mecklenburg-Western Pomerania","Female","","","",""
"Big worries","1984","Saxony","Male","","","",""
"Big worries","1984","Saxony","Female","","","",""
"Big worries","1984","Saxony-Anhalt","Male","","","",""
"Big worries","1984","Saxony-Anhalt","Female","","","",""
"Big worries","1984","Thuringia","Male","","","",""
"Big worries","1984","Thuringia","Female","","","",""
"Some worries","1984","Schleswig-Holstein","Male","79","0.413642895273775","0.343056473266483","0.484229317281068"
"Some worries","1984","Schleswig-Holstein","Female","74","0.361211607102913","0.294304099411666","0.42811911479416"
"Some worries","1984","Hamburg","Male","45","0.298184094225505","0.224976471936549","0.371391716514462"
"Some worries","1984","Hamburg","Female","45","0.305033491792244","0.233467741332904","0.376599242251584"
"Some worries","1984","Lower Saxony","Male","238","0.409485683428654","0.369840637310093","0.449130729547214"
"Some worries","1984","Lower Saxony","Female","235","0.378673782515817","0.340646040321883","0.416701524709751"
"Some worries","1984","Bremen","Male","","","",""
"Some worries","1984","Bremen","Female","","","",""
"Some worries","1984","North Rhine-Westphalia","Male","570","0.353112823003874","0.329628177075416","0.376597468932332"
"Some worries","1984","North Rhine-Westphalia","Female","547","0.320318011278232","0.297701127153322","0.342934895403142"
"Some worries","1984","Hesse","Male","231","0.384884549881891","0.346799206349179","0.422969893414603"
"Some worries","1984","Hesse","Female","215","0.344799366240826","0.307416493285984","0.382182239195668"
"Some worries","1984","Rhineland-Palatinate,Saarland","Male","193","0.474541879621085","0.426556630619172","0.522527128622998"
"Some worries","1984","Rhineland-Palatinate,Saarland","Female","161","0.388870875176518","0.342900778494035","0.434840971859"
"Some worries","1984","Baden-Württemberg","Male","410","0.389420480495045","0.3608757599709","0.41796520101919"
"Some worries","1984","Baden-Württemberg","Female","430","0.399442369213088","0.370872679127272","0.428012059298904"
"Some worries","1984","Bavaria","Male","410","0.418693909943625","0.387931498454477","0.449456321432774"
"Some worries","1984","Bavaria","Female","392","0.368432776742927","0.339782879257727","0.397082674228126"
"Some worries","1984","Berlin","Male","62","0.314832761857124","0.249811063462626","0.379854460251622"
"Some worries","1984","Berlin","Female","69","0.318317044735071","0.255463752910326","0.381170336559816"
"Some worries","1984","Brandenburg","Male","","","",""
"Some worries","1984","Brandenburg","Female","","","",""
"Some worries","1984","Mecklenburg-Western Pomerania","Male","","","",""
"Some worries","1984","Mecklenburg-Western Pomerania","Female","","","",""
"Some worries","1984","Saxony","Male","","","",""
"Some worries","1984","Saxony","Female","","","",""
"Some worries","1984","Saxony-Anhalt","Male","","","",""
"Some worries","1984","Saxony-Anhalt","Female","","","",""
"Some worries","1984","Thuringia","Male","","","",""
"Some worries","1984","Thuringia","Female","","","",""
"No worries","1984","Schleswig-Holstein","Male","","","",""
"No worries","1984","Schleswig-Holstein","Female","","","",""
"No worries","1984","Hamburg","Male","","","",""
"No worries","1984","Hamburg","Female","","","",""
"No worries","1984","Lower Saxony","Male","86","0.133489704026507","0.10606985246685","0.160909555586163"
"No worries","1984","Lower Saxony","Female","46","0.0676361627918266","0.0479486763062982","0.0873236492773551"
"No worries","1984","Bremen","Male","","","",""
"No worries","1984","Bremen","Female","","","",""
"No worries","1984","North Rhine-Westphalia","Male","205","0.116189356943065","0.10044315601911","0.131935557867021"
"No worries","1984","North Rhine-Westphalia","Female","126","0.0640708657597084","0.0522011316108512","0.0759405999085656"
"No worries","1984","Hesse","Male","81","0.111104999209356","0.0865066279044998","0.135703370514212"
"No worries","1984","Hesse","Female","56","0.0856882964924162","0.0636737276131743","0.107702865371658"
"No worries","1984","Rhineland-Palatinate,Saarland","Male","","","",""
"No worries","1984","Rhineland-Palatinate,Saarland","Female","","","",""
"No worries","1984","Baden-Württemberg","Male","224","0.161057113166492","0.139539136214926","0.182575090118057"
"No worries","1984","Baden-Württemberg","Female","165","0.099746201881486","0.0822665900098947","0.117225813753077"
"No worries","1984","Bavaria","Male","113","0.110988525318986","0.0914017770153898","0.130575273622582"
"No worries","1984","Bavaria","Female","80","0.0672607734395618","0.0523844641050984","0.0821370827740251"
"No worries","1984","Berlin","Male","","","",""
"No worries","1984","Berlin","Female","","","",""
"No worries","1984","Brandenburg","Male","","","",""
"No worries","1984","Brandenburg","Female","","","",""
"No worries","1984","Mecklenburg-Western Pomerania","Male","","","",""
"No worries","1984","Mecklenburg-Western Pomerania","Female","","","",""
"No worries","1984","Saxony","Male","","","",""
"No worries","1984","Saxony","Female","","","",""
"No worries","1984","Saxony-Anhalt","Male","","","",""
"No worries","1984","Saxony-Anhalt","Female","","","",""
"No worries","1984","Thuringia","Male","","","",""
"No worries","1984","Thuringia","Female","","","",""
"Big worries","1985","Schleswig-Holstein","Male","64","0.368523376263458","0.295576850924892","0.441469901602025"
"Big worries","1985","Schleswig-Holstein","Female","89","0.51445040074374","0.441233704137799","0.587667097349682"
"Big worries","1985","Hamburg","Male","73","0.465029676850397","0.381812356376638","0.548246997324156"
"Big worries","1985","Hamburg","Female","77","0.525152770830732","0.442137024703118","0.608168516958347"
"Big worries","1985","Lower Saxony","Male","220","0.406310869535894","0.364770561050869","0.44785117802092"
"Big worries","1985","Lower Saxony","Female","298","0.531157712406693","0.489789446042134","0.572525978771252"
"Big worries","1985","Bremen","Male","36","0.635005706434837","0.505394662810185","0.764616750059489"
"Big worries","1985","Bremen","Female","44","0.711818318243899","0.598160074943231","0.825476561544567"
"Big worries","1985","North Rhine-Westphalia","Male","641","0.437636394136403","0.412180651935484","0.463092136337321"
"Big worries","1985","North Rhine-Westphalia","Female","777","0.547180357874246","0.521717160210456","0.572643555538036"
"Big worries","1985","Hesse","Male","285","0.502949164422937","0.461866896798027","0.544031432047847"
"Big worries","1985","Hesse","Female","306","0.557527999942","0.516464480240298","0.598591519643702"
"Big worries","1985","Rhineland-Palatinate,Saarland","Male","177","0.465556263113223","0.415271168237708","0.515841357988738"
"Big worries","1985","Rhineland-Palatinate,Saarland","Female","191","0.501203776596134","0.451259414341339","0.551148138850929"
"Big worries","1985","Baden-Württemberg","Male","431","0.428806794151526","0.398435006795327","0.459178581507725"
"Big worries","1985","Baden-Württemberg","Female","470","0.465844869058433","0.43524711282161","0.496442625295256"
"Big worries","1985","Bavaria","Male","412","0.445537654391722","0.413209314556995","0.47786599422645"
"Big worries","1985","Bavaria","Female","542","0.552468449074944","0.521321012166162","0.583615885983725"
"Big worries","1985","Berlin","Male","96","0.550945570389723","0.477668972415519","0.624222168363927"
"Big worries","1985","Berlin","Female","96","0.487856398236676","0.416968306483097","0.558744489990255"
"Big worries","1985","Brandenburg","Male","","","",""
"Big worries","1985","Brandenburg","Female","","","",""
"Big worries","1985","Mecklenburg-Western Pomerania","Male","","","",""
"Big worries","1985","Mecklenburg-Western Pomerania","Female","","","",""
"Big worries","1985","Saxony","Male","","","",""
"Big worries","1985","Saxony","Female","","","",""
"Big worries","1985","Saxony-Anhalt","Male","","","",""
"Big worries","1985","Saxony-Anhalt","Female","","","",""
"Big worries","1985","Thuringia","Male","","","",""
"Big worries","1985","Thuringia","Female","","","",""
"Some worries","1985","Schleswig-Holstein","Male","78","0.486673228708769","0.411092837449656","0.562253619967881"
"Some worries","1985","Schleswig-Holstein","Female","73","0.405661153664942","0.33372945029129","0.477592857038595"
"Some worries","1985","Hamburg","Male","46","0.351437414988907","0.271783249646677","0.431091580331137"
"Some worries","1985","Hamburg","Female","53","0.407605306433593","0.325915816313728","0.489294796553457"
"Some worries","1985","Lower Saxony","Male","244","0.461283252932611","0.419120881457191","0.503445624408032"
"Some worries","1985","Lower Saxony","Female","216","0.390696508426867","0.350250209664547","0.431142807189188"
"Some worries","1985","Bremen","Male","","","",""
"Some worries","1985","Bremen","Female","","","",""
"Some worries","1985","North Rhine-Westphalia","Male","621","0.434375903449959","0.408941751642188","0.45981005525773"
"Some worries","1985","North Rhine-Westphalia","Female","536","0.365904985335852","0.341264662370192","0.390545308301512"
"Some worries","1985","Hesse","Male","202","0.365181434989759","0.325620084112232","0.404742785867287"
"Some worries","1985","Hesse","Female","200","0.354650486370922","0.315097643255716","0.394203329486128"
"Some worries","1985","Rhineland-Palatinate,Saarland","Male","162","0.435308462535869","0.385327296264407","0.485289628807332"
"Some worries","1985","Rhineland-Palatinate,Saarland","Female","166","0.433593309170961","0.384091257438024","0.483095360903898"
"Some worries","1985","Baden-Württemberg","Male","413","0.421502433363925","0.391198512969182","0.451806353758668"
"Some worries","1985","Baden-Württemberg","Female","409","0.417360530216883","0.387112934579422","0.447608125854343"
"Some worries","1985","Bavaria","Male","390","0.44380325442346","0.411487475399401","0.476119033447519"
"Some worries","1985","Bavaria","Female","366","0.380557912129053","0.350144336763944","0.410971487494161"
"Some worries","1985","Berlin","Male","62","0.340811321893528","0.270984329806437","0.41063831398062"
"Some worries","1985","Berlin","Female","77","0.401991017784849","0.332457622613783","0.471524412955914"
"Some worries","1985","Brandenburg","Male","","","",""
"Some worries","1985","Brandenburg","Female","","","",""
"Some worries","1985","Mecklenburg-Western Pomerania","Male","","","",""
"Some worries","1985","Mecklenburg-Western Pomerania","Female","","","",""
"Some worries","1985","Saxony","Male","","","",""
"Some worries","1985","Saxony","Female","","","",""
"Some worries","1985","Saxony-Anhalt","Male","","","",""
"Some worries","1985","Saxony-Anhalt","Female","","","",""
"Some worries","1985","Thuringia","Male","","","",""
"Some worries","1985","Thuringia","Female","","","",""
"No worries","1985","Schleswig-Holstein","Male","","","",""
"No worries","1985","Schleswig-Holstein","Female","","","",""
"No worries","1985","Hamburg","Male","","","",""
"No worries","1985","Hamburg","Female","","","",""
"No worries","1985","Lower Saxony","Male","73","0.132405877531494","0.103739495735461","0.161072259327528"
"No worries","1985","Lower Saxony","Female","45","0.0781457791664398","0.055895981078911","0.100395577253969"
"No worries","1985","Bremen","Male","","","",""
"No worries","1985","Bremen","Female","","","",""
"No worries","1985","North Rhine-Westphalia","Male","197","0.127987702413638","0.110845529508624","0.145129875318652"
"No worries","1985","North Rhine-Westphalia","Female","155","0.086914656789902","0.0725038843999962","0.101325429179808"
"No worries","1985","Hesse","Male","82","0.131869400587304","0.104068650992163","0.159670150182445"
