"plh0038","year","age_gr","bula_h","n","percent","lower_confidence","upper_confidence"
"Big worries","1984","16-34 y.","Schleswig-Holstein","69","0.530866026815839","0.447300199677403","0.614431853954276"
"Big worries","1984","16-34 y.","Hamburg","64","0.56210679121375","0.470224334051119","0.653989248376381"
"Big worries","1984","16-34 y.","Lower Saxony","242","0.555787971802886","0.509360879855471","0.602215063750301"
"Big worries","1984","16-34 y.","Bremen","","","",""
"Big worries","1984","16-34 y.","North Rhine-Westphalia","661","0.543319036717764","0.51590188221043","0.570736191225098"
"Big worries","1984","16-34 y.","Hesse","298","0.589213766231978","0.546557579978876","0.63186995248508"
"Big worries","1984","16-34 y.","Rhineland-Palatinate,Saarland","165","0.522848998435936","0.467515009063014","0.578182987808859"
"Big worries","1984","16-34 y.","Baden-Württemberg","367","0.440658859202743","0.407184723580691","0.474132994824794"
"Big worries","1984","16-34 y.","Bavaria","424","0.576206207407644","0.540934321585297","0.61147809322999"
"Big worries","1984","16-34 y.","Berlin","83","0.624376274596491","0.543282500793002","0.70547004839998"
"Big worries","1984","16-34 y.","Brandenburg","","","",""
"Big worries","1984","16-34 y.","Mecklenburg-Western Pomerania","","","",""
"Big worries","1984","16-34 y.","Saxony","","","",""
"Big worries","1984","16-34 y.","Saxony-Anhalt","","","",""
"Big worries","1984","16-34 y.","Thuringia","","","",""
"Big worries","1984","35-65 y.","Schleswig-Holstein","91","0.437678538250026","0.369601137983349","0.505755938516703"
"Big worries","1984","35-65 y.","Hamburg","93","0.670841287879633","0.595891193062812","0.745791382696453"
"Big worries","1984","35-65 y.","Lower Saxony","290","0.475469299815743","0.436285865997039","0.514652733634447"
"Big worries","1984","35-65 y.","Bremen","43","0.629946738949826","0.514336919333795","0.745556558565858"
"Big worries","1984","35-65 y.","North Rhine-Westphalia","939","0.585496245020627","0.561875904313057","0.609116585728197"
"Big worries","1984","35-65 y.","Hesse","316","0.519545110046628","0.480654800329501","0.558435419763755"
"Big worries","1984","35-65 y.","Rhineland-Palatinate,Saarland","218","0.508679202394467","0.461038026508497","0.556320378280437"
"Big worries","1984","35-65 y.","Baden-Württemberg","550","0.495244987308915","0.466873752788314","0.523616221829515"
"Big worries","1984","35-65 y.","Bavaria","554","0.514005904774662","0.484307495107579","0.543704314441744"
"Big worries","1984","35-65 y.","Berlin","128","0.588239975457915","0.523789898563652","0.652690052352179"
"Big worries","1984","35-65 y.","Brandenburg","","","",""
"Big worries","1984","35-65 y.","Mecklenburg-Western Pomerania","","","",""
"Big worries","1984","35-65 y.","Saxony","","","",""
"Big worries","1984","35-65 y.","Saxony-Anhalt","","","",""
"Big worries","1984","35-65 y.","Thuringia","","","",""
"Big worries","1984","66 and older","Schleswig-Holstein","","","",""
"Big worries","1984","66 and older","Hamburg","","","",""
"Big worries","1984","66 and older","Lower Saxony","79","0.515044447241275","0.435593401113452","0.594495493369099"
"Big worries","1984","66 and older","Bremen","","","",""
"Big worries","1984","66 and older","North Rhine-Westphalia","178","0.616046567860855","0.559779641648214","0.672313494073497"
"Big worries","1984","66 and older","Hesse","51","0.47965975516913","0.383179192436678","0.576140317901582"
"Big worries","1984","66 and older","Rhineland-Palatinate,Saarland","60","0.530690196311502","0.438265203526185","0.62311518909682"
"Big worries","1984","66 and older","Baden-Württemberg","104","0.492668984420979","0.425370779749686","0.559967189092272"
"Big worries","1984","66 and older","Bavaria","104","0.436503984956416","0.373094578079793","0.49991339183304"
"Big worries","1984","66 and older","Berlin","","","",""
"Big worries","1984","66 and older","Brandenburg","","","",""
"Big worries","1984","66 and older","Mecklenburg-Western Pomerania","","","",""
"Big worries","1984","66 and older","Saxony","","","",""
"Big worries","1984","66 and older","Saxony-Anhalt","","","",""
"Big worries","1984","66 and older","Thuringia","","","",""
"Some worries","1984","16-34 y.","Schleswig-Holstein","55","0.382179622260413","0.30081180139438","0.463547443126445"
"Some worries","1984","16-34 y.","Hamburg","37","0.353359970653275","0.264832297891198","0.441887643415352"
"Some worries","1984","16-34 y.","Lower Saxony","158","0.36594485777677","0.320936507809409","0.410953207744131"
"Some worries","1984","16-34 y.","Bremen","","","",""
"Some worries","1984","16-34 y.","North Rhine-Westphalia","459","0.350198704222987","0.323942253547034","0.376455154898939"
"Some worries","1984","16-34 y.","Hesse","167","0.322779793259978","0.282242405005708","0.363317181514247"
"Some worries","1984","16-34 y.","Rhineland-Palatinate,Saarland","123","0.404659124667928","0.350283602318561","0.459034647017295"
"Some worries","1984","16-34 y.","Baden-Württemberg","332","0.432927786052479","0.399520080390507","0.466335491714451"
"Some worries","1984","16-34 y.","Bavaria","272","0.352275325083836","0.318179692602205","0.386370957565468"
"Some worries","1984","16-34 y.","Berlin","41","0.277543544981972","0.202561166756239","0.352525923207706"
"Some worries","1984","16-34 y.","Brandenburg","","","",""
"Some worries","1984","16-34 y.","Mecklenburg-Western Pomerania","","","",""
"Some worries","1984","16-34 y.","Saxony","","","",""
"Some worries","1984","16-34 y.","Saxony-Anhalt","","","",""
"Some worries","1984","16-34 y.","Thuringia","","","",""
"Some worries","1984","35-65 y.","Schleswig-Holstein","86","0.425432033275578","0.357586883464326","0.493277183086829"
"Some worries","1984","35-65 y.","Hamburg","37","0.231144105344024","0.163904755913446","0.298383454774603"
"Some worries","1984","35-65 y.","Lower Saxony","259","0.420860278783517","0.382124129856647","0.459596427710387"
"Some worries","1984","35-65 y.","Bremen","","","",""
"Some worries","1984","35-65 y.","North Rhine-Westphalia","572","0.336467544155924","0.313812623757236","0.359122464554612"
"Some worries","1984","35-65 y.","Hesse","242","0.389688260704072","0.351727230904202","0.427649290503942"
"Some worries","1984","35-65 y.","Rhineland-Palatinate,Saarland","184","0.452017492999016","0.404589049100359","0.499445936897673"
"Some worries","1984","35-65 y.","Baden-Württemberg","434","0.382334187415108","0.354758508227771","0.409909866602445"
"Some worries","1984","35-65 y.","Bavaria","428","0.399335781570214","0.370234062955941","0.428437500184486"
"Some worries","1984","35-65 y.","Berlin","75","0.331530155474741","0.269881088133708","0.393179222815773"
"Some worries","1984","35-65 y.","Brandenburg","","","",""
"Some worries","1984","35-65 y.","Mecklenburg-Western Pomerania","","","",""
"Some worries","1984","35-65 y.","Saxony","","","",""
"Some worries","1984","35-65 y.","Saxony-Anhalt","","","",""
"Some worries","1984","35-65 y.","Thuringia","","","",""
"Some worries","1984","66 and older","Schleswig-Holstein","","","",""
"Some worries","1984","66 and older","Hamburg","","","",""
"Some worries","1984","66 and older","Lower Saxony","56","0.367079505234159","0.290452660082073","0.443706350386245"
"Some worries","1984","66 and older","Bremen","","","",""
"Some worries","1984","66 and older","North Rhine-Westphalia","86","0.30127288363853","0.248191655360139","0.354354111916921"
"Some worries","1984","66 and older","Hesse","37","0.375642899477324","0.282116632915183","0.469169166039466"
"Some worries","1984","66 and older","Rhineland-Palatinate,Saarland","47","0.417156563027775","0.325836842175783","0.508476283879766"
"Some worries","1984","66 and older","Baden-Württemberg","74","0.359010077206067","0.294435870276637","0.423584284135497"
"Some worries","1984","66 and older","Bavaria","102","0.443776929637173","0.380255389493902","0.507298469780444"
"Some worries","1984","66 and older","Berlin","","","",""
"Some worries","1984","66 and older","Brandenburg","","","",""
"Some worries","1984","66 and older","Mecklenburg-Western Pomerania","","","",""
"Some worries","1984","66 and older","Saxony","","","",""
"Some worries","1984","66 and older","Saxony-Anhalt","","","",""
"Some worries","1984","66 and older","Thuringia","","","",""
"No worries","1984","16-34 y.","Schleswig-Holstein","","","",""
"No worries","1984","16-34 y.","Hamburg","","","",""
"No worries","1984","16-34 y.","Lower Saxony","40","0.0782671704203439","0.0531706161501923","0.103363724690495"
"No worries","1984","16-34 y.","Bremen","","","",""
"No worries","1984","16-34 y.","North Rhine-Westphalia","148","0.106482259059249","0.0895045658177065","0.123459952300792"
"No worries","1984","16-34 y.","Hesse","46","0.0880064405080444","0.0634429118864332","0.112569969129656"
