"plh0038","year","e11102","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Big worries","1984","Not Employed","(0) in school","102","0.55431049068805","0.481292337438719","0.627328643937381"
"Big worries","1984","Not Employed","(1a) inadequately completed","169","0.463452048261948","0.413961477652968","0.512942618870928"
"Big worries","1984","Not Employed","(1b) general elementary school","800","0.526926344552206","0.501793720873264","0.552058968231149"
"Big worries","1984","Not Employed","(1c) basic vocational qualification","736","0.556984568535165","0.530338173210163","0.583630963860166"
"Big worries","1984","Not Employed","(2b) intermediate general qualification","141","0.599952987777437","0.537842739343021","0.662063236211854"
"Big worries","1984","Not Employed","(2a) intermediate vocational","232","0.558952741722003","0.510656294661852","0.607249188782155"
"Big worries","1984","Not Employed","(2c_gen) general maturity certificate","147","0.634874454657505","0.572379392660302","0.697369516654708"
"Big worries","1984","Not Employed","(2c_voc) vocational maturity certificate","79","0.586647935892342","0.502321980178022","0.670973891606662"
"Big worries","1984","Not Employed","(3a) lower tertiary education","31","0.48729043240519","0.360816180586276","0.613764684224105"
"Big worries","1984","Not Employed","(3b) higher tertiary education","63","0.610321292102847","0.513271452307863","0.707371131897831"
"Big worries","1984","Employed","(0) in school","5","","",""
"Big worries","1984","Employed","(1a) inadequately completed","279","0.392501819521518","0.356328163964868","0.428675475078168"
"Big worries","1984","Employed","(1b) general elementary school","704","0.48925408973423","0.463673961616221","0.514834217852239"
"Big worries","1984","Employed","(1c) basic vocational qualification","1444","0.506222933409911","0.488001383605635","0.524444483214186"
"Big worries","1984","Employed","(2b) intermediate general qualification","131","0.57267295023992","0.509289819106766","0.636056081373075"
"Big worries","1984","Employed","(2a) intermediate vocational","535","0.540146908948575","0.509210776782462","0.571083041114688"
"Big worries","1984","Employed","(2c_gen) general maturity certificate","104","0.618974153390154","0.548419465889434","0.689528840890873"
"Big worries","1984","Employed","(2c_voc) vocational maturity certificate","196","0.598376537126477","0.544997295153456","0.651755779099499"
"Big worries","1984","Employed","(3a) lower tertiary education","106","0.524185597182136","0.455820805562688","0.592550388801584"
"Big worries","1984","Employed","(3b) higher tertiary education","249","0.582193479799586","0.535193336443525","0.629193623155647"
"Some worries","1984","Not Employed","(0) in school","53","0.318728606455622","0.250273052608455","0.387184160302789"
"Some worries","1984","Not Employed","(1a) inadequately completed","129","0.296384657838267","0.251062425036908","0.341706890639625"
"Some worries","1984","Not Employed","(1b) general elementary school","553","0.370377477437818","0.346068823968324","0.394686130907313"
"Some worries","1984","Not Employed","(1c) basic vocational qualification","499","0.370951659166927","0.345039230012717","0.396864088321137"
"Some worries","1984","Not Employed","(2b) intermediate general qualification","83","0.350973069904633","0.290464429256221","0.411481710553044"
