"plh0038","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Big worries","1985","general elemantary","Rural Area","331","0.47149397909247","0.434775730151622","0.508212228033318","1"
"Big worries","1985","general elemantary","Urban Area","1131","0.493181897257799","0.472873005451892","0.513490789063705","1"
"Big worries","1985","higher education","Rural Area","60","0.497327753447091","0.406729680143775","0.587925826750407","1"
"Big worries","1985","higher education","Urban Area","338","0.512856297265539","0.47394910825728","0.551763486273797","1"
"Big worries","1985","higher vocational","Rural Area","48","0.379364903940584","0.294974518352231","0.463755289528937","1"
"Big worries","1985","higher vocational","Urban Area","226","0.45595041601672","0.411851481102765","0.500049350930674","1"
"Big worries","1985","in school","Rural Area","12","","","","1"
"Big worries","1985","in school","Urban Area","71","0.487602545878742","0.407877260726581","0.567327831030902","1"
"Big worries","1985","inadequately","Rural Area","47","0.453795788258205","0.356701170386798","0.550890406129612","1"
"Big worries","1985","inadequately","Urban Area","305","0.405752972777999","0.369885877462692","0.441620068093306","1"
"Big worries","1985","middle vocational","Rural Area","503","0.464102360687022","0.434644429573762","0.493560291800283","1"
"Big worries","1985","middle vocational","Urban Area","2048","0.507812635941918","0.492413683270157","0.523211588613679","1"
"Big worries","1985","vocational + Abi","Rural Area","25","","","","1"
"Big worries","1985","vocational + Abi","Urban Area","131","0.552612991737447","0.488768657857479","0.616457325617415","1"
"No worries","1985","vocational + Abi","Rural Area","5","","","","3"
"No worries","1985","vocational + Abi","Urban Area","17","","","","3"
"No worries","1985","middle vocational","Urban Area","427","0.0997274582812599","0.0904981621696628","0.108956754392857","3"
"No worries","1985","middle vocational","Rural Area","112","0.102329045255329","0.0844265948523124","0.120231495658346","3"
"No worries","1985","inadequately","Urban Area","146","0.209247807131309","0.179535764948635","0.238959849313983","3"
"No worries","1985","in school","Urban Area","24","","","","3"
"No worries","1985","inadequately","Rural Area","23","","","","3"
"No worries","1985","in school","Rural Area","8","","","","3"
"No worries","1985","higher vocational","Urban Area","46","0.0921154187086","0.0665100203673847","0.117720817049815","3"
"No worries","1985","higher vocational","Rural Area","12","","","","3"
"No worries","1985","higher education","Rural Area","8","","","","3"
"No worries","1985","higher education","Urban Area","52","0.0965195960773267","0.073533216253985","0.119505975900668","3"
"No worries","1985","general elemantary","Rural Area","70","0.097387917233824","0.0755796064722638","0.119196227995384","3"
"No worries","1985","general elemantary","Urban Area","317","0.1194472778179","0.106273133599404","0.132621422036396","3"
"Some worries","1985","vocational + Abi","Rural Area","14","","","","2"
"Some worries","1985","middle vocational","Rural Area","486","0.433568594057649","0.404296283633299","0.462840904481999","2"
"Some worries","1985","vocational + Abi","Urban Area","85","0.39859633806292","0.335729760687426","0.461462915438414","2"
"Some worries","1985","middle vocational","Urban Area","1574","0.392459905776822","0.377419507997566","0.407500303556077","2"
"Some worries","1985","inadequately","Urban Area","269","0.384999220090692","0.349456586786332","0.420541853395053","2"
"Some worries","1985","in school","Urban Area","56","0.373862454546697","0.296692113946904","0.451032795146489","2"
"Some worries","1985","inadequately","Rural Area","31","0.346285131079879","0.253495700891807","0.439074561267952","2"
"Some worries","1985","in school","Rural Area","15","","","","2"
"Some worries","1985","higher vocational","Urban Area","218","0.45193416527468","0.407868127427296","0.496000203122064","2"
"Some worries","1985","higher vocational","Rural Area","67","0.524580985123493","0.437726794685552","0.611435175561434","2"
"Some worries","1985","higher education","Rural Area","49","0.435208811777324","0.345373318601293","0.525044304953355","2"
"Some worries","1985","higher education","Urban Area","244","0.390624106657135","0.352646672655873","0.428601540658396","2"
"Some worries","1985","general elemantary","Rural Area","309","0.431118103673706","0.394690709643884","0.467545497703528","2"
"Some worries","1985","general elemantary","Urban Area","880","0.387370824924301","0.367582050638891","0.407159599209711","2"
"Big worries","1986","general elemantary","Rural Area","309","0.465309881332988","0.427764591533723","0.502855171132254","1"
"Big worries","1986","general elemantary","Urban Area","1020","0.450046040366869","0.429323121728103","0.470768959005635","1"
"Big worries","1986","higher education","Rural Area","50","0.416294676982296","0.32772769087259","0.504861663092002","1"
"Big worries","1986","higher education","Urban Area","305","0.467146199736641","0.428156201807068","0.506136197666214","1"
"Big worries","1986","higher vocational","Rural Area","51","0.424700337137289","0.336627138665726","0.512773535608853","1"
"Big worries","1986","higher vocational","Urban Area","205","0.444955463908907","0.39949185195572","0.490419075862093","1"
"Big worries","1986","in school","Rural Area","7","","","","1"
"Big worries","1986","in school","Urban Area","73","0.44189483449576","0.365656785749318","0.518132883242202","1"
"Big worries","1986","inadequately","Rural Area","41","0.444042925970524","0.347619820781986","0.540466031159063","1"
"Big worries","1986","inadequately","Urban Area","264","0.374897579548543","0.33835072108944","0.411444438007645","1"
"Big worries","1986","middle vocational","Rural Area","437","0.40713976307093","0.377535573362486","0.436743952779374","1"
"Big worries","1986","middle vocational","Urban Area","1848","0.468934499448713","0.453304574717391","0.484564424180035","1"
"Big worries","1986","vocational + Abi","Rural Area","29","","","","1"
"Big worries","1986","vocational + Abi","Urban Area","112","0.48396960007654","0.419524665657224","0.548414534495856","1"
"No worries","1986","vocational + Abi","Rural Area","7","","","","3"
"No worries","1986","vocational + Abi","Urban Area","17","","","","3"
"No worries","1986","middle vocational","Rural Area","141","0.131554367638168","0.111187266945229","0.151921468331107","3"
"No worries","1986","middle vocational","Urban Area","474","0.117257956849148","0.107181338348232","0.127334575350065","3"
"No worries","1986","in school","Urban Area","16","","","","3"
"No worries","1986","inadequately","Rural Area","24","","","","3"
"No worries","1986","inadequately","Urban Area","148","0.236988074057572","0.204884968145273","0.269091179969871","3"
"No worries","1986","higher vocational","Urban Area","43","0.0957544161018913","0.0688350795191817","0.122673752684601","3"
"No worries","1986","in school","Rural Area","3","","","","3"
"No worries","1986","higher education","Rural Area","15","","","","3"
"No worries","1986","higher education","Urban Area","53","0.0845864931222007","0.0628403653075179","0.106332620936884","3"
"No worries","1986","higher vocational","Rural Area","21","","","","3"
"No worries","1986","general elemantary","Rural Area","91","0.12465959992385","0.0997948214102743","0.149524378437425","3"
"No worries","1986","general elemantary","Urban Area","292","0.128877256681898","0.114920416660415","0.142834096703381","3"
"Some worries","1986","vocational + Abi","Rural Area","9","","","","2"
"Some worries","1986","middle vocational","Urban Area","1594","0.413807543702139","0.398381801685693","0.429233285718584","2"
"Some worries","1986","middle vocational","Rural Area","480","0.461305869290902","0.431267879235177","0.491343859346627","2"
"Some worries","1986","vocational + Abi","Urban Area","102","0.44100897797013","0.376981229103705","0.505036726836555","2"
"Some worries","1986","in school","Urban Area","74","0.476164744250521","0.399493895780666","0.552835592720376","2"
"Some worries","1986","inadequately","Rural Area","37","0.289274398993852","0.201280211642195","0.377268586345509","2"
"Some worries","1986","higher vocational","Urban Area","211","0.459290119989202","0.41370034460832","0.504879895370083","2"
"Some worries","1986","inadequately","Urban Area","262","0.388114346393885","0.351324063579218","0.424904629208553","2"
"Some worries","1986","in school","Rural Area","12","","","","2"
"Some worries","1986","higher education","Rural Area","54","0.449006152638235","0.359639779861163","0.538372525415307","2"
"Some worries","1986","higher education","Urban Area","271","0.448267307141158","0.409402576615748","0.487132037666569","2"
"Some worries","1986","higher vocational","Rural Area","49","0.400181162908959","0.312885276925748","0.487477048892169","2"
"Some worries","1986","general elemantary","Rural Area","278","0.410030518743162","0.373008839936716","0.447052197549608","2"
"Some worries","1986","general elemantary","Urban Area","902","0.421076702951233","0.400510675885427","0.44164273001704","2"
"Big worries","1987","general elemantary","Rural Area","287","0.458934323931062","0.420567058184753","0.497301589677371","1"
"Big worries","1987","general elemantary","Urban Area","937","0.470572453079176","0.449547469846311","0.491597436312041","1"
"Big worries","1987","higher education","Rural Area","48","0.401819427681967","0.314101354106102","0.489537501257832","1"
"Big worries","1987","higher education","Urban Area","301","0.477115251144977","0.437925687022587","0.516304815267367","1"
"Big worries","1987","higher vocational","Rural Area","40","0.333347024869785","0.247188674858628","0.419505374880942","1"
"Big worries","1987","higher vocational","Urban Area","205","0.463696611592697","0.417467392105775","0.509925831079618","1"
"Big worries","1987","in school","Rural Area","15","","","","1"
"Big worries","1987","in school","Urban Area","79","0.528107694905364","0.45147096159825","0.604744428212477","1"
"Big worries","1987","inadequately","Rural Area","35","0.425650044415957","0.328253145086653","0.52304694374526","1"
"Big worries","1987","inadequately","Urban Area","236","0.363427724455316","0.326422875997083","0.400432572913549","1"
"Big worries","1987","middle vocational","Rural Area","460","0.423619767785176","0.394067650747571","0.453171884822782","1"
"Big worries","1987","middle vocational","Urban Area","1787","0.475937341616682","0.460200585142613","0.491674098090752","1"
"Big worries","1987","vocational + Abi","Rural Area","20","","","","1"
"Big worries","1987","vocational + Abi","Urban Area","115","0.497527549461234","0.433736935203849","0.561318163718619","1"
"No worries","1987","middle vocational","Rural Area","111","0.103116809031057","0.084929073716365","0.121304544345748","3"
"No worries","1987","middle vocational","Urban Area","423","0.104301123774791","0.0946700605323206","0.113932187017262","3"
"No worries","1987","vocational + Abi","Rural Area","4","","","","3"
"No worries","1987","vocational + Abi","Urban Area","28","","","","3"
"No worries","1987","higher vocational","Urban Area","44","0.101809397301226","0.0737762075832165","0.129842587019235","3"
"No worries","1987","in school","Rural Area","4","","","","3"
"No worries","1987","in school","Urban Area","20","","","","3"
"No worries","1987","inadequately","Rural Area","30","0.229976049064806","0.147081892905291","0.312870205224321","3"
"No worries","1987","inadequately","Urban Area","122","0.189862624803473","0.15968918540505","0.220036064201896","3"
"No worries","1987","general elemantary","Rural Area","81","0.117952676920665","0.093117890351234","0.142787463490095","3"
"No worries","1987","general elemantary","Urban Area","299","0.123684756280057","0.109816961292689","0.137552551267425","3"
"No worries","1987","higher education","Rural Area","12","","","","3"
"No worries","1987","higher education","Urban Area","68","0.112083748434786","0.0873315873898339","0.136835909479738","3"
"No worries","1987","higher vocational","Rural Area","19","","","","3"
"Some worries","1987","vocational + Abi","Rural Area","18","","","","2"
"Some worries","1987","middle vocational","Urban Area","1659","0.419761534608526","0.404210714283284","0.435312354933768","2"
"Some worries","1987","middle vocational","Rural Area","503","0.473263423183767","0.443403123697802","0.503123722669732","2"
"Some worries","1987","vocational + Abi","Urban Area","93","0.407355823364727","0.344669028560927","0.470042618168526","2"
"Some worries","1987","higher vocational","Urban Area","198","0.434493991106078","0.388541947665695","0.48044603454646","2"
"Some worries","1987","in school","Rural Area","5","","","","2"
"Some worries","1987","in school","Urban Area","64","0.355016444179713","0.281556119274885","0.428476769084541","2"
"Some worries","1987","inadequately","Rural Area","34","0.344373906519237","0.250774363744266","0.437973449294209","2"
"Some worries","1987","inadequately","Urban Area","291","0.446709650741211","0.408461102326396","0.484958199156025","2"
"Some worries","1987","general elemantary","Rural Area","280","0.423112999148273","0.3850735561818","0.461152442114746","2"
"Some worries","1987","general elemantary","Urban Area","929","0.405742790640767","0.385058921751512","0.426426659530022","2"
"Some worries","1987","higher education","Rural Area","60","0.498340366714696","0.408881152342725","0.587799581086668","2"
"Some worries","1987","higher education","Urban Area","255","0.410801000420237","0.372199646031075","0.449402354809398","2"
