"plh0038","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"No worries","1984","Couple + C. GT 16 ","in school","9","","","","3"
"No worries","1984","Couple + C. GT 16 ","inadequately","24","","","","3"
"No worries","1984","Couple + C. GT 16 ","general elemantary","62","0.0776053795133849","0.0558874655707322","0.0993232934560376","3"
"No worries","1984","Couple + C. GT 16 ","middle vocational","82","0.0842100407572727","0.0662849027483041","0.102135178766241","3"
"No worries","1984","Couple + C. GT 16 ","vocational + Abi","3","","","","3"
"No worries","1984","Couple + C. GT 16 ","higher vocational","3","","","","3"
"No worries","1984","Couple + C. GT 16 ","higher education","7","","","","3"
"No worries","1984","Couple + C. LE and GT 16","in school","11","","","","3"
"No worries","1984","Couple + C. LE and GT 16","inadequately","48","0.206914693934868","0.152766437209488","0.261062950660247","3"
"No worries","1984","Couple + C. LE and GT 16","general elemantary","81","0.104054528985587","0.0794380670125748","0.1286709909586","3"
"No worries","1984","Couple + C. LE and GT 16","vocational + Abi","1","","","","3"
"No worries","1984","Couple + C. LE and GT 16","higher vocational","7","","","","3"
"Some worries","1984","Couple + C. LE and GT 16","vocational + Abi","10","","","","2"
"Some worries","1984","Couple + C. LE and GT 16","higher education","18","","","","2"
"Some worries","1984","Couple + C. LE and GT 16","middle vocational","263","0.393892042463258","0.357113302980712","0.430670781945803","2"
"Some worries","1984","1-pers.-HH","in school","","","","","2"
"Some worries","1984","1-pers.-HH","inadequately","15","","","","2"
"Some worries","1984","1-pers.-HH","general elemantary","137","0.351484998453003","0.304040408160901","0.398929588745105","2"
"Some worries","1984","1-pers.-HH","middle vocational","238","0.380203242802187","0.341992559462458","0.418413926141916","2"
"Some worries","1984","1-pers.-HH","vocational + Abi","13","","","","2"
"Some worries","1984","1-pers.-HH","higher vocational","26","","","","2"
"Some worries","1984","1-pers.-HH","higher education","40","0.361548742857455","0.274491990610323","0.448605495104587","2"
"Some worries","1984","(Married) couple without C. ","in school","1","","","","2"
"Some worries","1984","(Married) couple without C. ","inadequately","47","0.402851298973505","0.317883036709984","0.487819561237025","2"
"Some worries","1984","(Married) couple without C. ","general elemantary","261","0.386849332304971","0.350614781285916","0.423083883324027","2"
"Some worries","1984","(Married) couple without C. ","middle vocational","483","0.343622949584089","0.318807690318871","0.368438208849308","2"
"Some worries","1984","(Married) couple without C. ","vocational + Abi","24","","","","2"
"Some worries","1984","(Married) couple without C. ","higher vocational","59","0.372575736021039","0.297892506132888","0.447258965909191","2"
"Some worries","1984","(Married) couple without C. ","higher education","68","0.331031345799721","0.265812886149955","0.396249805449487","2"
"Some worries","1984","Single parent ","in school","7","","","","2"
"Some worries","1984","Single parent ","inadequately","28","","","","2"
"Some worries","1984","Single parent ","general elemantary","83","0.387524243990948","0.320005091356969","0.455043396624927","2"
"Some worries","1984","Single parent ","middle vocational","85","0.345760186751676","0.287611821996841","0.403908551506511","2"
"Some worries","1984","Single parent ","vocational + Abi","","","","","2"
"Some worries","1984","Single parent ","higher vocational","8","","","","2"
"Some worries","1984","Single parent ","higher education","7","","","","2"
"Some worries","1984","Couple + C. LE 16 ","in school","","","","","2"
"Some worries","1984","Couple + C. LE 16 ","inadequately","106","0.340889209469882","0.287952301493248","0.393826117446516","2"
"Some worries","1984","Couple + C. LE 16 ","general elemantary","231","0.35584767155298","0.319210450399288","0.392484892706672","2"
"Some worries","1984","Couple + C. LE 16 ","middle vocational","607","0.406636384032069","0.381728526901206","0.431544241162932","2"
"Some worries","1984","Couple + C. LE 16 ","vocational + Abi","24","","","","2"
