"plh0038","year","bula_h","migback","n","percent","lower_confidence","upper_confidence"
"Big worries","1984","Schleswig-Holstein","no migration background","166","0.486719961634504","0.433669683160939","0.539770240108068"
"Big worries","1984","Schleswig-Holstein","direct migration background","18","","",""
"Big worries","1984","Schleswig-Holstein","indirect migration background","1","","",""
"Big worries","1984","Hamburg","no migration background","132","0.59338121635457","0.528176282317658","0.658586150391483"
"Big worries","1984","Hamburg","direct migration background","47","0.503861426122349","0.400565334625209","0.607157517619489"
"Big worries","1984","Hamburg","indirect migration background","","","",""
"Big worries","1984","Lower Saxony","no migration background","520","0.508951802988321","0.478166476957181","0.539737129019461"
"Big worries","1984","Lower Saxony","direct migration background","86","0.513992945000673","0.444199466551855","0.583786423449491"
"Big worries","1984","Lower Saxony","indirect migration background","5","","",""
"Big worries","1984","Bremen","no migration background","67","0.680187531545871","0.5878459981069","0.772529064984841"
"Big worries","1984","Bremen","direct migration background","26","","",""
"Big worries","1984","Bremen","indirect migration background","","","",""
"Big worries","1984","North Rhine-Westphalia","no migration background","1309","0.586232185951141","0.565918005585762","0.60654636631652"
"Big worries","1984","North Rhine-Westphalia","direct migration background","447","0.479169995717736","0.447045742564847","0.511294248870625"
"Big worries","1984","North Rhine-Westphalia","indirect migration background","22","","",""
"Big worries","1984","Hesse","no migration background","414","0.53355096882346","0.498153201017406","0.568948736629514"
"Big worries","1984","Hesse","direct migration background","242","0.556633865985939","0.511864227040722","0.601403504931156"
"Big worries","1984","Hesse","indirect migration background","9","","",""
"Big worries","1984","Rhineland-Palatinate,Saarland","no migration background","362","0.521756794168038","0.484538753613652","0.558974834722423"
"Big worries","1984","Rhineland-Palatinate,Saarland","direct migration background","79","0.465570824474023","0.386272455442346","0.5448691935057"
"Big worries","1984","Rhineland-Palatinate,Saarland","indirect migration background","2","","",""
"Big worries","1984","Baden-Württemberg","no migration background","643","0.477752777635636","0.451018196643043","0.504487358628228"
"Big worries","1984","Baden-Württemberg","direct migration background","364","0.461552490898566","0.428615115426016","0.494489866371116"
"Big worries","1984","Baden-Württemberg","indirect migration background","14","","",""
"Big worries","1984","Bavaria","no migration background","842","0.518176751885577","0.493716317372995","0.542637186398158"
"Big worries","1984","Bavaria","direct migration background","223","0.54230935870474","0.496124045285151","0.588494672124328"
"Big worries","1984","Bavaria","indirect migration background","17","","",""
"Big worries","1984","Berlin","no migration background","176","0.597898840583915","0.541466169046196","0.654331512121634"
"Big worries","1984","Berlin","direct migration background","61","0.60206904730191","0.512609605928549","0.691528488675272"
"Big worries","1984","Berlin","indirect migration background","1","","",""
"Big worries","1984","Brandenburg","no migration background","","","",""
"Big worries","1984","Brandenburg","direct migration background","","","",""
"Big worries","1984","Brandenburg","indirect migration background","","","",""
"Big worries","1984","Mecklenburg-Western Pomerania","no migration background","","","",""
"Big worries","1984","Mecklenburg-Western Pomerania","direct migration background","","","",""
"Big worries","1984","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"Big worries","1984","Saxony","no migration background","","","",""
"Big worries","1984","Saxony","direct migration background","","","",""
"Big worries","1984","Saxony","indirect migration background","","","",""
"Big worries","1984","Saxony-Anhalt","no migration background","","","",""
"Big worries","1984","Saxony-Anhalt","direct migration background","","","",""
"Big worries","1984","Saxony-Anhalt","indirect migration background","","","",""
"Big worries","1984","Thuringia","no migration background","","","",""
"Big worries","1984","Thuringia","direct migration background","","","",""
"Big worries","1984","Thuringia","indirect migration background","","","",""
"Some worries","1984","Schleswig-Holstein","no migration background","133","0.387415768362346","0.335709588225638","0.439121948499053"
"Some worries","1984","Schleswig-Holstein","direct migration background","16","","",""
"Some worries","1984","Schleswig-Holstein","indirect migration background","4","","",""
"Some worries","1984","Hamburg","no migration background","63","0.291438751915217","0.231115854716977","0.351761649113457"
"Some worries","1984","Hamburg","direct migration background","26","","",""
"Some worries","1984","Hamburg","indirect migration background","1","","",""
