"plh0038","year","age_gr","migback","n","percent","lower_confidence","upper_confidence"
"Big worries","1984","16-34 y.","no migration background","1688","0.548524123636087","0.530949425522615","0.566098821749559"
"Big worries","1984","16-34 y.","direct migration background","655","0.48458408139981","0.458120337018009","0.51104782578161"
"Big worries","1984","16-34 y.","indirect migration background","56","0.626580665584027","0.531297234177291","0.721864096990763"
"Big worries","1984","35-65 y.","no migration background","2293","0.533216703471456","0.518317255385408","0.548116151557504"
"Big worries","1984","35-65 y.","direct migration background","918","0.515408710302487","0.493232714280773","0.5375847063242"
"Big worries","1984","35-65 y.","indirect migration background","","","",""
"Big worries","1984","66 and older","no migration background","650","0.524864367612269","0.496956421166126","0.552772314058412"
"Big worries","1984","66 and older","direct migration background","","","",""
"Big worries","1984","66 and older","indirect migration background","","","",""
"Some worries","1984","16-34 y.","no migration background","1118","0.362674090283041","0.345695102914962","0.379653077651119"
"Some worries","1984","16-34 y.","direct migration background","497","0.377359017640505","0.351691490784757","0.403026544496254"
"Some worries","1984","16-34 y.","indirect migration background","31","0.275505144546725","0.187498998438145","0.363511290655305"
"Some worries","1984","35-65 y.","no migration background","1671","0.385215253141517","0.370681628660445","0.399748877622589"
"Some worries","1984","35-65 y.","direct migration background","655","0.322405740122064","0.30166588596189","0.343145594282238"
"Some worries","1984","35-65 y.","indirect migration background","","","",""
"Some worries","1984","66 and older","no migration background","439","0.360368139094619","0.333537329762276","0.387198948426962"
"Some worries","1984","66 and older","direct migration background","","","",""
"Some worries","1984","66 and older","indirect migration background","","","",""
"No worries","1984","16-34 y.","no migration background","274","0.088801786080872","0.0787558591935689","0.0988477129681751"
"No worries","1984","16-34 y.","direct migration background","218","0.138056900959685","0.119790366266067","0.156323435653303"
"No worries","1984","16-34 y.","indirect migration background","","","",""
"No worries","1984","35-65 y.","no migration background","343","0.0815680433870272","0.0733938638784209","0.0897422228956335"
"No worries","1984","35-65 y.","direct migration background","378","0.162185549575449","0.145828707595779","0.178542391555119"
"No worries","1984","35-65 y.","indirect migration background","","","",""
"No worries","1984","66 and older","no migration background","141","0.114767493293112","0.096954633071555","0.13258035351467"
"No worries","1984","66 and older","direct migration background","","","",""
"No worries","1984","66 and older","indirect migration background","","","",""
"Big worries","1985","16-34 y.","no migration background","1413","0.485643981287789","0.467387453731162","0.503900508844416"
"Big worries","1985","16-34 y.","direct migration background","537","0.49674910317392","0.467686890050442","0.525811316297397"
"Big worries","1985","16-34 y.","indirect migration background","57","0.495962011369672","0.406505221575447","0.585418801163897"
"Big worries","1985","35-65 y.","no migration background","1948","0.491821692252597","0.476295861805619","0.507347522699575"
"Big worries","1985","35-65 y.","direct migration background","827","0.486983018924343","0.463368427547196","0.51059761030149"
"Big worries","1985","35-65 y.","indirect migration background","","","",""
"Big worries","1985","66 and older","no migration background","511","0.492228877830422","0.462032736523474","0.52242501913737"
"Big worries","1985","66 and older","direct migration background","","","",""
"Big worries","1985","66 and older","indirect migration background","","","",""
"Some worries","1985","16-34 y.","no migration background","1161","0.408590891388929","0.390634643036034","0.426547139741824"
"Some worries","1985","16-34 y.","direct migration background","421","0.376746617347747","0.348580637667185","0.404912597028308"
"Some worries","1985","16-34 y.","indirect migration background","41","0.398657760129478","0.311054869940944","0.486260650318012"
"Some worries","1985","35-65 y.","no migration background","1686","0.417451707367048","0.402136882827232","0.432766531906863"
"Some worries","1985","35-65 y.","direct migration background","609","0.37502753438167","0.352154716333101","0.397900352430239"
"Some worries","1985","35-65 y.","indirect migration background","","","",""
"Some worries","1985","66 and older","no migration background","403","0.38129198439772","0.351955665735399","0.410628303060041"
"Some worries","1985","66 and older","direct migration background","","","",""
"Some worries","1985","66 and older","indirect migration background","","","",""
"No worries","1985","16-34 y.","no migration background","305","0.105765127323282","0.0945313888797811","0.116998865766783"
"No worries","1985","16-34 y.","direct migration background","179","0.126504279478334","0.107182333738961","0.145826225217706"
"No worries","1985","16-34 y.","indirect migration background","","","",""
"No worries","1985","35-65 y.","no migration background","349","0.0907266003803553","0.0818067514358217","0.099646449324889"
"No worries","1985","35-65 y.","direct migration background","285","0.137989446693987","0.121695102576605","0.154283790811369"
"No worries","1985","35-65 y.","indirect migration background","","","",""
