"plh0038","year","e11102","e11103","n","percent","lower_confidence","upper_confidence","value"
"Big worries","1984","Not Employed","Full Time","","","","","1"
"Big worries","1984","Not Employed","Part Time","","","","","1"
"Big worries","1984","Not Employed","Not Working","2518","0.550760911661689","0.536409898523571","0.565111924799807","1"
"Big worries","1984","Employed","Full Time","2685","0.493832937954663","0.480751215711988","0.506914660197337","1"
"Big worries","1984","Employed","Part Time","1092","0.594691595652493","0.572451642201391","0.616931549103594","1"
"Big worries","1984","Employed","Not Working","","","","","1"
"No worries","1984","Not Employed","Not Working","479","0.0932870720174864","0.0848961849996","0.101677959035373","3"
"No worries","1984","Employed","Not Working","","","","","3"
"No worries","1984","Not Employed","Full Time","","","","","3"
"No worries","1984","Not Employed","Part Time","","","","","3"
"No worries","1984","Employed","Full Time","732","0.107580238264745","0.0994728906035079","0.115687585925982","3"
"No worries","1984","Employed","Part Time","163","0.072851550918386","0.0610784949726236","0.0846246068641483","3"
"Some worries","1984","Not Employed","Not Working","1618","0.355952016320825","0.342138091774713","0.369765940866936","2"
"Some worries","1984","Employed","Full Time","2194","0.398586823780593","0.385776034284579","0.411397613276606","2"
"Some worries","1984","Not Employed","Full Time","","","","","2"
"Some worries","1984","Employed","Not Working","","","","","2"
"Some worries","1984","Not Employed","Part Time","","","","","2"
"Some worries","1984","Employed","Part Time","617","0.332456853429121","0.311116456910217","0.353797249948026","2"
"Big worries","1985","Not Employed","Full Time","","","","","1"
"Big worries","1985","Not Employed","Part Time","","","","","1"
"Big worries","1985","Not Employed","Not Working","2134","0.521969626932398","0.506779366947869","0.537159886916927","1"
"Big worries","1985","Employed","Full Time","2253","0.450765681725126","0.43689751040265","0.464633853047603","1"
"Big worries","1985","Employed","Part Time","938","0.503620967659029","0.480849752048283","0.526392183269775","1"
"Big worries","1985","Employed","Not Working","","","","","1"
"No worries","1985","Not Employed","Not Working","460","0.104327595174776","0.0950317466074163","0.113623443742136","3"
"No worries","1985","Employed","Not Working","","","","","3"
"No worries","1985","Not Employed","Full Time","","","","","3"
"No worries","1985","Not Employed","Part Time","","","","","3"
"No worries","1985","Employed","Full Time","651","0.115690465353372","0.106775577569765","0.124605353136979","3"
"No worries","1985","Employed","Part Time","176","0.0843309309511579","0.0716751100804079","0.096986751821908","3"
"Some worries","1985","Not Employed","Not Working","1560","0.373702777892826","0.35899089528894","0.388414660496712","2"
"Some worries","1985","Employed","Full Time","2041","0.433543852921502","0.419731597321122","0.447356108521882","2"
"Some worries","1985","Employed","Not Working","","","","","2"
"Some worries","1985","Not Employed","Full Time","","","","","2"
"Some worries","1985","Not Employed","Part Time","","","","","2"
"Some worries","1985","Employed","Part Time","738","0.412048101389813","0.389631361265934","0.434464841513692","2"
"Big worries","1986","Not Employed","Full Time","","","","","1"
"Big worries","1986","Not Employed","Part Time","","","","","1"
"Big worries","1986","Not Employed","Not Working","1841","0.467118262852795","0.451475997270493","0.482760528435098","1"
"Big worries","1986","Employed","Full Time","2097","0.424999409300493","0.411049456117461","0.438949362483525","1"
"Big worries","1986","Employed","Part Time","859","0.488986472497178","0.465976621316433","0.511996323677922","1"
"Big worries","1986","Employed","Not Working","","","","","1"
"No worries","1986","Not Employed","Not Working","495","0.122097034063094","0.111832325370838","0.13236174275535","3"
"No worries","1986","Not Employed","Part Time","","","","","3"
"No worries","1986","Employed","Full Time","671","0.131055593915924","0.121532715953846","0.140578471878003","3"
"No worries","1986","Employed","Not Working","","","","","3"
"No worries","1986","Not Employed","Full Time","","","","","3"
"No worries","1986","Employed","Part Time","204","0.0985889534987413","0.084866721572715","0.112311185424768","3"
