"year","pgisced97","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2006","general elemantary","7.26","8","2480","4","6","9","10","7.18","7.34","8","8"
"2006","higher education","7.41","8","4573","5","6","9","10","7.36","7.46","8","8"
"2006","higher vocational","7.36","8","1648","5","7","9","10","7.27","7.45","8","8"
"2006","in school","8.32","9","397","6","8","9","10","8.17","8.47","8","9"
"2006","inadequately","6.74","7","239","3","5","9","10","6.43","7.05","7","7"
"2006","middle vocational","7.45","8","11080","5","7","9","10","7.42","7.48","8","8"
"2006","vocational + Abi","7.56","8","1214","5","7","9","10","7.46","7.66","8","8"
"2007","general elemantary","","","","","","","","","","",""
"2007","higher education","","","","","","","","","","",""
"2007","higher vocational","","","","","","","","","","",""
"2007","in school","","","","","","","","","","",""
"2007","inadequately","","","","","","","","","","",""
"2007","middle vocational","","","","","","","","","","",""
"2007","vocational + Abi","","","","","","","","","","",""
"2008","general elemantary","","","","","","","","","","",""
"2008","higher education","","","","","","","","","","",""
"2008","higher vocational","","","","","","","","","","",""
"2008","in school","","","","","","","","","","",""
"2008","inadequately","","","","","","","","","","",""
"2008","middle vocational","","","","","","","","","","",""
"2008","vocational + Abi","","","","","","","","","","",""
"2009","general elemantary","","","","","","","","","","",""
"2009","higher education","","","","","","","","","","",""
"2009","higher vocational","","","","","","","","","","",""
"2009","in school","","","","","","","","","","",""
"2009","inadequately","","","","","","","","","","",""
"2009","middle vocational","","","","","","","","","","",""
"2009","vocational + Abi","","","","","","","","","","",""
"2010","general elemantary","","","","","","","","","","",""
"2010","higher education","","","","","","","","","","",""
"2010","higher vocational","","","","","","","","","","",""
"2010","in school","","","","","","","","","","",""
"2010","inadequately","","","","","","","","","","",""
"2010","middle vocational","","","","","","","","","","",""
"2010","vocational + Abi","","","","","","","","","","",""
"2011","general elemantary","7.44","8","2578","5","6","9","10","7.36","7.52","8","8"
"2011","higher education","7.57","8","5760","5","7","9","10","7.52","7.62","8","8"
"2011","higher vocational","7.61","8","1696","5","7","9","10","7.53","7.69","8","8"
"2011","in school","8.88","9","431","7","8","10","10","8.76","9","9","9"
"2011","inadequately","7","8","351","4","5","9","10","6.73","7.27","8","8"
"2011","middle vocational","7.56","8","12573","5","7","9","10","7.53","7.59","8","8"
"2011","vocational + Abi","7.7","8","1840","5","7","9","10","7.62","7.78","8","8"
"2012","general elemantary","7.96","8","784","5","7","10","10","7.82","8.1","8","8"
"2012","higher education","7.94","8","1497","6","7","9","10","7.86","8.02","8","8"
"2012","higher vocational","8.06","8","366","6","7","9","10","7.9","8.22","8","8"
"2012","in school","8.6","9","190","6","8","10","10","8.39","8.81","9","9"
"2012","inadequately","7.33","8","157","5","6","9","10","6.95","7.71","7","8"
"2012","middle vocational","8.09","8","3256","6","7","9","10","8.03","8.15","8","8"
"2012","vocational + Abi","8.2","8","757","6","8","9","10","8.08","8.32","8","8"
"2013","general elemantary","7.85","8","763","5","7","9","10","7.7","8","8","8"
"2013","higher education","8.03","8","1391","6","7","9","10","7.95","8.11","8","8"
"2013","higher vocational","7.89","8","352","6","7","9","10","7.7","8.08","8","8"
"2013","in school","8.67","9","197","7","8","10","10","8.51","8.83","9","9"
"2013","inadequately","7.31","8","139","5","6","9","10","6.94","7.68","7","8"
"2013","middle vocational","8.05","8","3082","6","7","9","10","7.99","8.11","8","8"
"2013","vocational + Abi","8.24","8","687","6","8","9","10","8.12","8.36","8","8"
"2014","general elemantary","","","","","","","","","","",""
"2014","higher education","","","","","","","","","","",""
"2014","higher vocational","","","","","","","","","","",""
"2014","in school","","","","","","","","","","",""
"2014","inadequately","","","","","","","","","","",""
"2014","middle vocational","","","","","","","","","","",""
"2014","vocational + Abi","","","","","","","","","","",""
"2015","general elemantary","","","","","","","","","","",""
"2015","higher education","","","","","","","","","","",""
"2015","higher vocational","","","","","","","","","","",""
"2015","in school","","","","","","","","","","",""
"2015","inadequately","","","","","","","","","","",""
"2015","middle vocational","","","","","","","","","","",""
"2015","vocational + Abi","","","","","","","","","","",""
"2016","general elemantary","7.57","8","2559","5","7","9","10","7.49","7.65","8","8"
"2016","higher education","7.64","8","5889","5","7","9","10","7.6","7.68","8","8"
"2016","higher vocational","7.61","8","1404","5","7","9","10","7.52","7.7","8","8"
"2016","in school","8.45","9","334","6","8","10","10","8.29","8.61","9","9"
"2016","inadequately","6.98","7","398","4","5","9","10","6.74","7.22","7","8"
"2016","middle vocational","7.62","8","10962","5","7","9","10","7.59","7.65","8","8"
"2016","vocational + Abi","7.64","8","2015","5","7","9","10","7.56","7.72","8","8"
