"year","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2006","7.43","8","21954","5","6","9","10","7.41","7.45","8","8"
"2007","","","","","","","","","","",""
"2008","","","","","","","","","","",""
"2009","","","","","","","","","","",""
"2010","","","","","","","","","","",""
"2011","7.58","8","25789","5","7","9","10","7.56","7.6","8","8"
"2012","8.06","8","7139","6","7","9","10","8.02","8.1","8","8"
"2013","8.04","8","6805","6","7","9","10","8","8.08","8","8"
"2014","","","","","","","","","","",""
"2015","","","","","","","","","","",""
"2016","7.63","8","24160","5","7","9","10","7.61","7.65","8","8"
