"ple0180","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence"
"Daily","2016","16-34 y.","in school","","","",""
"Daily","2016","16-34 y.","inadequately","5","","",""
"Daily","2016","16-34 y.","general elemantary","14","","",""
"Daily","2016","16-34 y.","middle vocational","18","","",""
"Daily","2016","16-34 y.","vocational + Abi","7","","",""
"Daily","2016","16-34 y.","higher vocational","1","","",""
"Daily","2016","16-34 y.","higher education","6","","",""
"Daily","2016","35-65 y.","in school","","","",""
"Daily","2016","35-65 y.","inadequately","5","","",""
"Daily","2016","35-65 y.","general elemantary","10","","",""
"Daily","2016","35-65 y.","middle vocational","59","0.0110500376001936","0.00847460860864319","0.013625466591744"
"Daily","2016","35-65 y.","vocational + Abi","12","","",""
"Daily","2016","35-65 y.","higher vocational","4","","",""
"Daily","2016","35-65 y.","higher education","18","","",""
"Daily","2016","66 and older","in school","","","",""
"Daily","2016","66 and older","inadequately","","","",""
"Daily","2016","66 and older","general elemantary","4","","",""
"Daily","2016","66 and older","middle vocational","25","","",""
"Daily","2016","66 and older","vocational + Abi","2","","",""
"Daily","2016","66 and older","higher vocational","8","","",""
"Daily","2016","66 and older","higher education","14","","",""
"Four to six days a week","2016","16-34 y.","in school","6","","",""
"Four to six days a week","2016","16-34 y.","inadequately","8","","",""
"Four to six days a week","2016","16-34 y.","general elemantary","33","0.0399357936234615","0.0273916370676968","0.0524799501792262"
"Four to six days a week","2016","16-34 y.","middle vocational","51","0.0197535488538042","0.0138716294980952","0.0256354682095132"
"Four to six days a week","2016","16-34 y.","vocational + Abi","13","","",""
"Four to six days a week","2016","16-34 y.","higher vocational","4","","",""
"Four to six days a week","2016","16-34 y.","higher education","22","","",""
"Four to six days a week","2016","35-65 y.","in school","","","",""
"Four to six days a week","2016","35-65 y.","inadequately","11","","",""
"Four to six days a week","2016","35-65 y.","general elemantary","32","0.0271076719563568","0.0170272430303101","0.0371881008824035"
"Four to six days a week","2016","35-65 y.","middle vocational","206","0.0364883851935453","0.0318689769790817","0.041107793408009"
"Four to six days a week","2016","35-65 y.","vocational + Abi","39","0.0439020092736383","0.0332120023749814","0.0545920161722952"
"Four to six days a week","2016","35-65 y.","higher vocational","33","0.0482098523258801","0.0346240619813369","0.0617956426704233"
"Four to six days a week","2016","35-65 y.","higher education","98","0.0306860133607252","0.0251498026172783","0.0362222241041722"
"Four to six days a week","2016","66 and older","in school","","","",""
"Four to six days a week","2016","66 and older","inadequately","2","","",""
"Four to six days a week","2016","66 and older","general elemantary","19","","",""
"Four to six days a week","2016","66 and older","middle vocational","90","0.0439635055834375","0.035725268939584","0.0522017422272909"
"Four to six days a week","2016","66 and older","vocational + Abi","4","","",""
"Four to six days a week","2016","66 and older","higher vocational","12","","",""
"Four to six days a week","2016","66 and older","higher education","50","0.0495537642200456","0.0371869504386566","0.0619205780014345"
"Two to three days a week","2016","16-34 y.","in school","46","0.117798212833424","0.0830696020026318","0.152526823664217"
"Two to three days a week","2016","16-34 y.","inadequately","23","","",""
"Two to three days a week","2016","16-34 y.","general elemantary","164","0.178649245642254","0.154109215593337","0.203189275691171"
"Two to three days a week","2016","16-34 y.","middle vocational","377","0.176405237039584","0.160293536312493","0.192516937766675"
"Two to three days a week","2016","16-34 y.","vocational + Abi","90","0.244303926147902","0.205744753422924","0.282863098872881"
"Two to three days a week","2016","16-34 y.","higher vocational","22","","",""
"Two to three days a week","2016","16-34 y.","higher education","161","0.170578860082394","0.146482007503499","0.194675712661289"
"Two to three days a week","2016","35-65 y.","in school","","","",""
"Two to three days a week","2016","35-65 y.","inadequately","60","0.270154501461211","0.214439166104253","0.325869836818169"
"Two to three days a week","2016","35-65 y.","general elemantary","225","0.225661114535714","0.199713680844618","0.251608548226811"
"Two to three days a week","2016","35-65 y.","middle vocational","1362","0.228519857883481","0.218175467741436","0.238864248025526"
"Two to three days a week","2016","35-65 y.","vocational + Abi","308","0.215512262233838","0.194057996437173","0.236966528030504"
"Two to three days a week","2016","35-65 y.","higher vocational","239","0.227186095096385","0.200611005190628","0.253761185002142"
"Two to three days a week","2016","35-65 y.","higher education","863","0.233600727021791","0.220018381438846","0.247183072604736"
"Two to three days a week","2016","66 and older","in school","","","",""
"Two to three days a week","2016","66 and older","inadequately","10","","",""
"Two to three days a week","2016","66 and older","general elemantary","224","0.353665759928056","0.315971176936438","0.391360342919673"
"Two to three days a week","2016","66 and older","middle vocational","739","0.310103984000383","0.291517537695139","0.328690430305627"
"Two to three days a week","2016","66 and older","vocational + Abi","58","0.551188870589094","0.46535963103239","0.637018110145798"
