"ple0180","year","e11103","pgisced97","n","percent","lower_confidence","upper_confidence"
"Daily","2016","Full Time","in school","","","",""
"Daily","2016","Full Time","inadequately","3","","",""
"Daily","2016","Full Time","general elemantary","7","","",""
"Daily","2016","Full Time","middle vocational","39","0.0112563074448689","0.00794745494244019","0.0145651599472976"
"Daily","2016","Full Time","vocational + Abi","15","","",""
"Daily","2016","Full Time","higher vocational","3","","",""
"Daily","2016","Full Time","higher education","15","","",""
"Daily","2016","Part Time","in school","","","",""
"Daily","2016","Part Time","inadequately","3","","",""
"Daily","2016","Part Time","general elemantary","6","","",""
"Daily","2016","Part Time","middle vocational","19","","",""
"Daily","2016","Part Time","vocational + Abi","3","","",""
"Daily","2016","Part Time","higher vocational","1","","",""
"Daily","2016","Part Time","higher education","6","","",""
"Daily","2016","Not Working","in school","","","",""
"Daily","2016","Not Working","inadequately","4","","",""
"Daily","2016","Not Working","general elemantary","15","","",""
"Daily","2016","Not Working","middle vocational","44","0.0134056305090463","0.0097442790049242","0.0170669820131684"
"Daily","2016","Not Working","vocational + Abi","3","","",""
"Daily","2016","Not Working","higher vocational","9","","",""
"Daily","2016","Not Working","higher education","17","","",""
"Four to six days a week","2016","Full Time","in school","","","",""
"Four to six days a week","2016","Full Time","inadequately","8","","",""
"Four to six days a week","2016","Full Time","general elemantary","31","0.0512564924628192","0.0339818218682103","0.0685311630574281"
"Four to six days a week","2016","Full Time","middle vocational","130","0.037891333960529","0.0319028128813062","0.0438798550397517"
"Four to six days a week","2016","Full Time","vocational + Abi","33","0.0457054092710669","0.0322685077243544","0.0591423108177793"
"Four to six days a week","2016","Full Time","higher vocational","24","","",""
"Four to six days a week","2016","Full Time","higher education","64","0.0268130144110238","0.0207086153333144","0.0329174134887332"
"Four to six days a week","2016","Part Time","in school","","","",""
"Four to six days a week","2016","Part Time","inadequately","3","","",""
"Four to six days a week","2016","Part Time","general elemantary","19","","",""
"Four to six days a week","2016","Part Time","middle vocational","86","0.0272676286876541","0.0215919360937256","0.0329433212815827"
"Four to six days a week","2016","Part Time","vocational + Abi","15","","",""
"Four to six days a week","2016","Part Time","higher vocational","11","","",""
"Four to six days a week","2016","Part Time","higher education","47","0.03255026552181","0.0240494256244896","0.0410511054191304"
"Four to six days a week","2016","Not Working","in school","6","","",""
"Four to six days a week","2016","Not Working","inadequately","10","","",""
"Four to six days a week","2016","Not Working","general elemantary","34","0.022869257379321","0.0145219749723843","0.0312165397862576"
"Four to six days a week","2016","Not Working","middle vocational","131","0.0380353817463594","0.0319455972375123","0.0441251662552065"
"Four to six days a week","2016","Not Working","vocational + Abi","8","","",""
"Four to six days a week","2016","Not Working","higher vocational","14","","",""
"Four to six days a week","2016","Not Working","higher education","59","0.0445939314066584","0.0340886087909381","0.0550992540223786"
"Two to three days a week","2016","Full Time","in school","1","","",""
"Two to three days a week","2016","Full Time","inadequately","16","","",""
"Two to three days a week","2016","Full Time","general elemantary","120","0.181288718843133","0.151109242376122","0.211468195310145"
"Two to three days a week","2016","Full Time","middle vocational","740","0.193028759265903","0.180649985946668","0.205407532585139"
"Two to three days a week","2016","Full Time","vocational + Abi","183","0.197043784434667","0.171451950730391","0.222635618138944"
"Two to three days a week","2016","Full Time","higher vocational","171","0.218844062934565","0.188171036197416","0.249517089671714"
"Two to three days a week","2016","Full Time","higher education","572","0.208334710358432","0.192987707658419","0.223681713058445"
"Two to three days a week","2016","Part Time","in school","10","","",""
"Two to three days a week","2016","Part Time","inadequately","21","","",""
"Two to three days a week","2016","Part Time","general elemantary","143","0.207830898550409","0.177621263364842","0.238040533735975"
"Two to three days a week","2016","Part Time","middle vocational","657","0.227346012117175","0.212739897961016","0.241952126273333"
"Two to three days a week","2016","Part Time","vocational + Abi","153","0.256839204754279","0.224815828078085","0.288862581430472"
"Two to three days a week","2016","Part Time","higher vocational","69","0.25273562406203","0.202457679715254","0.303013568408806"
"Two to three days a week","2016","Part Time","higher education","381","0.24224240669208","0.221718473183846","0.262766340200315"
"Two to three days a week","2016","Not Working","in school","35","0.117806060058178","0.0787702410040408","0.156841879112316"
"Two to three days a week","2016","Not Working","inadequately","56","0.288498134277329","0.228078131413648","0.348918137141011"
"Two to three days a week","2016","Not Working","general elemantary","350","0.309179198547305","0.283372611417465","0.334985785677146"
"Two to three days a week","2016","Not Working","middle vocational","1081","0.294830387158773","0.280313904417028","0.309346869900518"
"Two to three days a week","2016","Not Working","vocational + Abi","120","0.422492749183269","0.372431620090925","0.472553878275613"
"Two to three days a week","2016","Not Working","higher vocational","124","0.280745309446807","0.23665336525178","0.324837253641834"
"Two to three days a week","2016","Not Working","higher education","468","0.299757936245322","0.276440169250208","0.323075703240436"
"Two to four days a month","2016","Full Time","in school","","","",""
"Two to four days a month","2016","Full Time","inadequately","28","","",""
"Two to four days a month","2016","Full Time","general elemantary","261","0.4039365763916","0.365498313653237","0.442374839129964"
"Two to four days a month","2016","Full Time","middle vocational","1835","0.447476195158094","0.431880740615252","0.463071649700935"
"Two to four days a month","2016","Full Time","vocational + Abi","448","0.490110730003303","0.457947537901616","0.52227392210499"
"Two to four days a month","2016","Full Time","higher vocational","342","0.490112993597635","0.453027380738183","0.527198606457086"
"Two to four days a month","2016","Full Time","higher education","1426","0.526092960477888","0.507223921731776","0.544961999224"
"Two to four days a month","2016","Part Time","in school","27","","",""
"Two to four days a month","2016","Part Time","inadequately","39","0.372494795609276","0.282554280129955","0.462435311088598"
"Two to four days a month","2016","Part Time","general elemantary","267","0.384017037996925","0.347805991976576","0.420228084017274"
"Two to four days a month","2016","Part Time","middle vocational","1465","0.457414051214079","0.440052540319833","0.474775562108326"
"Two to four days a month","2016","Part Time","vocational + Abi","367","0.464220848663688","0.427665553435095","0.500776143892282"
"Two to four days a month","2016","Part Time","higher vocational","147","0.492351232539897","0.434511493423699","0.550190971656095"
"Two to four days a month","2016","Part Time","higher education","878","0.485550717604505","0.461608799152558","0.509492636056451"
"Two to four days a month","2016","Not Working","in school","113","0.447773533642997","0.387561227086545","0.507985840199449"
"Two to four days a month","2016","Not Working","inadequately","71","0.34621850486929","0.282771274950231","0.409665734788348"
"Two to four days a month","2016","Not Working","general elemantary","484","0.412452687374956","0.384964175587504","0.439941199162408"
"Two to four days a month","2016","Not Working","middle vocational","1755","0.456962037220447","0.441102750796386","0.472821323644509"
"Two to four days a month","2016","Not Working","vocational + Abi","170","0.380271081657704","0.331071680014922","0.429470483300487"
"Two to four days a month","2016","Not Working","higher vocational","175","0.460005489152887","0.411102227839859","0.508908750465914"
"Two to four days a month","2016","Not Working","higher education","668","0.439346559105845","0.414086848179113","0.464606270032576"
"Once a month or less","2016","Full Time","in school","","","",""
"Once a month or less","2016","Full Time","inadequately","15","","",""
"Once a month or less","2016","Full Time","general elemantary","147","0.256261732971859","0.222062775468356","0.290460690475362"
"Once a month or less","2016","Full Time","middle vocational","935","0.254134674657559","0.240479421900358","0.267789927414761"
