"ple0180","year","age_gr","sampreg","n","percent","lower_confidence","upper_confidence"
"Daily","2016","16-34 y.","West Germany","40","0.00582516340868154","0.00362266042452678","0.0080276663928363"
"Daily","2016","16-34 y.","East Germany","14","","",""
"Daily","2016","35-65 y.","West Germany","84","0.00949302998870969","0.00767054209296397","0.0113155178844554"
"Daily","2016","35-65 y.","East Germany","26","","",""
"Daily","2016","66 and older","West Germany","34","0.0122997295086254","0.00866272223592151","0.0159367367813293"
"Daily","2016","66 and older","East Germany","19","","",""
"Four to six days a week","2016","16-34 y.","West Germany","124","0.0246118536255181","0.0201275814518142","0.0290961257992221"
"Four to six days a week","2016","16-34 y.","East Germany","29","","",""
"Four to six days a week","2016","35-65 y.","West Germany","307","0.0327110162642222","0.0293678452131152","0.0360541873153291"
"Four to six days a week","2016","35-65 y.","East Germany","113","0.0482469532837647","0.0404030662719667","0.0560908402955627"
"Four to six days a week","2016","66 and older","West Germany","128","0.0434635867858291","0.0367354108707155","0.0501917627009427"
"Four to six days a week","2016","66 and older","East Germany","51","0.0432000944379842","0.0315004676984369","0.0548997211775315"
"Two to three days a week","2016","16-34 y.","West Germany","788","0.175436294746084","0.16442843477621","0.186444154715958"
"Two to three days a week","2016","16-34 y.","East Germany","185","0.199098341729905","0.173929787327703","0.224266896132106"
"Two to three days a week","2016","35-65 y.","West Germany","2365","0.221314080393128","0.213511843330055","0.229116317456201"
"Two to three days a week","2016","35-65 y.","East Germany","716","0.26295669135229","0.246841967721317","0.279071414983263"
"Two to three days a week","2016","66 and older","West Germany","1152","0.326852102717321","0.311374108104482","0.34233009733016"
"Two to three days a week","2016","66 and older","East Germany","386","0.340441465185171","0.313172604436085","0.367710325934257"
"Two to four days a month","2016","16-34 y.","West Germany","1918","0.416241971568771","0.401975373238584","0.430508569898958"
"Two to four days a month","2016","16-34 y.","East Germany","381","0.381252235806862","0.35063980088231","0.411864670731415"
"Two to four days a month","2016","35-65 y.","West Germany","5389","0.489290321023527","0.479895168932919","0.498685473114136"
"Two to four days a month","2016","35-65 y.","East Germany","1326","0.440997621547387","0.422823258633112","0.459171984461662"
"Two to four days a month","2016","66 and older","West Germany","1645","0.454593174921052","0.438162494732774","0.47102385510933"
"Two to four days a month","2016","66 and older","East Germany","531","0.438676011132453","0.41011998040124","0.467232041863666"
"Once a month or less","2016","16-34 y.","West Germany","1161","0.256766609323573","0.244123236477867","0.269409982169278"
"Once a month or less","2016","16-34 y.","East Germany","247","0.264555278963089","0.236753787990283","0.292356769935896"
"Once a month or less","2016","35-65 y.","West Germany","2138","0.196257371494223","0.188792798854798","0.203721944133648"
"Once a month or less","2016","35-65 y.","East Germany","573","0.200996822827547","0.186327735502116","0.215665910152978"
"Once a month or less","2016","66 and older","West Germany","439","0.125283149691961","0.114359597682492","0.13620670170143"
"Once a month or less","2016","66 and older","East Germany","133","0.129162215592848","0.109862297248719","0.148462133936977"
"Never","2016","16-34 y.","West Germany","555","0.121118107327373","0.111675305789115","0.130560908865631"
