"ple0180","year","pgisced97","n","percent","lower_confidence","upper_confidence"
"Daily","2016","in school","","","",""
"Daily","2016","inadequately","10","","",""
"Daily","2016","general elemantary","28","","",""
"Daily","2016","middle vocational","102","0.0104975159293711","0.00858050368010988","0.0124145281786322"
"Daily","2016","vocational + Abi","21","","",""
"Daily","2016","higher vocational","13","","",""
"Daily","2016","higher education","38","0.0083959116796861","0.00605715721738626","0.0107346661419859"
"Four to six days a week","2016","in school","6","","",""
"Four to six days a week","2016","inadequately","21","","",""
"Four to six days a week","2016","general elemantary","84","0.0311475574652503","0.0244064123092916","0.0378887026212091"
"Four to six days a week","2016","middle vocational","347","0.0352048078734132","0.0317383037037713","0.0386713120430551"
"Four to six days a week","2016","vocational + Abi","56","0.0389120303471427","0.0304724926303127","0.0473515680639726"
"Four to six days a week","2016","higher vocational","49","0.0445117413363173","0.0336467342080436","0.0553767484645911"
"Four to six days a week","2016","higher education","170","0.0330605337585444","0.0284776787444797","0.0376433887726091"
"Two to three days a week","2016","in school","46","0.117798212833424","0.0830696020026318","0.152526823664217"
"Two to three days a week","2016","inadequately","93","0.252045636938228","0.209496060887913","0.294595212988543"
"Two to three days a week","2016","general elemantary","613","0.255081326931378","0.238165757349089","0.271996896513666"
"Two to three days a week","2016","middle vocational","2478","0.24018649178424","0.232151212672529","0.24822177089595"
"Two to three days a week","2016","vocational + Abi","456","0.260353934229085","0.241203034162187","0.279504834295983"
"Two to three days a week","2016","higher vocational","364","0.243670472499024","0.221053366856766","0.266287578141283"
"Two to three days a week","2016","higher education","1421","0.24159093937311","0.230619247012636","0.252562631733585"
"Two to four days a month","2016","in school","140","0.436136550323008","0.38271305387627","0.489560046769747"
"Two to four days a month","2016","inadequately","138","0.356604519730129","0.309663716166699","0.40354532329356"
"Two to four days a month","2016","general elemantary","1012","0.403623998026402","0.384585116504161","0.422662879548644"
"Two to four days a month","2016","middle vocational","5055","0.453609184744581","0.444245090255388","0.462973279233775"
"Two to four days a month","2016","vocational + Abi","985","0.460199231232257","0.438447950396851","0.481950512067663"
"Two to four days a month","2016","higher vocational","664","0.480988714214765","0.454665683536726","0.507311744892805"
"Two to four days a month","2016","higher education","2972","0.492385924847858","0.479571438967267","0.505200410728448"
"Once a month or less","2016","in school","84","0.280977230427503","0.232555424849947","0.329399036005059"
"Once a month or less","2016","inadequately","107","0.25605790364261","0.213286179689724","0.298829627595495"
"Once a month or less","2016","general elemantary","580","0.223087816072336","0.206932451841191","0.239243180303481"
"Once a month or less","2016","middle vocational","2222","0.20286885497587","0.195304955467178","0.210432754484561"
"Once a month or less","2016","vocational + Abi","379","0.174921095259221","0.158341879721769","0.191500310796674"
"Once a month or less","2016","higher vocational","228","0.169189519906224","0.149437216039487","0.188941823772961"
"Once a month or less","2016","higher education","939","0.163128638543181","0.153658071060851","0.172599206025511"
"Never","2016","in school","55","0.156265783572683","0.117148483465571","0.195383083679794"
"Never","2016","inadequately","31","0.0701066088893773","0.0450850619491131","0.0951281558296414"
"Never","2016","general elemantary","234","0.0785486926987421","0.0681087398389304","0.0889886455585537"
"Never","2016","middle vocational","654","0.0576331446925249","0.0532496616352017","0.062016627749848"
"Never","2016","vocational + Abi","120","0.0568568270679124","0.0467509208294283","0.0669627333063966"
"Never","2016","higher vocational","66","0.0458999474736486","0.0348748331859966","0.0569250617613005"
"Never","2016","higher education","307","0.0614380517976203","0.0552829996982009","0.0675931038970397"
"Daily","2017","in school","","","",""
"Daily","2017","inadequately","","","",""
"Daily","2017","general elemantary","","","",""
"Daily","2017","middle vocational","","","",""
"Daily","2017","vocational + Abi","","","",""
"Daily","2017","higher vocational","","","",""
"Daily","2017","higher education","","","",""
"Four to six days a week","2017","in school","","","",""
"Four to six days a week","2017","inadequately","","","",""
"Four to six days a week","2017","general elemantary","","","",""
"Four to six days a week","2017","middle vocational","","","",""
"Four to six days a week","2017","vocational + Abi","","","",""
"Four to six days a week","2017","higher vocational","","","",""
"Four to six days a week","2017","higher education","","","",""
"Two to three days a week","2017","in school","","","",""
"Two to three days a week","2017","inadequately","","","",""
"Two to three days a week","2017","general elemantary","","","",""
"Two to three days a week","2017","middle vocational","","","",""
"Two to three days a week","2017","vocational + Abi","","","",""
"Two to three days a week","2017","higher vocational","","","",""
"Two to three days a week","2017","higher education","","","",""
"Two to four days a month","2017","in school","","","",""
"Two to four days a month","2017","inadequately","","","",""
"Two to four days a month","2017","general elemantary","","","",""
"Two to four days a month","2017","middle vocational","","","",""
"Two to four days a month","2017","vocational + Abi","","","",""
"Two to four days a month","2017","higher vocational","","","",""
"Two to four days a month","2017","higher education","","","",""
"Once a month or less","2017","in school","","","",""
"Once a month or less","2017","inadequately","","","",""
"Once a month or less","2017","general elemantary","","","",""
"Once a month or less","2017","middle vocational","","","",""
"Once a month or less","2017","vocational + Abi","","","",""
"Once a month or less","2017","higher vocational","","","",""
"Once a month or less","2017","higher education","","","",""
"Never","2017","in school","","","",""
"Never","2017","inadequately","","","",""
"Never","2017","general elemantary","","","",""
"Never","2017","middle vocational","","","",""
"Never","2017","vocational + Abi","","","",""
"Never","2017","higher vocational","","","",""
"Never","2017","higher education","","","",""
"Daily","2018","in school","2","","",""
"Daily","2018","inadequately","7","","",""
"Daily","2018","general elemantary","19","","",""
"Daily","2018","middle vocational","96","0.00952232552678254","0.00773518443954855","0.0113094666140165"
"Daily","2018","vocational + Abi","17","","",""
"Daily","2018","higher vocational","18","","",""
"Daily","2018","higher education","37","0.00764379531366019","0.00549076957404031","0.00979682105328006"
"Four to six days a week","2018","in school","8","","",""
"Four to six days a week","2018","inadequately","26","","",""
"Four to six days a week","2018","general elemantary","107","0.0455383986420527","0.0376052137913094","0.0534715834927959"
"Four to six days a week","2018","middle vocational","376","0.04021752827754","0.0366021056052659","0.0438329509498141"
"Four to six days a week","2018","vocational + Abi","44","0.0316792599320112","0.0241972346462094","0.039161285217813"
"Four to six days a week","2018","higher vocational","43","0.0349327861138058","0.0254362272554875","0.044429344972124"
"Four to six days a week","2018","higher education","190","0.0307703556518093","0.0265012145903741","0.0350394967132445"
"Two to three days a week","2018","in school","44","0.105595503960449","0.0728811805789253","0.138309827341974"
"Two to three days a week","2018","inadequately","84","0.19111837504169","0.156126200759404","0.226110549323976"
"Two to three days a week","2018","general elemantary","547","0.212605502807989","0.197036424456881","0.228174581159098"
"Two to three days a week","2018","middle vocational","2408","0.220818630217465","0.213185509726832","0.228451750708097"
"Two to three days a week","2018","vocational + Abi","408","0.206800008552926","0.189498312927893","0.224101704177959"
"Two to three days a week","2018","higher vocational","334","0.234286652475931","0.212379912497896","0.256193392453966"
"Two to three days a week","2018","higher education","1416","0.2314336537803","0.221007722921701","0.241859584638899"
"Two to four days a month","2018","in school","139","0.478272198607546","0.425097161696089","0.531447235519002"
"Two to four days a month","2018","inadequately","179","0.396353088976355","0.352820967076061","0.439885210876648"
"Two to four days a month","2018","general elemantary","1048","0.39861706659992","0.379986204126775","0.417247929073065"
"Two to four days a month","2018","middle vocational","5264","0.458278077705336","0.449109167302145","0.467446988108528"
"Two to four days a month","2018","vocational + Abi","1044","0.488232708165243","0.46687907689419","0.509586339436296"
"Two to four days a month","2018","higher vocational","713","0.481880583573427","0.456036834317893","0.507724332828961"
"Two to four days a month","2018","higher education","3245","0.5040570222809","0.491697075235852","0.516416969325947"
"Once a month or less","2018","in school","88","0.252794959048942","0.20652998283273","0.299059935265154"
"Once a month or less","2018","inadequately","135","0.261156825420657","0.222063371254211","0.300250279587103"
"Once a month or less","2018","general elemantary","671","0.257404358295074","0.240767795177329","0.27404092141282"
"Once a month or less","2018","middle vocational","2409","0.206005709364297","0.198563304354392","0.213448114374202"
"Once a month or less","2018","vocational + Abi","449","0.20747073022509","0.190148328186784","0.224793132263396"
"Once a month or less","2018","higher vocational","263","0.185314615088196","0.165218103877805","0.205411126298586"
"Once a month or less","2018","higher education","1053","0.162607642096621","0.153485520113333","0.171729764079909"
"Never","2018","in school","58","0.141504489189502","0.104402058269875","0.17860692010913"
"Never","2018","inadequately","54","0.0981693587995321","0.0716887666473292","0.124649950951735"
"Never","2018","general elemantary","261","0.0795354320109309","0.06923955547574","0.0898313085461218"
"Never","2018","middle vocational","791","0.0651577289085792","0.0606160427280661","0.0696994150890922"
"Never","2018","vocational + Abi","143","0.0584619604583905","0.0484394235601995","0.0684844973565815"
"Never","2018","higher vocational","65","0.0538444594481321","0.0421703798491238","0.0655185390471403"
"Never","2018","higher education","345","0.0634875308767095","0.0574596882788208","0.0695153734745982"
