"ple0180","year","e11103","sampreg","n","percent","lower_confidence","upper_confidence"
"Daily","2016","Full Time","West Germany","64","0.00999129851786658","0.00768391005929955","0.0122986869764336"
"Daily","2016","Full Time","East Germany","19","","",""
"Daily","2016","Part Time","West Germany","33","0.00435721188048498","0.00264912440851619","0.00606529935245377"
"Daily","2016","Part Time","East Germany","8","","",""
"Daily","2016","Not Working","West Germany","61","0.0121190695331544","0.00938222048044655","0.0148559185858623"
"Daily","2016","Not Working","East Germany","32","0.0181894952418945","0.012124466909788","0.0242545235740011"
"Four to six days a week","2016","Full Time","West Germany","213","0.0334657380310328","0.0292932118249902","0.0376382642370753"
"Four to six days a week","2016","Full Time","East Germany","82","0.0504337909224567","0.0406629787150705","0.0602046031298429"
"Four to six days a week","2016","Part Time","West Germany","152","0.0312947575221382","0.0267794679017414","0.0358100471425349"
"Four to six days a week","2016","Part Time","East Germany","34","0.0292726931399773","0.0197430679313348","0.0388023183486199"
"Four to six days a week","2016","Not Working","West Germany","194","0.0349036734462106","0.0303129111605888","0.0394944357318324"
"Four to six days a week","2016","Not Working","East Germany","77","0.0394428526863453","0.0306089128808055","0.048276792491885"
"Two to three days a week","2016","Full Time","West Germany","1376","0.187113023823923","0.178064925028182","0.196161122619664"
"Two to three days a week","2016","Full Time","East Germany","456","0.253470911077158","0.234048879133181","0.272892943021136"
"Two to three days a week","2016","Part Time","West Germany","1195","0.228434417618879","0.217547092697465","0.239321742540292"
"Two to three days a week","2016","Part Time","East Germany","278","0.226955025748237","0.203275764999311","0.250634286497164"
"Two to three days a week","2016","Not Working","West Germany","1734","0.29460480376053","0.283202304142134","0.306007303378926"
"Two to three days a week","2016","Not Working","East Germany","553","0.307435989803207","0.286494094413552","0.328377885192863"
"Two to four days a month","2016","Full Time","West Germany","3506","0.482274036813685","0.470681268505552","0.493866805121818"
"Two to four days a month","2016","Full Time","East Germany","882","0.431972925559284","0.409856241410923","0.454089609707645"
"Two to four days a month","2016","Part Time","West Germany","2731","0.464373181255002","0.45143960244752","0.477306760062485"
"Two to four days a month","2016","Part Time","East Germany","538","0.423119909896589","0.395189946718421","0.451049873074758"
"Two to four days a month","2016","Not Working","West Germany","2715","0.442547483370246","0.430123874121707","0.454971092618784"
"Two to four days a month","2016","Not Working","East Germany","818","0.424032848012802","0.40160398381945","0.446461712206155"
"Once a month or less","2016","Full Time","West Germany","1549","0.225005272739679","0.215317231825576","0.234693313653782"
"Once a month or less","2016","Full Time","East Germany","394","0.210679988931519","0.192472693724268","0.228887284138771"
"Once a month or less","2016","Part Time","West Germany","1154","0.192490652821758","0.182266376143029","0.202714929500487"
"Once a month or less","2016","Part Time","East Germany","263","0.234270820831943","0.210327049557936","0.258214592105951"
"Once a month or less","2016","Not Working","West Germany","1035","0.159711879755939","0.150548691104808","0.16887506840707"
"Once a month or less","2016","Not Working","East Germany","296","0.16152369320848","0.144821550560945","0.178225835856016"
"Never","2016","Full Time","West Germany","429","0.0621506300738143","0.0565494497305053","0.0677518104171234"
"Never","2016","Full Time","East Germany","94","0.0420981260821861","0.0331321179722259","0.0510641341921462"
"Never","2016","Part Time","West Germany","447","0.0790497789017375","0.0720526093173051","0.0860469484861699"
"Never","2016","Part Time","East Germany","81","0.0770606020980776","0.0619841674740213","0.0921370367221339"
"Never","2016","Not Working","West Germany","401","0.0561130901339201","0.0503566236556418","0.0618695566121984"
"Never","2016","Not Working","East Germany","89","0.0493751210472701","0.0395425442382332","0.059207697856307"
"Daily","2017","Full Time","West Germany","","","",""
"Daily","2017","Full Time","East Germany","","","",""
"Daily","2017","Part Time","West Germany","","","",""
"Daily","2017","Part Time","East Germany","","","",""
"Daily","2017","Not Working","West Germany","","","",""
"Daily","2017","Not Working","East Germany","","","",""
"Four to six days a week","2017","Full Time","West Germany","","","",""
"Four to six days a week","2017","Full Time","East Germany","","","",""
