"ple0180","year","e11102","sampreg","n","percent","lower_confidence","upper_confidence"
"Daily","2016","Not Employed","West Germany","61","0.0121190695331544","0.00938222048044655","0.0148559185858623"
"Daily","2016","Not Employed","East Germany","32","0.0181894952418945","0.012124466909788","0.0242545235740011"
"Daily","2016","Employed","West Germany","97","0.00773640438524694","0.00622146053404539","0.00925134823644849"
"Daily","2016","Employed","East Germany","27","","",""
"Four to six days a week","2016","Not Employed","West Germany","194","0.0349036734462106","0.0303129111605888","0.0394944357318324"
"Four to six days a week","2016","Not Employed","East Germany","77","0.0394428526863453","0.0306089128808055","0.048276792491885"
"Four to six days a week","2016","Employed","West Germany","365","0.0325968605134138","0.0295263890904983","0.0356673319363294"
"Four to six days a week","2016","Employed","East Germany","116","0.0427961867203387","0.0357044916034878","0.0498878818371897"
"Two to three days a week","2016","Not Employed","West Germany","1734","0.29460480376053","0.283202304142134","0.306007303378926"
"Two to three days a week","2016","Not Employed","East Germany","553","0.307435989803207","0.286494094413552","0.328377885192863"
"Two to three days a week","2016","Employed","West Germany","2571","0.203650818575197","0.196687628096704","0.210614009053689"
"Two to three days a week","2016","Employed","East Germany","734","0.243900621326939","0.228853923362703","0.258947319291176"
"Two to four days a month","2016","Not Employed","West Germany","2715","0.442547483370246","0.430123874121707","0.454971092618784"
"Two to four days a month","2016","Not Employed","East Germany","818","0.424032848012802","0.40160398381945","0.446461712206155"
"Two to four days a month","2016","Employed","West Germany","6237","0.475109692925125","0.466475044716922","0.483744341133327"
"Two to four days a month","2016","Employed","East Germany","1420","0.428777636244814","0.411437042114976","0.446118230374652"
"Once a month or less","2016","Not Employed","West Germany","1035","0.159711879755939","0.150548691104808","0.16887506840707"
"Once a month or less","2016","Not Employed","East Germany","296","0.16152369320848","0.144821550560945","0.178225835856016"
"Once a month or less","2016","Employed","West Germany","2703","0.211992156258504","0.204925099280661","0.219059213236346"
"Once a month or less","2016","Employed","East Germany","657","0.219194548937159","0.204699102263263","0.233689995611056"
"Never","2016","Not Employed","West Germany","401","0.0561130901339201","0.0503566236556418","0.0618695566121984"
"Never","2016","Not Employed","East Germany","89","0.0493751210472701","0.0395425442382332","0.059207697856307"
"Never","2016","Employed","West Germany","876","0.0689140673425141","0.0645341869527649","0.0732939477322632"
"Never","2016","Employed","East Germany","175","0.0547170155405823","0.0467483163982592","0.0626857146829054"
"Daily","2017","Not Employed","West Germany","","","",""
"Daily","2017","Not Employed","East Germany","","","",""
"Daily","2017","Employed","West Germany","","","",""
"Daily","2017","Employed","East Germany","","","",""
"Four to six days a week","2017","Not Employed","West Germany","","","",""
"Four to six days a week","2017","Not Employed","East Germany","","","",""
"Four to six days a week","2017","Employed","West Germany","","","",""
"Four to six days a week","2017","Employed","East Germany","","","",""
"Two to three days a week","2017","Not Employed","West Germany","","","",""
"Two to three days a week","2017","Not Employed","East Germany","","","",""
"Two to three days a week","2017","Employed","West Germany","","","",""
"Two to three days a week","2017","Employed","East Germany","","","",""
"Two to four days a month","2017","Not Employed","West Germany","","","",""
"Two to four days a month","2017","Not Employed","East Germany","","","",""
"Two to four days a month","2017","Employed","West Germany","","","",""
"Two to four days a month","2017","Employed","East Germany","","","",""
"Once a month or less","2017","Not Employed","West Germany","","","",""
"Once a month or less","2017","Not Employed","East Germany","","","",""
"Once a month or less","2017","Employed","West Germany","","","",""
"Once a month or less","2017","Employed","East Germany","","","",""
"Never","2017","Not Employed","West Germany","","","",""
"Never","2017","Not Employed","East Germany","","","",""
"Never","2017","Employed","West Germany","","","",""
"Never","2017","Employed","East Germany","","","",""
"Daily","2018","Not Employed","West Germany","39","0.0054122909519936","0.00358705367460673","0.00723752822938046"
"Daily","2018","Not Employed","East Germany","21","","",""
"Daily","2018","Employed","West Germany","116","0.0088981606675297","0.0073325361266006","0.0104637852084588"
"Daily","2018","Employed","East Germany","29","","",""
"Four to six days a week","2018","Not Employed","West Germany","242","0.0447145003106705","0.0395729036829795","0.0498560969383615"
"Four to six days a week","2018","Not Employed","East Germany","105","0.0609073223694371","0.0503650620228843","0.0714495827159898"
"Four to six days a week","2018","Employed","West Germany","367","0.030548689863891","0.0276796429272516","0.0334177368005304"
