"ple0180","year","hgtyp1hh","sex","n","percent","lower_confidence","upper_confidence"
"Daily","2016","1-pers.-HH","Male","26","","",""
"Daily","2016","1-pers.-HH","Female","13","","",""
"Daily","2016","(Married) couple without C. ","Male","34","0.0115663775656268","0.00806484848372021","0.0150679066475333"
"Daily","2016","(Married) couple without C. ","Female","28","","",""
"Daily","2016","Single parent ","Male","3","","",""
"Daily","2016","Single parent ","Female","15","","",""
"Daily","2016","Couple + C. LE 16 ","Male","30","0.0202914740028244","0.0149918052083819","0.025591142797267"
"Daily","2016","Couple + C. LE 16 ","Female","23","","",""
"Daily","2016","Couple + C. GT 16 ","Male","9","","",""
"Daily","2016","Couple + C. GT 16 ","Female","9","","",""
"Daily","2016","Couple + C. LE and GT 16","Male","13","","",""
"Daily","2016","Couple + C. LE and GT 16","Female","4","","",""
"Four to six days a week","2016","1-pers.-HH","Male","59","0.0424114096775696","0.0320742196853055","0.0527485996698337"
"Four to six days a week","2016","1-pers.-HH","Female","64","0.0327799185076149","0.0248970071587115","0.0406628298565184"
"Four to six days a week","2016","(Married) couple without C. ","Male","121","0.0356422214575534","0.0295708503951882","0.0417135925199186"
"Four to six days a week","2016","(Married) couple without C. ","Female","116","0.0394389098627835","0.0331383838788415","0.0457394358467256"
"Four to six days a week","2016","Single parent ","Male","18","","",""
"Four to six days a week","2016","Single parent ","Female","35","0.0232705424240227","0.0159740092176685","0.0305670756303768"
"Four to six days a week","2016","Couple + C. LE 16 ","Male","105","0.041032652588071","0.0335765788615397","0.0484887263146023"
"Four to six days a week","2016","Couple + C. LE 16 ","Female","89","0.0301123521959577","0.0240373791684689","0.0361873252234465"
"Four to six days a week","2016","Couple + C. GT 16 ","Male","42","0.0321132133614917","0.0227571087563662","0.0414693179666171"
"Four to six days a week","2016","Couple + C. GT 16 ","Female","38","0.0288645490890482","0.0198901644311505","0.0378389337469458"
"Four to six days a week","2016","Couple + C. LE and GT 16","Male","27","","",""
"Four to six days a week","2016","Couple + C. LE and GT 16","Female","14","","",""
"Two to three days a week","2016","1-pers.-HH","Male","348","0.246102559826554","0.224007974098509","0.2681971455546"
"Two to three days a week","2016","1-pers.-HH","Female","532","0.271124860742829","0.251444579746587","0.290805141739071"
"Two to three days a week","2016","(Married) couple without C. ","Male","957","0.250804064287668","0.236608577441588","0.264999551133748"
"Two to three days a week","2016","(Married) couple without C. ","Female","1032","0.285758815647879","0.271134548103187","0.30038308319257"
"Two to three days a week","2016","Single parent ","Male","88","0.194898482870153","0.159896303067929","0.229900662672377"
"Two to three days a week","2016","Single parent ","Female","324","0.219387923804941","0.199359343832045","0.239416503777838"
"Two to three days a week","2016","Couple + C. LE 16 ","Male","544","0.188931923387353","0.174218124551051","0.203645722223655"
"Two to three days a week","2016","Couple + C. LE 16 ","Female","648","0.216515389003079","0.201874382979307","0.231156395026851"
"Two to three days a week","2016","Couple + C. GT 16 ","Male","277","0.219411544507003","0.197449048014355","0.24137404099965"
"Two to three days a week","2016","Couple + C. GT 16 ","Female","280","0.210746545568554","0.18888550322639","0.232607587910719"
"Two to three days a week","2016","Couple + C. LE and GT 16","Male","211","0.199369080951364","0.175099190914544","0.223638970988183"
"Two to three days a week","2016","Couple + C. LE and GT 16","Female","215","0.206012399099399","0.181384818256109","0.230639979942689"
"Two to four days a month","2016","1-pers.-HH","Male","623","0.417221771373513","0.391928395148245","0.442515147598781"
"Two to four days a month","2016","1-pers.-HH","Female","831","0.420367965214434","0.398514965930388","0.442220964498481"
"Two to four days a month","2016","(Married) couple without C. ","Male","1775","0.492178506332917","0.475806490291265","0.50855052237457"
"Two to four days a month","2016","(Married) couple without C. ","Female","1710","0.444182319549949","0.428098148860908","0.460266490238991"
"Two to four days a month","2016","Single parent ","Male","197","0.41789893597877","0.374317617104554","0.461480254852986"
"Two to four days a month","2016","Single parent ","Female","707","0.428839925167964","0.40488732341941","0.452792526916518"
"Two to four days a month","2016","Couple + C. LE 16 ","Male","1354","0.496739017238027","0.477945664952405","0.515532369523648"
"Two to four days a month","2016","Couple + C. LE 16 ","Female","1480","0.489155614461307","0.471385953862188","0.506925275060426"
