"ple0180","year","e11103","n","percent","lower_confidence","upper_confidence"
"Daily","2016","Full Time","83","0.0102419541339813","0.00816921772403958","0.012314690543923"
"Daily","2016","Part Time","41","0.0051583321560014","0.00346977782605732","0.00684688648594547"
"Daily","2016","Not Working","93","0.0131956150916901","0.0106958581810097","0.0156953720023705"
"Four to six days a week","2016","Full Time","295","0.0366093203836177","0.0327431125527811","0.0404755282144542"
"Four to six days a week","2016","Part Time","186","0.030968407240238","0.0268851023739212","0.0350517121065548"
"Four to six days a week","2016","Not Working","271","0.0357086636536237","0.0316436842061226","0.0397736431011247"
"Two to three days a week","2016","Full Time","1832","0.199406802294493","0.191181268801827","0.20763233578716"
"Two to three days a week","2016","Part Time","1473","0.228195651752528","0.218303501681983","0.238087801823072"
"Two to three days a week","2016","Not Working","2287","0.296880320669517","0.286871733988411","0.306888907350624"
"Two to four days a month","2016","Full Time","4388","0.472955013195208","0.462676698688073","0.483233327702343"
"Two to four days a month","2016","Part Time","3269","0.457715125826157","0.445971700754274","0.46945855089804"
"Two to four days a month","2016","Not Working","3533","0.439264048333183","0.428392048083231","0.450136048583135"
"Once a month or less","2016","Full Time","1943","0.222351302383548","0.213790791063722","0.230911813703374"
"Once a month or less","2016","Part Time","1417","0.199233746527503","0.189818802649428","0.208648690405578"
"Once a month or less","2016","Not Working","1331","0.160033191607663","0.152001564834571","0.168064818380756"
"Never","2016","Full Time","523","0.0584356076091518","0.0536066661804224","0.0632645490378813"
"Never","2016","Part Time","528","0.0787287364975734","0.0723806358087217","0.085076837186425"
"Never","2016","Not Working","490","0.0549181606443227","0.0499274760548196","0.0599088452338258"
"Daily","2017","Full Time","","","",""
"Daily","2017","Part Time","","","",""
"Daily","2017","Not Working","","","",""
"Four to six days a week","2017","Full Time","","","",""
"Four to six days a week","2017","Part Time","","","",""
"Four to six days a week","2017","Not Working","","","",""
"Two to three days a week","2017","Full Time","","","",""
"Two to three days a week","2017","Part Time","","","",""
"Two to three days a week","2017","Not Working","","","",""
"Two to four days a month","2017","Full Time","","","",""
"Two to four days a month","2017","Part Time","","","",""
"Two to four days a month","2017","Not Working","","","",""
"Once a month or less","2017","Full Time","","","",""
"Once a month or less","2017","Part Time","","","",""
"Once a month or less","2017","Not Working","","","",""
"Never","2017","Full Time","","","",""
"Never","2017","Part Time","","","",""
"Never","2017","Not Working","","","",""
"Daily","2018","Full Time","95","0.0100884689042731","0.00811173869865512","0.0120651991098911"
"Daily","2018","Part Time","50","0.0083034302117565","0.00624767990308244","0.0103591805204306"
"Daily","2018","Not Working","60","0.00662781255492978","0.00486986308541747","0.00838576202444209"
"Four to six days a week","2018","Full Time","282","0.0332023815227504","0.0296584201396319","0.036746342905869"
"Four to six days a week","2018","Part Time","198","0.0291515872560008","0.0253404112614797","0.0329627632505218"
"Four to six days a week","2018","Not Working","347","0.0475995290917173","0.0429866039229455","0.052212454260489"
"Two to three days a week","2018","Full Time","1874","0.192363167757373","0.184566561616883","0.200159773897862"
"Two to three days a week","2018","Part Time","1392","0.193071160963761","0.184129287677466","0.202013034250057"
"Two to three days a week","2018","Not Working","2117","0.266408893499982","0.256831073545052","0.275986713454913"
"Two to four days a month","2018","Full Time","4721","0.469502819853437","0.459631000045319","0.479374639661554"
"Two to four days a month","2018","Part Time","3529","0.468482968381718","0.457178303702376","0.47978763306106"
"Two to four days a month","2018","Not Working","3722","0.45948455571375","0.448687513640881","0.47028159778662"
"Once a month or less","2018","Full Time","2172","0.220681975913189","0.212478887934422","0.228885063891957"
"Once a month or less","2018","Part Time","1703","0.225324541786267","0.215859635118156","0.234789448454379"
"Once a month or less","2018","Not Working","1395","0.163833996548157","0.155815119648849","0.171852873447464"
"Never","2018","Full Time","674","0.0741611860489775","0.0689780500728192","0.0793443220251357"
"Never","2018","Part Time","613","0.0756663114004962","0.0696750556165661","0.0816575671844263"
"Never","2018","Not Working","543","0.056045212591464","0.0510619917089996","0.0610284334739284"
