"ple0180","year","e11103","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Daily","2016","Full Time","(0) in school","","","",""
"Daily","2016","Full Time","(1a) inadequately completed","6","","",""
"Daily","2016","Full Time","(1b) general elementary school","3","","",""
"Daily","2016","Full Time","(1c) basic vocational qualification","15","","",""
"Daily","2016","Full Time","(2b) intermediate general qualification","4","","",""
"Daily","2016","Full Time","(2a) intermediate vocational","16","","",""
"Daily","2016","Full Time","(2c_gen) general maturity certificate","4","","",""
"Daily","2016","Full Time","(2c_voc) vocational maturity certificate","18","","",""
"Daily","2016","Full Time","(3a) lower tertiary education","3","","",""
"Daily","2016","Full Time","(3b) higher tertiary education","12","","",""
"Daily","2016","Part Time","(0) in school","","","",""
"Daily","2016","Part Time","(1a) inadequately completed","3","","",""
"Daily","2016","Part Time","(1b) general elementary school","6","","",""
"Daily","2016","Part Time","(1c) basic vocational qualification","8","","",""
"Daily","2016","Part Time","(2b) intermediate general qualification","","","",""
"Daily","2016","Part Time","(2a) intermediate vocational","8","","",""
"Daily","2016","Part Time","(2c_gen) general maturity certificate","3","","",""
"Daily","2016","Part Time","(2c_voc) vocational maturity certificate","3","","",""
"Daily","2016","Part Time","(3a) lower tertiary education","1","","",""
"Daily","2016","Part Time","(3b) higher tertiary education","5","","",""
"Daily","2016","Not Working","(0) in school","","","",""
"Daily","2016","Not Working","(1a) inadequately completed","4","","",""
"Daily","2016","Not Working","(1b) general elementary school","13","","",""
"Daily","2016","Not Working","(1c) basic vocational qualification","32","0.0143990616410888","0.00951880294180096","0.0192793203403767"
"Daily","2016","Not Working","(2b) intermediate general qualification","3","","",""
"Daily","2016","Not Working","(2a) intermediate vocational","16","","",""
"Daily","2016","Not Working","(2c_gen) general maturity certificate","1","","",""
"Daily","2016","Not Working","(2c_voc) vocational maturity certificate","6","","",""
"Daily","2016","Not Working","(3a) lower tertiary education","4","","",""
"Daily","2016","Not Working","(3b) higher tertiary education","13","","",""
"Four to six days a week","2016","Full Time","(0) in school","","","",""
"Four to six days a week","2016","Full Time","(1a) inadequately completed","6","","",""
"Four to six days a week","2016","Full Time","(1b) general elementary school","24","","",""
"Four to six days a week","2016","Full Time","(1c) basic vocational qualification","68","0.043834088597957","0.0337680460635253","0.0539001311323888"
"Four to six days a week","2016","Full Time","(2b) intermediate general qualification","9","","",""
"Four to six days a week","2016","Full Time","(2a) intermediate vocational","71","0.0369964304277503","0.0293207418436872","0.0446721190118133"
"Four to six days a week","2016","Full Time","(2c_gen) general maturity certificate","7","","",""
"Four to six days a week","2016","Full Time","(2c_voc) vocational maturity certificate","37","0.0406904468630803","0.0292715333092078","0.0521093604169527"
"Four to six days a week","2016","Full Time","(3a) lower tertiary education","15","","",""
"Four to six days a week","2016","Full Time","(3b) higher tertiary education","49","0.028756310784246","0.0211756577179175","0.0363369638505744"
"Four to six days a week","2016","Part Time","(0) in school","","","",""
"Four to six days a week","2016","Part Time","(1a) inadequately completed","6","","",""
"Four to six days a week","2016","Part Time","(1b) general elementary school","12","","",""
"Four to six days a week","2016","Part Time","(1c) basic vocational qualification","34","0.0409018740286337","0.0292606453104668","0.0525431027468006"
"Four to six days a week","2016","Part Time","(2b) intermediate general qualification","7","","",""
"Four to six days a week","2016","Part Time","(2a) intermediate vocational","45","0.0239589318341696","0.0165510930370613","0.031366770631278"
"Four to six days a week","2016","Part Time","(2c_gen) general maturity certificate","12","","",""
"Four to six days a week","2016","Part Time","(2c_voc) vocational maturity certificate","17","","",""
"Four to six days a week","2016","Part Time","(3a) lower tertiary education","10","","",""
"Four to six days a week","2016","Part Time","(3b) higher tertiary education","37","0.0354080808786776","0.024986403424857","0.0458297583324982"
"Four to six days a week","2016","Not Working","(0) in school","7","","",""
"Four to six days a week","2016","Not Working","(1a) inadequately completed","13","","",""
