"ple0180","year","hgtyp1hh","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Daily","2016","1-pers.-HH","(0) in school","","","",""
"Daily","2016","1-pers.-HH","(1a) inadequately completed","","","",""
"Daily","2016","1-pers.-HH","(1b) general elementary school","3","","",""
"Daily","2016","1-pers.-HH","(1c) basic vocational qualification","14","","",""
"Daily","2016","1-pers.-HH","(2b) intermediate general qualification","","","",""
"Daily","2016","1-pers.-HH","(2a) intermediate vocational","6","","",""
"Daily","2016","1-pers.-HH","(2c_gen) general maturity certificate","","","",""
"Daily","2016","1-pers.-HH","(2c_voc) vocational maturity certificate","3","","",""
"Daily","2016","1-pers.-HH","(3a) lower tertiary education","4","","",""
"Daily","2016","1-pers.-HH","(3b) higher tertiary education","9","","",""
"Daily","2016","(Married) couple without C. ","(0) in school","","","",""
"Daily","2016","(Married) couple without C. ","(1a) inadequately completed","","","",""
"Daily","2016","(Married) couple without C. ","(1b) general elementary school","3","","",""
"Daily","2016","(Married) couple without C. ","(1c) basic vocational qualification","17","","",""
"Daily","2016","(Married) couple without C. ","(2b) intermediate general qualification","1","","",""
"Daily","2016","(Married) couple without C. ","(2a) intermediate vocational","11","","",""
"Daily","2016","(Married) couple without C. ","(2c_gen) general maturity certificate","2","","",""
"Daily","2016","(Married) couple without C. ","(2c_voc) vocational maturity certificate","14","","",""
"Daily","2016","(Married) couple without C. ","(3a) lower tertiary education","3","","",""
"Daily","2016","(Married) couple without C. ","(3b) higher tertiary education","10","","",""
"Daily","2016","Single parent ","(0) in school","","","",""
"Daily","2016","Single parent ","(1a) inadequately completed","3","","",""
"Daily","2016","Single parent ","(1b) general elementary school","2","","",""
"Daily","2016","Single parent ","(1c) basic vocational qualification","2","","",""
"Daily","2016","Single parent ","(2b) intermediate general qualification","1","","",""
"Daily","2016","Single parent ","(2a) intermediate vocational","5","","",""
"Daily","2016","Single parent ","(2c_gen) general maturity certificate","","","",""
"Daily","2016","Single parent ","(2c_voc) vocational maturity certificate","1","","",""
"Daily","2016","Single parent ","(3a) lower tertiary education","","","",""
"Daily","2016","Single parent ","(3b) higher tertiary education","3","","",""
"Daily","2016","Couple + C. LE 16 ","(0) in school","","","",""
"Daily","2016","Couple + C. LE 16 ","(1a) inadequately completed","7","","",""
"Daily","2016","Couple + C. LE 16 ","(1b) general elementary school","4","","",""
"Daily","2016","Couple + C. LE 16 ","(1c) basic vocational qualification","12","","",""
"Daily","2016","Couple + C. LE 16 ","(2b) intermediate general qualification","","","",""
"Daily","2016","Couple + C. LE 16 ","(2a) intermediate vocational","11","","",""
"Daily","2016","Couple + C. LE 16 ","(2c_gen) general maturity certificate","5","","",""
"Daily","2016","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","8","","",""
"Daily","2016","Couple + C. LE 16 ","(3a) lower tertiary education","","","",""
"Daily","2016","Couple + C. LE 16 ","(3b) higher tertiary education","6","","",""
"Daily","2016","Couple + C. GT 16 ","(0) in school","","","",""
"Daily","2016","Couple + C. GT 16 ","(1a) inadequately completed","1","","",""
"Daily","2016","Couple + C. GT 16 ","(1b) general elementary school","2","","",""
"Daily","2016","Couple + C. GT 16 ","(1c) basic vocational qualification","4","","",""
"Daily","2016","Couple + C. GT 16 ","(2b) intermediate general qualification","2","","",""
"Daily","2016","Couple + C. GT 16 ","(2a) intermediate vocational","3","","",""
"Daily","2016","Couple + C. GT 16 ","(2c_gen) general maturity certificate","","","",""
"Daily","2016","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","1","","",""
"Daily","2016","Couple + C. GT 16 ","(3a) lower tertiary education","1","","",""
"Daily","2016","Couple + C. GT 16 ","(3b) higher tertiary education","2","","",""
"Daily","2016","Couple + C. LE and GT 16","(0) in school","","","",""
"Daily","2016","Couple + C. LE and GT 16","(1a) inadequately completed","2","","",""
"Daily","2016","Couple + C. LE and GT 16","(1b) general elementary school","4","","",""
"Daily","2016","Couple + C. LE and GT 16","(1c) basic vocational qualification","3","","",""
"Daily","2016","Couple + C. LE and GT 16","(2b) intermediate general qualification","3","","",""
"Daily","2016","Couple + C. LE and GT 16","(2a) intermediate vocational","2","","",""
"Daily","2016","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","1","","",""
"Daily","2016","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","","","",""
"Daily","2016","Couple + C. LE and GT 16","(3a) lower tertiary education","","","",""
"Daily","2016","Couple + C. LE and GT 16","(3b) higher tertiary education","","","",""
"Four to six days a week","2016","1-pers.-HH","(0) in school","","","",""
"Four to six days a week","2016","1-pers.-HH","(1a) inadequately completed","3","","",""
"Four to six days a week","2016","1-pers.-HH","(1b) general elementary school","9","","",""
"Four to six days a week","2016","1-pers.-HH","(1c) basic vocational qualification","37","0.0441705659029126","0.0304697036006663","0.0578714282051589"
"Four to six days a week","2016","1-pers.-HH","(2b) intermediate general qualification","1","","",""
"Four to six days a week","2016","1-pers.-HH","(2a) intermediate vocational","27","","",""
"Four to six days a week","2016","1-pers.-HH","(2c_gen) general maturity certificate","3","","",""
"Four to six days a week","2016","1-pers.-HH","(2c_voc) vocational maturity certificate","10","","",""
"Four to six days a week","2016","1-pers.-HH","(3a) lower tertiary education","7","","",""
"Four to six days a week","2016","1-pers.-HH","(3b) higher tertiary education","22","","",""
"Four to six days a week","2016","(Married) couple without C. ","(0) in school","","","",""
