"ple0180","year","bula_h","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Daily","2016","Schleswig-Holstein","1-pers.-HH","3","","",""
"Daily","2016","Schleswig-Holstein","(Married) couple without C. ","2","","",""
"Daily","2016","Schleswig-Holstein","Single parent ","","","",""
"Daily","2016","Schleswig-Holstein","Couple + C. LE 16 ","4","","",""
"Daily","2016","Schleswig-Holstein","Couple + C. GT 16 ","5","","",""
"Daily","2016","Schleswig-Holstein","Couple + C. LE and GT 16","","","",""
"Daily","2016","Hamburg","1-pers.-HH","","","",""
"Daily","2016","Hamburg","(Married) couple without C. ","3","","",""
"Daily","2016","Hamburg","Single parent ","","","",""
"Daily","2016","Hamburg","Couple + C. LE 16 ","","","",""
"Daily","2016","Hamburg","Couple + C. GT 16 ","","","",""
"Daily","2016","Hamburg","Couple + C. LE and GT 16","2","","",""
"Daily","2016","Lower Saxony","1-pers.-HH","4","","",""
"Daily","2016","Lower Saxony","(Married) couple without C. ","6","","",""
"Daily","2016","Lower Saxony","Single parent ","4","","",""
"Daily","2016","Lower Saxony","Couple + C. LE 16 ","2","","",""
"Daily","2016","Lower Saxony","Couple + C. GT 16 ","","","",""
"Daily","2016","Lower Saxony","Couple + C. LE and GT 16","1","","",""
"Daily","2016","Bremen","1-pers.-HH","","","",""
"Daily","2016","Bremen","(Married) couple without C. ","","","",""
"Daily","2016","Bremen","Single parent ","","","",""
"Daily","2016","Bremen","Couple + C. LE 16 ","","","",""
"Daily","2016","Bremen","Couple + C. GT 16 ","","","",""
"Daily","2016","Bremen","Couple + C. LE and GT 16","","","",""
"Daily","2016","North Rhine-Westphalia","1-pers.-HH","10","","",""
"Daily","2016","North Rhine-Westphalia","(Married) couple without C. ","13","","",""
"Daily","2016","North Rhine-Westphalia","Single parent ","1","","",""
"Daily","2016","North Rhine-Westphalia","Couple + C. LE 16 ","23","","",""
"Daily","2016","North Rhine-Westphalia","Couple + C. GT 16 ","3","","",""
"Daily","2016","North Rhine-Westphalia","Couple + C. LE and GT 16","8","","",""
"Daily","2016","Hesse","1-pers.-HH","2","","",""
"Daily","2016","Hesse","(Married) couple without C. ","2","","",""
"Daily","2016","Hesse","Single parent ","1","","",""
"Daily","2016","Hesse","Couple + C. LE 16 ","2","","",""
"Daily","2016","Hesse","Couple + C. GT 16 ","1","","",""
"Daily","2016","Hesse","Couple + C. LE and GT 16","","","",""
"Daily","2016","Rhineland-Palatinate,Saarland","1-pers.-HH","","","",""
"Daily","2016","Rhineland-Palatinate,Saarland","(Married) couple without C. ","1","","",""
"Daily","2016","Rhineland-Palatinate,Saarland","Single parent ","1","","",""
"Daily","2016","Rhineland-Palatinate,Saarland","Couple + C. LE 16 ","4","","",""
"Daily","2016","Rhineland-Palatinate,Saarland","Couple + C. GT 16 ","2","","",""
"Daily","2016","Rhineland-Palatinate,Saarland","Couple + C. LE and GT 16","","","",""
"Daily","2016","Baden-Württemberg","1-pers.-HH","1","","",""
"Daily","2016","Baden-Württemberg","(Married) couple without C. ","6","","",""
"Daily","2016","Baden-Württemberg","Single parent ","2","","",""
"Daily","2016","Baden-Württemberg","Couple + C. LE 16 ","","","",""
"Daily","2016","Baden-Württemberg","Couple + C. GT 16 ","","","",""
"Daily","2016","Baden-Württemberg","Couple + C. LE and GT 16","2","","",""
"Daily","2016","Bavaria","1-pers.-HH","4","","",""
"Daily","2016","Bavaria","(Married) couple without C. ","5","","",""
"Daily","2016","Bavaria","Single parent ","4","","",""
"Daily","2016","Bavaria","Couple + C. LE 16 ","7","","",""
"Daily","2016","Bavaria","Couple + C. GT 16 ","2","","",""
"Daily","2016","Bavaria","Couple + C. LE and GT 16","2","","",""
"Daily","2016","Berlin","1-pers.-HH","5","","",""
"Daily","2016","Berlin","(Married) couple without C. ","4","","",""
"Daily","2016","Berlin","Single parent ","","","",""
"Daily","2016","Berlin","Couple + C. LE 16 ","1","","",""
