"ple0180","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence"
"Daily","2016","in school","West Germany","","","",""
"Daily","2016","in school","East Germany","","","",""
"Daily","2016","inadequately","West Germany","9","","",""
"Daily","2016","inadequately","East Germany","1","","",""
"Daily","2016","general elemantary","West Germany","22","","",""
"Daily","2016","general elemantary","East Germany","6","","",""
"Daily","2016","middle vocational","West Germany","75","0.0103538309164932","0.00818017883227475","0.0125274830007117"
"Daily","2016","middle vocational","East Germany","27","","",""
"Daily","2016","vocational + Abi","West Germany","17","","",""
"Daily","2016","vocational + Abi","East Germany","4","","",""
"Daily","2016","higher vocational","West Germany","9","","",""
"Daily","2016","higher vocational","East Germany","4","","",""
"Daily","2016","higher education","West Germany","22","","",""
"Daily","2016","higher education","East Germany","16","","",""
"Four to six days a week","2016","in school","West Germany","4","","",""
"Four to six days a week","2016","in school","East Germany","2","","",""
"Four to six days a week","2016","inadequately","West Germany","18","","",""
"Four to six days a week","2016","inadequately","East Germany","3","","",""
"Four to six days a week","2016","general elemantary","West Germany","79","0.0325541482388995","0.0251950769779895","0.0399132194998095"
"Four to six days a week","2016","general elemantary","East Germany","5","","",""
"Four to six days a week","2016","middle vocational","West Germany","237","0.0326465689588418","0.0288305468293966","0.036462591088287"
"Four to six days a week","2016","middle vocational","East Germany","110","0.0457207063073707","0.0375766702891903","0.0538647423255512"
"Four to six days a week","2016","vocational + Abi","West Germany","47","0.0370958394901267","0.028225729928024","0.0459659490522294"
"Four to six days a week","2016","vocational + Abi","East Germany","9","","",""
"Four to six days a week","2016","higher vocational","West Germany","37","0.0395747847194017","0.0276279919205456","0.0515215775182579"
"Four to six days a week","2016","higher vocational","East Germany","12","","",""
"Four to six days a week","2016","higher education","West Germany","122","0.033923760372013","0.028642652876791","0.0392048678672351"
"Four to six days a week","2016","higher education","East Germany","48","0.0293313862842944","0.0202733343876876","0.0383894381809012"
"Two to three days a week","2016","in school","West Germany","40","0.119859188099403","0.0823477605013662","0.157370615697439"
"Two to three days a week","2016","in school","East Germany","6","","",""
"Two to three days a week","2016","inadequately","West Germany","87","0.259165843665848","0.213584901790693","0.304746785541003"
"Two to three days a week","2016","inadequately","East Germany","6","","",""
"Two to three days a week","2016","general elemantary","West Germany","520","0.243978728329657","0.226169319817759","0.261788136841555"
"Two to three days a week","2016","general elemantary","East Germany","93","0.350569418410335","0.298043719266134","0.403095117554535"
"Two to three days a week","2016","middle vocational","West Germany","1888","0.239495100978793","0.230330810450279","0.248659391507308"
"Two to three days a week","2016","middle vocational","East Germany","590","0.243028523248477","0.226305536267574","0.259751510229379"
"Two to three days a week","2016","vocational + Abi","West Germany","386","0.260788588113066","0.240182124159733","0.281395052066399"
"Two to three days a week","2016","vocational + Abi","East Germany","70","0.25697910833559","0.20514493353392","0.308813283137259"
"Two to three days a week","2016","higher vocational","West Germany","240","0.213890463250423","0.188763065338795","0.239017861162051"
"Two to three days a week","2016","higher vocational","East Germany","124","0.338809462358304","0.289985213520175","0.387633711196433"
"Two to three days a week","2016","higher education","West Germany","1043","0.232278787323457","0.219959832601883","0.244597742045031"
"Two to three days a week","2016","higher education","East Germany","378","0.281819527966153","0.257668514841641","0.305970541090666"
"Two to four days a month","2016","in school","West Germany","121","0.41914931431875","0.36216327408906","0.47613535454844"
"Two to four days a month","2016","in school","East Germany","19","","",""
"Two to four days a month","2016","inadequately","West Germany","122","0.352024796068294","0.302342719959131","0.401706872177457"
"Two to four days a month","2016","inadequately","East Germany","16","","",""
"Two to four days a month","2016","general elemantary","West Germany","911","0.409612605922084","0.389220517696985","0.430004694147182"
"Two to four days a month","2016","general elemantary","East Germany","101","0.352118872146613","0.299540059347513","0.404697684945713"
"Two to four days a month","2016","middle vocational","West Germany","3890","0.458088432803841","0.447389550815497","0.468787314792185"
"Two to four days a month","2016","middle vocational","East Germany","1165","0.435196784955265","0.415866560838319","0.454527009072211"
"Two to four days a month","2016","vocational + Abi","West Germany","876","0.471437103125343","0.448009111103434","0.494865095147253"
"Two to four days a month","2016","vocational + Abi","East Germany","109","0.372943917406007","0.315579614001998","0.430308220810016"
"Two to four days a month","2016","higher vocational","West Germany","505","0.510572957448247","0.479940406856033","0.541205508040461"
"Two to four days a month","2016","higher vocational","East Germany","159","0.386475143265595","0.336244197551208","0.436706088979982"
"Two to four days a month","2016","higher education","West Germany","2338","0.500186672227376","0.485600636005665","0.514772708449087"
"Two to four days a month","2016","higher education","East Germany","634","0.45868661931938","0.431937133822021","0.485436104816738"
