"ple0180","year","bula_h","e11103","n","percent","lower_confidence","upper_confidence"
"Daily","2016","Schleswig-Holstein","Full Time","7","","",""
"Daily","2016","Schleswig-Holstein","Part Time","4","","",""
"Daily","2016","Schleswig-Holstein","Not Working","4","","",""
"Daily","2016","Hamburg","Full Time","3","","",""
"Daily","2016","Hamburg","Part Time","2","","",""
"Daily","2016","Hamburg","Not Working","","","",""
"Daily","2016","Lower Saxony","Full Time","6","","",""
"Daily","2016","Lower Saxony","Part Time","2","","",""
"Daily","2016","Lower Saxony","Not Working","10","","",""
"Daily","2016","Bremen","Full Time","","","",""
"Daily","2016","Bremen","Part Time","","","",""
"Daily","2016","Bremen","Not Working","","","",""
"Daily","2016","North Rhine-Westphalia","Full Time","17","","",""
"Daily","2016","North Rhine-Westphalia","Part Time","12","","",""
"Daily","2016","North Rhine-Westphalia","Not Working","32","0.0243001973196157","0.0170232894550113","0.0315771051842201"
"Daily","2016","Hesse","Full Time","4","","",""
"Daily","2016","Hesse","Part Time","2","","",""
"Daily","2016","Hesse","Not Working","2","","",""
"Daily","2016","Rhineland-Palatinate,Saarland","Full Time","3","","",""
"Daily","2016","Rhineland-Palatinate,Saarland","Part Time","3","","",""
"Daily","2016","Rhineland-Palatinate,Saarland","Not Working","2","","",""
"Daily","2016","Baden-Württemberg","Full Time","8","","",""
"Daily","2016","Baden-Württemberg","Part Time","1","","",""
"Daily","2016","Baden-Württemberg","Not Working","3","","",""
"Daily","2016","Bavaria","Full Time","15","","",""
"Daily","2016","Bavaria","Part Time","5","","",""
"Daily","2016","Bavaria","Not Working","6","","",""
"Daily","2016","Berlin","Full Time","3","","",""
"Daily","2016","Berlin","Part Time","2","","",""
"Daily","2016","Berlin","Not Working","6","","",""
"Daily","2016","Brandenburg","Full Time","1","","",""
"Daily","2016","Brandenburg","Part Time","","","",""
"Daily","2016","Brandenburg","Not Working","2","","",""
"Daily","2016","Mecklenburg-Western Pomerania","Full Time","2","","",""
"Daily","2016","Mecklenburg-Western Pomerania","Part Time","2","","",""
"Daily","2016","Mecklenburg-Western Pomerania","Not Working","9","","",""
