"ple0180","year","bula_h","sex","n","percent","lower_confidence","upper_confidence"
"Daily","2016","Schleswig-Holstein","Male","10","","",""
"Daily","2016","Schleswig-Holstein","Female","5","","",""
"Daily","2016","Hamburg","Male","3","","",""
"Daily","2016","Hamburg","Female","2","","",""
"Daily","2016","Lower Saxony","Male","7","","",""
"Daily","2016","Lower Saxony","Female","11","","",""
"Daily","2016","Bremen","Male","","","",""
"Daily","2016","Bremen","Female","","","",""
"Daily","2016","North Rhine-Westphalia","Male","34","0.0156405060593663","0.0105651745256446","0.020715837593088"
"Daily","2016","North Rhine-Westphalia","Female","27","","",""
"Daily","2016","Hesse","Male","4","","",""
"Daily","2016","Hesse","Female","4","","",""
"Daily","2016","Rhineland-Palatinate,Saarland","Male","3","","",""
"Daily","2016","Rhineland-Palatinate,Saarland","Female","5","","",""
"Daily","2016","Baden-Württemberg","Male","5","","",""
"Daily","2016","Baden-Württemberg","Female","7","","",""
"Daily","2016","Bavaria","Male","15","","",""
"Daily","2016","Bavaria","Female","11","","",""
"Daily","2016","Berlin","Male","8","","",""
"Daily","2016","Berlin","Female","3","","",""
"Daily","2016","Brandenburg","Male","3","","",""
"Daily","2016","Brandenburg","Female","","","",""
"Daily","2016","Mecklenburg-Western Pomerania","Male","7","","",""
"Daily","2016","Mecklenburg-Western Pomerania","Female","6","","",""
"Daily","2016","Saxony","Male","13","","",""
"Daily","2016","Saxony","Female","8","","",""
"Daily","2016","Saxony-Anhalt","Male","5","","",""
"Daily","2016","Saxony-Anhalt","Female","3","","",""
"Daily","2016","Thuringia","Male","5","","",""
"Daily","2016","Thuringia","Female","3","","",""
"Four to six days a week","2016","Schleswig-Holstein","Male","12","","",""
"Four to six days a week","2016","Schleswig-Holstein","Female","14","","",""
"Four to six days a week","2016","Hamburg","Male","7","","",""
"Four to six days a week","2016","Hamburg","Female","5","","",""
"Four to six days a week","2016","Lower Saxony","Male","28","","",""
"Four to six days a week","2016","Lower Saxony","Female","24","","",""
"Four to six days a week","2016","Bremen","Male","2","","",""
"Four to six days a week","2016","Bremen","Female","2","","",""
"Four to six days a week","2016","North Rhine-Westphalia","Male","92","0.0350129879413922","0.0274943794591269","0.0425315964236575"
"Four to six days a week","2016","North Rhine-Westphalia","Female","106","0.0373532833435802","0.0302006812251423","0.044505885462018"
"Four to six days a week","2016","Hesse","Male","15","","",""
"Four to six days a week","2016","Hesse","Female","27","","",""
"Four to six days a week","2016","Rhineland-Palatinate,Saarland","Male","21","","",""
"Four to six days a week","2016","Rhineland-Palatinate,Saarland","Female","16","","",""
"Four to six days a week","2016","Baden-Württemberg","Male","32","0.0369142390184656","0.0265402276181273","0.0472882504188039"
"Four to six days a week","2016","Baden-Württemberg","Female","27","","",""
"Four to six days a week","2016","Bavaria","Male","64","0.0358574135471886","0.0271633597465454","0.0445514673478318"
"Four to six days a week","2016","Bavaria","Female","55","0.030381353993096","0.0230370712048182","0.0377256367813739"
"Four to six days a week","2016","Berlin","Male","9","","",""
"Four to six days a week","2016","Berlin","Female","10","","",""
"Four to six days a week","2016","Brandenburg","Male","16","","",""
"Four to six days a week","2016","Brandenburg","Female","15","","",""
"Four to six days a week","2016","Mecklenburg-Western Pomerania","Male","13","","",""
"Four to six days a week","2016","Mecklenburg-Western Pomerania","Female","16","","",""
"Four to six days a week","2016","Saxony","Male","35","0.0380755569534248","0.0236381294239813","0.0525129844828682"
"Four to six days a week","2016","Saxony","Female","25","","",""
"Four to six days a week","2016","Saxony-Anhalt","Male","13","","",""
"Four to six days a week","2016","Saxony-Anhalt","Female","11","","",""
"Four to six days a week","2016","Thuringia","Male","24","","",""
"Four to six days a week","2016","Thuringia","Female","16","","",""
"Two to three days a week","2016","Schleswig-Holstein","Male","90","0.251482077785136","0.207214115672131","0.295750039898141"
"Two to three days a week","2016","Schleswig-Holstein","Female","121","0.267502110618047","0.226141347015888","0.308862874220205"
"Two to three days a week","2016","Hamburg","Male","55","0.234866461144328","0.174589630059957","0.295143292228699"
"Two to three days a week","2016","Hamburg","Female","65","0.248941575752262","0.193301248384744","0.30458190311978"
