"ple0180","year","pgisced97","sex","n","percent","lower_confidence","upper_confidence"
"Daily","2016","in school","Male","","","",""
"Daily","2016","in school","Female","","","",""
"Daily","2016","inadequately","Male","4","","",""
"Daily","2016","inadequately","Female","6","","",""
"Daily","2016","general elemantary","Male","15","","",""
"Daily","2016","general elemantary","Female","13","","",""
"Daily","2016","middle vocational","Male","60","0.0131516242311095","0.00995134614710157","0.0163519023151174"
"Daily","2016","middle vocational","Female","42","0.00803849904545797","0.00577713974982232","0.0102998583410936"
"Daily","2016","vocational + Abi","Male","10","","",""
"Daily","2016","vocational + Abi","Female","11","","",""
"Daily","2016","higher vocational","Male","10","","",""
"Daily","2016","higher vocational","Female","3","","",""
"Daily","2016","higher education","Male","22","","",""
"Daily","2016","higher education","Female","16","","",""
"Four to six days a week","2016","in school","Male","4","","",""
"Four to six days a week","2016","in school","Female","2","","",""
"Four to six days a week","2016","inadequately","Male","11","","",""
"Four to six days a week","2016","inadequately","Female","10","","",""
"Four to six days a week","2016","general elemantary","Male","47","0.047310728761787","0.034065941994557","0.060555515529017"
"Four to six days a week","2016","general elemantary","Female","37","0.0205873003987361","0.0135498996488393","0.027624701148633"
"Four to six days a week","2016","middle vocational","Male","160","0.0340137267903922","0.0289217619845644","0.0391056915962199"
"Four to six days a week","2016","middle vocational","Female","187","0.0363083380086906","0.0315712994978388","0.0410453765195424"
"Four to six days a week","2016","vocational + Abi","Male","26","","",""
"Four to six days a week","2016","vocational + Abi","Female","30","0.0276442671971328","0.0186166130214512","0.0366719213728143"
"Four to six days a week","2016","higher vocational","Male","27","","",""
"Four to six days a week","2016","higher vocational","Female","22","","",""
"Four to six days a week","2016","higher education","Male","100","0.0353550610957884","0.028627876452649","0.0420822457389278"
"Four to six days a week","2016","higher education","Female","70","0.0305025312258555","0.0242991111042136","0.0367059513474973"
"Two to three days a week","2016","in school","Male","22","","",""
"Two to three days a week","2016","in school","Female","24","","",""
"Two to three days a week","2016","inadequately","Male","39","0.23866643092758","0.174588749446991","0.30274411240817"
"Two to three days a week","2016","inadequately","Female","54","0.261327939789977","0.204546953556068","0.318108926023886"
"Two to three days a week","2016","general elemantary","Male","217","0.233060932453541","0.206685190509822","0.25943667439726"
"Two to three days a week","2016","general elemantary","Female","396","0.269468418556264","0.247479536428002","0.291457300684526"
"Two to three days a week","2016","middle vocational","Male","1032","0.221227108295812","0.209567139439352","0.232887077152271"
"Two to three days a week","2016","middle vocational","Female","1446","0.257752257309366","0.246675558131275","0.268828956487457"
"Two to three days a week","2016","vocational + Abi","Male","158","0.22596229685539","0.196031622118192","0.255892971592587"
"Two to three days a week","2016","vocational + Abi","Female","298","0.287858660963325","0.262928072346489","0.312789249580161"
"Two to three days a week","2016","higher vocational","Male","225","0.24201088410961","0.213064186319739","0.270957581899481"
"Two to three days a week","2016","higher vocational","Female","139","0.24661638595267","0.210361443021662","0.282871328883678"
"Two to three days a week","2016","higher education","Male","729","0.252141111756571","0.236322969807978","0.267959253705164"
"Two to three days a week","2016","higher education","Female","692","0.229829315425927","0.21465230899737","0.245006321854484"
"Two to four days a month","2016","in school","Male","67","0.454390872674812","0.37306617490223","0.535715570447394"
