"ple0180","year","bula_h","sampreg","n","percent","lower_confidence","upper_confidence"
"Daily","2016","Schleswig-Holstein","West Germany","15","","",""
"Daily","2016","Schleswig-Holstein","East Germany","","","",""
"Daily","2016","Hamburg","West Germany","5","","",""
"Daily","2016","Hamburg","East Germany","","","",""
"Daily","2016","Lower Saxony","West Germany","18","","",""
"Daily","2016","Lower Saxony","East Germany","","","",""
"Daily","2016","Bremen","West Germany","","","",""
"Daily","2016","Bremen","East Germany","","","",""
"Daily","2016","North Rhine-Westphalia","West Germany","61","0.0140346196999786","0.0107727392963018","0.0172965001036555"
"Daily","2016","North Rhine-Westphalia","East Germany","","","",""
"Daily","2016","Hesse","West Germany","8","","",""
"Daily","2016","Hesse","East Germany","","","",""
"Daily","2016","Rhineland-Palatinate,Saarland","West Germany","8","","",""
"Daily","2016","Rhineland-Palatinate,Saarland","East Germany","","","",""
"Daily","2016","Baden-Württemberg","West Germany","12","","",""
"Daily","2016","Baden-Württemberg","East Germany","","","",""
"Daily","2016","Bavaria","West Germany","26","","",""
"Daily","2016","Bavaria","East Germany","","","",""
"Daily","2016","Berlin","West Germany","5","","",""
"Daily","2016","Berlin","East Germany","6","","",""
"Daily","2016","Brandenburg","West Germany","","","",""
"Daily","2016","Brandenburg","East Germany","3","","",""
"Daily","2016","Mecklenburg-Western Pomerania","West Germany","","","",""
"Daily","2016","Mecklenburg-Western Pomerania","East Germany","13","","",""
"Daily","2016","Saxony","West Germany","","","",""
"Daily","2016","Saxony","East Germany","21","","",""
"Daily","2016","Saxony-Anhalt","West Germany","","","",""
"Daily","2016","Saxony-Anhalt","East Germany","8","","",""
"Daily","2016","Thuringia","West Germany","","","",""
"Daily","2016","Thuringia","East Germany","8","","",""
"Four to six days a week","2016","Schleswig-Holstein","West Germany","26","","",""
"Four to six days a week","2016","Schleswig-Holstein","East Germany","","","",""
"Four to six days a week","2016","Hamburg","West Germany","12","","",""
"Four to six days a week","2016","Hamburg","East Germany","","","",""
"Four to six days a week","2016","Lower Saxony","West Germany","52","0.0295162223794499","0.0226660548243453","0.0363663899345545"
"Four to six days a week","2016","Lower Saxony","East Germany","","","",""
"Four to six days a week","2016","Bremen","West Germany","4","","",""
"Four to six days a week","2016","Bremen","East Germany","","","",""
"Four to six days a week","2016","North Rhine-Westphalia","West Germany","198","0.0361748205209202","0.0309970928715254","0.0413525481703151"
"Four to six days a week","2016","North Rhine-Westphalia","East Germany","","","",""
"Four to six days a week","2016","Hesse","West Germany","42","0.0378162731069491","0.0284373168773556","0.0471952293365426"
"Four to six days a week","2016","Hesse","East Germany","","","",""
"Four to six days a week","2016","Rhineland-Palatinate,Saarland","West Germany","37","0.0304797191380228","0.0217099362487642","0.0392495020272815"
"Four to six days a week","2016","Rhineland-Palatinate,Saarland","East Germany","","","",""
"Four to six days a week","2016","Baden-Württemberg","West Germany","59","0.0306074640667191","0.0242443105470876","0.0369706175863507"
"Four to six days a week","2016","Baden-Württemberg","East Germany","","","",""
"Four to six days a week","2016","Bavaria","West Germany","119","0.0330476404314528","0.0274046584055814","0.0386906224573243"
"Four to six days a week","2016","Bavaria","East Germany","","","",""
"Four to six days a week","2016","Berlin","West Germany","10","","",""
"Four to six days a week","2016","Berlin","East Germany","9","","",""
"Four to six days a week","2016","Brandenburg","West Germany","","","",""
"Four to six days a week","2016","Brandenburg","East Germany","31","0.0344902283920439","0.0228058754371071","0.0461745813469808"
"Four to six days a week","2016","Mecklenburg-Western Pomerania","West Germany","","","",""
"Four to six days a week","2016","Mecklenburg-Western Pomerania","East Germany","29","","",""
"Four to six days a week","2016","Saxony","West Germany","","","",""
"Four to six days a week","2016","Saxony","East Germany","60","0.0301588022806383","0.021325477387401","0.0389921271738757"
"Four to six days a week","2016","Saxony-Anhalt","West Germany","","","",""
"Four to six days a week","2016","Saxony-Anhalt","East Germany","24","","",""
"Four to six days a week","2016","Thuringia","West Germany","","","",""
"Four to six days a week","2016","Thuringia","East Germany","40","0.0678968970875851","0.0514339034624769","0.0843598907126933"
"Two to three days a week","2016","Schleswig-Holstein","West Germany","211","0.25982293685151","0.229603916206252","0.290041957496769"
"Two to three days a week","2016","Schleswig-Holstein","East Germany","","","",""
"Two to three days a week","2016","Hamburg","West Germany","120","0.242200700485072","0.201325804292819","0.283075596677325"
"Two to three days a week","2016","Hamburg","East Germany","","","",""
