"ple0180","year","sampreg","n","percent","lower_confidence","upper_confidence"
"Daily","2016","West Germany","158","0.0093102358059992","0.0079442498883583","0.0106762217236401"
"Daily","2016","East Germany","59","0.0133519885369418","0.0101686859668889","0.0165352911069946"
"Four to six days a week","2016","West Germany","559","0.0334252456518875","0.0308687087167652","0.0359817825870099"
"Four to six days a week","2016","East Germany","193","0.0415841987734538","0.0360473205268542","0.0471210770200534"
"Two to three days a week","2016","West Germany","4305","0.236312734303725","0.230270488609728","0.242354979997722"
"Two to three days a week","2016","East Germany","1287","0.26686406606985","0.254596423194193","0.279131708945507"
"Two to four days a month","2016","West Germany","8952","0.463416481877263","0.45632394755683","0.470509016197697"
"Two to four days a month","2016","East Germany","2238","0.427062738149538","0.413343714769637","0.440781761529439"
"Once a month or less","2016","West Germany","3738","0.193218113736766","0.187602476666385","0.198833750807148"
"Once a month or less","2016","East Germany","953","0.198350701792454","0.187291267795837","0.20941013578907"
"Never","2016","West Germany","1277","0.0643171886243583","0.0608279964010331","0.0678063808476835"
"Never","2016","East Germany","264","0.0527863066777628","0.0465846396604302","0.0589879736950954"
"Daily","2017","West Germany","","","",""
"Daily","2017","East Germany","","","",""
"Four to six days a week","2017","West Germany","","","",""
"Four to six days a week","2017","East Germany","","","",""
"Two to three days a week","2017","West Germany","","","",""
"Two to three days a week","2017","East Germany","","","",""
"Two to four days a month","2017","West Germany","","","",""
"Two to four days a month","2017","East Germany","","","",""
"Once a month or less","2017","West Germany","","","",""
"Once a month or less","2017","East Germany","","","",""
"Never","2017","West Germany","","","",""
"Never","2017","East Germany","","","",""
"Daily","2018","West Germany","155","0.00769705683781366","0.00648669900191011","0.0089074146737172"
"Daily","2018","East Germany","50","0.0119044978970943","0.00902745361522102","0.0147815421789676"
"Four to six days a week","2018","West Germany","609","0.0354297125546778","0.0328694762362882","0.0379899488730675"
"Four to six days a week","2018","East Germany","218","0.045344967534338","0.0398257269597876","0.0508642081088885"
"Two to three days a week","2018","West Germany","3988","0.210210801915944","0.204567771268403","0.215853832563485"
"Two to three days a week","2018","East Germany","1395","0.256644270058498","0.24505767906065","0.268230861056346"
"Two to four days a month","2018","West Germany","9501","0.469541018081159","0.462629205204045","0.476452830958273"
"Two to four days a month","2018","East Germany","2471","0.447663814736849","0.434473070867247","0.460854558606452"
"Once a month or less","2018","West Germany","4240","0.206958172383922","0.201347451855116","0.212568892912727"
"Once a month or less","2018","East Germany","1030","0.179245787620525","0.169071064889873","0.189420510351177"
"Never","2018","West Germany","1535","0.0701632382264843","0.0666258113742664","0.0737006650787021"
"Never","2018","East Germany","295","0.0591966621526953","0.0529364424026916","0.0654568819026989"
