"ple0180","year","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Daily","2016","(0) in school","","","",""
"Daily","2016","(1a) inadequately completed","13","","",""
"Daily","2016","(1b) general elementary school","22","","",""
"Daily","2016","(1c) basic vocational qualification","55","0.0107692644040799","0.00790548448909222","0.0136330443190676"
"Daily","2016","(2b) intermediate general qualification","7","","",""
"Daily","2016","(2a) intermediate vocational","40","0.00927892022998393","0.00668760093973422","0.0118702395202336"
"Daily","2016","(2c_gen) general maturity certificate","8","","",""
"Daily","2016","(2c_voc) vocational maturity certificate","27","","",""
"Daily","2016","(3a) lower tertiary education","8","","",""
"Daily","2016","(3b) higher tertiary education","30","0.009436593345484","0.0064549209495071","0.0124182657414609"
"Four to six days a week","2016","(0) in school","7","","",""
"Four to six days a week","2016","(1a) inadequately completed","25","","",""
"Four to six days a week","2016","(1b) general elementary school","64","0.0302420468684108","0.0225639247785894","0.0379201689582321"
"Four to six days a week","2016","(1c) basic vocational qualification","192","0.0424710397906428","0.036875780409883","0.0480662991714026"
"Four to six days a week","2016","(2b) intermediate general qualification","22","","",""
"Four to six days a week","2016","(2a) intermediate vocational","152","0.0333849593240505","0.0285298534421331","0.0382400652059679"
"Four to six days a week","2016","(2c_gen) general maturity certificate","30","0.0248055022133701","0.016173043746594","0.0334379606801463"
"Four to six days a week","2016","(2c_voc) vocational maturity certificate","66","0.0369571470319565","0.0294453575362604","0.0444689365276526"
"Four to six days a week","2016","(3a) lower tertiary education","46","0.0264565633898764","0.0190589222524466","0.0338542045273061"
"Four to six days a week","2016","(3b) higher tertiary education","124","0.0363598962635652","0.0305871839458998","0.0421326085812307"
"Two to three days a week","2016","(0) in school","46","0.117749453227953","0.0830794033194741","0.152419503136431"
"Two to three days a week","2016","(1a) inadequately completed","115","0.246246228284286","0.207543270394857","0.284949186173714"
"Two to three days a week","2016","(1b) general elementary school","495","0.276483223554127","0.256430357979308","0.296536089128946"
"Two to three days a week","2016","(1c) basic vocational qualification","1214","0.251052070068407","0.23902096460078","0.263083175536034"
"Two to three days a week","2016","(2b) intermediate general qualification","129","0.197809458654414","0.168065362545314","0.227553554763515"
"Two to three days a week","2016","(2a) intermediate vocational","1197","0.237952957487738","0.226444080449252","0.249461834526224"
"Two to three days a week","2016","(2c_gen) general maturity certificate","254","0.204886159167121","0.18248420875398","0.227288109580262"
"Two to three days a week","2016","(2c_voc) vocational maturity certificate","553","0.251357100836956","0.234084635966455","0.268629565707458"
"Two to three days a week","2016","(3a) lower tertiary education","422","0.235834543419079","0.216266550261002","0.255402536577155"
"Two to three days a week","2016","(3b) higher tertiary education","999","0.24446685127376","0.231212822299264","0.257720880248255"
"Two to four days a month","2016","(0) in school","140","0.435956022574633","0.382615548260507","0.489296496888758"
"Two to four days a month","2016","(1a) inadequately completed","171","0.384354102882179","0.340654663030696","0.428053542733662"
"Two to four days a month","2016","(1b) general elementary school","749","0.39864236818777","0.376690277506264","0.420594458869276"
"Two to four days a month","2016","(1c) basic vocational qualification","2298","0.451572654909081","0.43776495987633","0.465380349941832"
"Two to four days a month","2016","(2b) intermediate general qualification","276","0.402802538013597","0.366180411726479","0.439424664300715"
"Two to four days a month","2016","(2a) intermediate vocational","2517","0.461813729268538","0.448339738890617","0.47528771964646"
"Two to four days a month","2016","(2c_gen) general maturity certificate","555","0.449170837756214","0.421563209226724","0.476778466285704"
"Two to four days a month","2016","(2c_voc) vocational maturity certificate","1200","0.473663259048927","0.453782265844109","0.493544252253746"
"Two to four days a month","2016","(3a) lower tertiary education","946","0.514479520540569","0.491441948805433","0.537517092275705"
"Two to four days a month","2016","(3b) higher tertiary education","2026","0.481347901180237","0.465938747890597","0.496757054469878"
"Once a month or less","2016","(0) in school","84","0.280860926974567","0.2325181989294","0.329203655019735"
"Once a month or less","2016","(1a) inadequately completed","121","0.242977045095979","0.204448575189762","0.281505515002197"
"Once a month or less","2016","(1b) general elementary school","430","0.218334090579287","0.199812038155856","0.236856143002717"
"Once a month or less","2016","(1c) basic vocational qualification","978","0.196999055833188","0.185963659927465","0.208034451738912"
"Once a month or less","2016","(2b) intermediate general qualification","165","0.243176382677832","0.211143463712262","0.275209301643403"
"Once a month or less","2016","(2a) intermediate vocational","1074","0.203719350105812","0.192833916637211","0.214604783574413"
"Once a month or less","2016","(2c_gen) general maturity certificate","269","0.207848604200411","0.185327352914227","0.230369855486595"
"Once a month or less","2016","(2c_voc) vocational maturity certificate","434","0.170012797948353","0.155055681004873","0.184969914891832"
"Once a month or less","2016","(3a) lower tertiary education","288","0.159801159578545","0.142911150614674","0.176691168542415"
"Once a month or less","2016","(3b) higher tertiary education","651","0.164791056561326","0.15334975186369","0.176232361258962"
"Never","2016","(0) in school","55","0.156201101284451","0.117149344842568","0.195252857726333"
"Never","2016","(1a) inadequately completed","31","0.0614736034947494","0.039895553430522","0.0830516535589768"
"Never","2016","(1b) general elementary school","151","0.066214009312313","0.0550655111319968","0.0773625074926293"
"Never","2016","(1c) basic vocational qualification","253","0.0471359149946009","0.0412557533058332","0.0530160766833686"
"Never","2016","(2b) intermediate general qualification","90","0.117132552959507","0.0931207353130064","0.141144370606009"
"Never","2016","(2a) intermediate vocational","279","0.053850083583877","0.0477495239869066","0.0599506431808474"
"Never","2016","(2c_gen) general maturity certificate","131","0.0999121268336002","0.0832677928585759","0.116556460808624"
"Never","2016","(2c_voc) vocational maturity certificate","143","0.055132511578982","0.0460446704647907","0.0642203526931733"
"Never","2016","(3a) lower tertiary education","98","0.0571153192096834","0.0464185045251867","0.06781213389418"
"Never","2016","(3b) higher tertiary education","209","0.0635977013756283","0.0560717205144769","0.0711236822367796"
"Daily","2017","(0) in school","","","",""
"Daily","2017","(1a) inadequately completed","","","",""
"Daily","2017","(1b) general elementary school","","","",""
"Daily","2017","(1c) basic vocational qualification","","","",""
"Daily","2017","(2b) intermediate general qualification","","","",""
"Daily","2017","(2a) intermediate vocational","","","",""
"Daily","2017","(2c_gen) general maturity certificate","","","",""
"Daily","2017","(2c_voc) vocational maturity certificate","","","",""
"Daily","2017","(3a) lower tertiary education","","","",""
"Daily","2017","(3b) higher tertiary education","","","",""
"Four to six days a week","2017","(0) in school","","","",""
"Four to six days a week","2017","(1a) inadequately completed","","","",""
"Four to six days a week","2017","(1b) general elementary school","","","",""
"Four to six days a week","2017","(1c) basic vocational qualification","","","",""
"Four to six days a week","2017","(2b) intermediate general qualification","","","",""
"Four to six days a week","2017","(2a) intermediate vocational","","","",""
"Four to six days a week","2017","(2c_gen) general maturity certificate","","","",""
"Four to six days a week","2017","(2c_voc) vocational maturity certificate","","","",""
"Four to six days a week","2017","(3a) lower tertiary education","","","",""
"Four to six days a week","2017","(3b) higher tertiary education","","","",""
"Two to three days a week","2017","(0) in school","","","",""
"Two to three days a week","2017","(1a) inadequately completed","","","",""
"Two to three days a week","2017","(1b) general elementary school","","","",""
"Two to three days a week","2017","(1c) basic vocational qualification","","","",""
"Two to three days a week","2017","(2b) intermediate general qualification","","","",""
"Two to three days a week","2017","(2a) intermediate vocational","","","",""
"Two to three days a week","2017","(2c_gen) general maturity certificate","","","",""
"Two to three days a week","2017","(2c_voc) vocational maturity certificate","","","",""
"Two to three days a week","2017","(3a) lower tertiary education","","","",""
"Two to three days a week","2017","(3b) higher tertiary education","","","",""
"Two to four days a month","2017","(0) in school","","","",""
"Two to four days a month","2017","(1a) inadequately completed","","","",""
"Two to four days a month","2017","(1b) general elementary school","","","",""
"Two to four days a month","2017","(1c) basic vocational qualification","","","",""
"Two to four days a month","2017","(2b) intermediate general qualification","","","",""
"Two to four days a month","2017","(2a) intermediate vocational","","","",""
"Two to four days a month","2017","(2c_gen) general maturity certificate","","","",""
"Two to four days a month","2017","(2c_voc) vocational maturity certificate","","","",""
"Two to four days a month","2017","(3a) lower tertiary education","","","",""
"Two to four days a month","2017","(3b) higher tertiary education","","","",""
"Once a month or less","2017","(0) in school","","","",""
"Once a month or less","2017","(1a) inadequately completed","","","",""
"Once a month or less","2017","(1b) general elementary school","","","",""
"Once a month or less","2017","(1c) basic vocational qualification","","","",""
"Once a month or less","2017","(2b) intermediate general qualification","","","",""
"Once a month or less","2017","(2a) intermediate vocational","","","",""
"Once a month or less","2017","(2c_gen) general maturity certificate","","","",""
"Once a month or less","2017","(2c_voc) vocational maturity certificate","","","",""
"Once a month or less","2017","(3a) lower tertiary education","","","",""
"Once a month or less","2017","(3b) higher tertiary education","","","",""
"Never","2017","(0) in school","","","",""
"Never","2017","(1a) inadequately completed","","","",""
"Never","2017","(1b) general elementary school","","","",""
"Never","2017","(1c) basic vocational qualification","","","",""
