"ple0180","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence"
"Daily","2016","1-pers.-HH","in school","","","",""
"Daily","2016","1-pers.-HH","inadequately","","","",""
"Daily","2016","1-pers.-HH","general elemantary","3","","",""
"Daily","2016","1-pers.-HH","middle vocational","16","","",""
"Daily","2016","1-pers.-HH","vocational + Abi","3","","",""
"Daily","2016","1-pers.-HH","higher vocational","4","","",""
"Daily","2016","1-pers.-HH","higher education","13","","",""
"Daily","2016","(Married) couple without C. ","in school","","","",""
"Daily","2016","(Married) couple without C. ","inadequately","1","","",""
"Daily","2016","(Married) couple without C. ","general elemantary","3","","",""
"Daily","2016","(Married) couple without C. ","middle vocational","27","","",""
"Daily","2016","(Married) couple without C. ","vocational + Abi","8","","",""
"Daily","2016","(Married) couple without C. ","higher vocational","9","","",""
"Daily","2016","(Married) couple without C. ","higher education","13","","",""
"Daily","2016","Single parent ","in school","","","",""
"Daily","2016","Single parent ","inadequately","3","","",""
"Daily","2016","Single parent ","general elemantary","3","","",""
"Daily","2016","Single parent ","middle vocational","7","","",""
"Daily","2016","Single parent ","vocational + Abi","1","","",""
"Daily","2016","Single parent ","higher vocational","","","",""
"Daily","2016","Single parent ","higher education","3","","",""
"Daily","2016","Couple + C. LE 16 ","in school","","","",""
"Daily","2016","Couple + C. LE 16 ","inadequately","5","","",""
"Daily","2016","Couple + C. LE 16 ","general elemantary","4","","",""
"Daily","2016","Couple + C. LE 16 ","middle vocational","30","0.02100159637828","0.0151893638152083","0.0268138289413517"
"Daily","2016","Couple + C. LE 16 ","vocational + Abi","8","","",""
"Daily","2016","Couple + C. LE 16 ","higher vocational","","","",""
"Daily","2016","Couple + C. LE 16 ","higher education","6","","",""
"Daily","2016","Couple + C. GT 16 ","in school","","","",""
"Daily","2016","Couple + C. GT 16 ","inadequately","","","",""
"Daily","2016","Couple + C. GT 16 ","general elemantary","4","","",""
"Daily","2016","Couple + C. GT 16 ","middle vocational","8","","",""
"Daily","2016","Couple + C. GT 16 ","vocational + Abi","1","","",""
"Daily","2016","Couple + C. GT 16 ","higher vocational","","","",""
"Daily","2016","Couple + C. GT 16 ","higher education","3","","",""
"Daily","2016","Couple + C. LE and GT 16","in school","","","",""
"Daily","2016","Couple + C. LE and GT 16","inadequately","1","","",""
"Daily","2016","Couple + C. LE and GT 16","general elemantary","7","","",""
"Daily","2016","Couple + C. LE and GT 16","middle vocational","8","","",""
"Daily","2016","Couple + C. LE and GT 16","vocational + Abi","","","",""
"Daily","2016","Couple + C. LE and GT 16","higher vocational","","","",""
"Daily","2016","Couple + C. LE and GT 16","higher education","","","",""
"Four to six days a week","2016","1-pers.-HH","in school","","","",""
"Four to six days a week","2016","1-pers.-HH","inadequately","1","","",""
"Four to six days a week","2016","1-pers.-HH","general elemantary","10","","",""
"Four to six days a week","2016","1-pers.-HH","middle vocational","62","0.0366451792044889","0.0275126854723046","0.0457776729366731"
"Four to six days a week","2016","1-pers.-HH","vocational + Abi","7","","",""
"Four to six days a week","2016","1-pers.-HH","higher vocational","11","","",""
"Four to six days a week","2016","1-pers.-HH","higher education","29","","",""
"Four to six days a week","2016","(Married) couple without C. ","in school","","","",""
"Four to six days a week","2016","(Married) couple without C. ","inadequately","1","","",""
"Four to six days a week","2016","(Married) couple without C. ","general elemantary","25","","",""
"Four to six days a week","2016","(Married) couple without C. ","middle vocational","119","0.0399375844349536","0.0334944541020215","0.0463807147678857"
"Four to six days a week","2016","(Married) couple without C. ","vocational + Abi","11","","",""
"Four to six days a week","2016","(Married) couple without C. ","higher vocational","11","","",""
"Four to six days a week","2016","(Married) couple without C. ","higher education","70","0.0344288040416384","0.0265148668820174","0.0423427412012594"
"Four to six days a week","2016","Single parent ","in school","1","","",""
"Four to six days a week","2016","Single parent ","inadequately","3","","",""
"Four to six days a week","2016","Single parent ","general elemantary","7","","",""
"Four to six days a week","2016","Single parent ","middle vocational","25","","",""
"Four to six days a week","2016","Single parent ","vocational + Abi","6","","",""
"Four to six days a week","2016","Single parent ","higher vocational","1","","",""
"Four to six days a week","2016","Single parent ","higher education","5","","",""
"Four to six days a week","2016","Couple + C. LE 16 ","in school","","","",""
"Four to six days a week","2016","Couple + C. LE 16 ","inadequately","8","","",""
"Four to six days a week","2016","Couple + C. LE 16 ","general elemantary","23","","",""
"Four to six days a week","2016","Couple + C. LE 16 ","middle vocational","80","0.0317112078836465","0.0246083245325812","0.0388140912347119"
"Four to six days a week","2016","Couple + C. LE 16 ","vocational + Abi","21","","",""
"Four to six days a week","2016","Couple + C. LE 16 ","higher vocational","14","","",""
"Four to six days a week","2016","Couple + C. LE 16 ","higher education","45","0.0332841170950948","0.0248799048021349","0.0416883293880546"
"Four to six days a week","2016","Couple + C. GT 16 ","in school","3","","",""
"Four to six days a week","2016","Couple + C. GT 16 ","inadequately","5","","",""
"Four to six days a week","2016","Couple + C. GT 16 ","general elemantary","4","","",""
"Four to six days a week","2016","Couple + C. GT 16 ","middle vocational","37","0.0316537230353385","0.0220588206364019","0.0412486254342751"
"Four to six days a week","2016","Couple + C. GT 16 ","vocational + Abi","5","","",""
"Four to six days a week","2016","Couple + C. GT 16 ","higher vocational","7","","",""
"Four to six days a week","2016","Couple + C. GT 16 ","higher education","15","","",""
"Four to six days a week","2016","Couple + C. LE and GT 16","in school","2","","",""
"Four to six days a week","2016","Couple + C. LE and GT 16","inadequately","","","",""
"Four to six days a week","2016","Couple + C. LE and GT 16","general elemantary","8","","",""
"Four to six days a week","2016","Couple + C. LE and GT 16","middle vocational","17","","",""
