"ple0180","year","age_gr","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Daily","2016","16-34 y.","(0) in school","","","",""
"Daily","2016","16-34 y.","(1a) inadequately completed","4","","",""
"Daily","2016","16-34 y.","(1b) general elementary school","10","","",""
"Daily","2016","16-34 y.","(1c) basic vocational qualification","8","","",""
"Daily","2016","16-34 y.","(2b) intermediate general qualification","5","","",""
"Daily","2016","16-34 y.","(2a) intermediate vocational","6","","",""
"Daily","2016","16-34 y.","(2c_gen) general maturity certificate","3","","",""
"Daily","2016","16-34 y.","(2c_voc) vocational maturity certificate","7","","",""
"Daily","2016","16-34 y.","(3a) lower tertiary education","","","",""
"Daily","2016","16-34 y.","(3b) higher tertiary education","6","","",""
"Daily","2016","35-65 y.","(0) in school","","","",""
"Daily","2016","35-65 y.","(1a) inadequately completed","9","","",""
"Daily","2016","35-65 y.","(1b) general elementary school","9","","",""
"Daily","2016","35-65 y.","(1c) basic vocational qualification","27","","",""
"Daily","2016","35-65 y.","(2b) intermediate general qualification","1","","",""
"Daily","2016","35-65 y.","(2a) intermediate vocational","24","","",""
"Daily","2016","35-65 y.","(2c_gen) general maturity certificate","5","","",""
"Daily","2016","35-65 y.","(2c_voc) vocational maturity certificate","15","","",""
"Daily","2016","35-65 y.","(3a) lower tertiary education","5","","",""
"Daily","2016","35-65 y.","(3b) higher tertiary education","13","","",""
"Daily","2016","66 and older","(0) in school","","","",""
"Daily","2016","66 and older","(1a) inadequately completed","","","",""
"Daily","2016","66 and older","(1b) general elementary school","3","","",""
"Daily","2016","66 and older","(1c) basic vocational qualification","20","","",""
"Daily","2016","66 and older","(2b) intermediate general qualification","1","","",""
"Daily","2016","66 and older","(2a) intermediate vocational","10","","",""
"Daily","2016","66 and older","(2c_gen) general maturity certificate","","","",""
"Daily","2016","66 and older","(2c_voc) vocational maturity certificate","5","","",""
"Daily","2016","66 and older","(3a) lower tertiary education","3","","",""
"Daily","2016","66 and older","(3b) higher tertiary education","11","","",""
"Four to six days a week","2016","16-34 y.","(0) in school","7","","",""
"Four to six days a week","2016","16-34 y.","(1a) inadequately completed","6","","",""
"Four to six days a week","2016","16-34 y.","(1b) general elementary school","20","","",""
"Four to six days a week","2016","16-34 y.","(1c) basic vocational qualification","18","","",""
"Four to six days a week","2016","16-34 y.","(2b) intermediate general qualification","15","","",""
"Four to six days a week","2016","16-34 y.","(2a) intermediate vocational","14","","",""
"Four to six days a week","2016","16-34 y.","(2c_gen) general maturity certificate","18","","",""
"Four to six days a week","2016","16-34 y.","(2c_voc) vocational maturity certificate","14","","",""
"Four to six days a week","2016","16-34 y.","(3a) lower tertiary education","3","","",""
"Four to six days a week","2016","16-34 y.","(3b) higher tertiary education","19","","",""
"Four to six days a week","2016","35-65 y.","(0) in school","","","",""
"Four to six days a week","2016","35-65 y.","(1a) inadequately completed","15","","",""
"Four to six days a week","2016","35-65 y.","(1b) general elementary school","26","","",""
"Four to six days a week","2016","35-65 y.","(1c) basic vocational qualification","102","0.0443949457566312","0.0366430266459833","0.052146864867279"
"Four to six days a week","2016","35-65 y.","(2b) intermediate general qualification","6","","",""
"Four to six days a week","2016","35-65 y.","(2a) intermediate vocational","114","0.0334268396326033","0.0276799252400687","0.0391737540251378"
"Four to six days a week","2016","35-65 y.","(2c_gen) general maturity certificate","12","","",""
"Four to six days a week","2016","35-65 y.","(2c_voc) vocational maturity certificate","44","0.0414211377592678","0.0319656592123076","0.050876616306228"
"Four to six days a week","2016","35-65 y.","(3a) lower tertiary education","27","","",""
