"ple0180","year","age_gr","migback","n","percent","lower_confidence","upper_confidence"
"Daily","2016","16-34 y.","no migration background","17","","",""
"Daily","2016","16-34 y.","direct migration background","25","","",""
"Daily","2016","16-34 y.","indirect migration background","12","","",""
"Daily","2016","35-65 y.","no migration background","58","0.00781948650884046","0.00609673576364879","0.00954223725403212"
"Daily","2016","35-65 y.","direct migration background","47","0.0212214486990272","0.0161074958074423","0.0263354015906121"
"Daily","2016","35-65 y.","indirect migration background","5","","",""
"Daily","2016","66 and older","no migration background","49","0.0127737326296503","0.00941140569368442","0.0161360595656161"
"Daily","2016","66 and older","direct migration background","4","","",""
"Daily","2016","66 and older","indirect migration background","","","",""
"Four to six days a week","2016","16-34 y.","no migration background","57","0.0148342583203282","0.0107276927397757","0.0189408239008806"
"Four to six days a week","2016","16-34 y.","direct migration background","54","0.0442022139320363","0.0331804810068679","0.0552239468572047"
"Four to six days a week","2016","16-34 y.","indirect migration background","42","0.0485286519886586","0.0343955146440696","0.0626617893332477"
"Four to six days a week","2016","35-65 y.","no migration background","272","0.0333895212041131","0.0298757876357878","0.0369032547724385"
"Four to six days a week","2016","35-65 y.","direct migration background","129","0.0473676609795602","0.039830103841888","0.0549052181172324"
"Four to six days a week","2016","35-65 y.","indirect migration background","19","","",""
"Four to six days a week","2016","66 and older","no migration background","159","0.043371448360092","0.0372726214212009","0.049470275298983"
"Four to six days a week","2016","66 and older","direct migration background","20","","",""
"Four to six days a week","2016","66 and older","indirect migration background","","","",""
"Two to three days a week","2016","16-34 y.","no migration background","512","0.168501917713661","0.155786687039394","0.181217148387929"
"Two to three days a week","2016","16-34 y.","direct migration background","297","0.217314831082193","0.195200026936935","0.239429635227451"
"Two to three days a week","2016","16-34 y.","indirect migration background","164","0.191219055220463","0.16535344984069","0.217084660600236"
"Two to three days a week","2016","35-65 y.","no migration background","2092","0.215553236486817","0.207510626768736","0.223595846204897"
"Two to three days a week","2016","35-65 y.","direct migration background","862","0.291167363571061","0.275047172434676","0.307287554707445"
"Two to three days a week","2016","35-65 y.","indirect migration background","127","0.218118158497362","0.186346329427912","0.249889987566811"
"Two to three days a week","2016","66 and older","no migration background","1389","0.325079438820649","0.31105473307443","0.339104144566868"
"Two to three days a week","2016","66 and older","direct migration background","148","0.368552389692648","0.321217657870411","0.415887121514885"
"Two to three days a week","2016","66 and older","indirect migration background","1","","",""
"Two to four days a month","2016","16-34 y.","no migration background","1417","0.410742929904156","0.394030921598928","0.427454938209385"
"Two to four days a month","2016","16-34 y.","direct migration background","550","0.420233188106281","0.393765457145487","0.446700919067074"
"Two to four days a month","2016","16-34 y.","indirect migration background","332","0.398882917216721","0.366676392679653","0.431089441753788"
