"ple0180","year","e11103","migback","n","percent","lower_confidence","upper_confidence"
"Daily","2016","Full Time","no migration background","43","0.00793198714159631","0.00579542648418927","0.0100685477990034"
"Daily","2016","Full Time","direct migration background","32","0.0227855746583557","0.015918774992543","0.0296523743241683"
"Daily","2016","Full Time","indirect migration background","8","","",""
"Daily","2016","Part Time","no migration background","15","","",""
"Daily","2016","Part Time","direct migration background","20","","",""
"Daily","2016","Part Time","indirect migration background","6","","",""
"Daily","2016","Not Working","no migration background","66","0.0121046768936769","0.00937962235480935","0.0148297314325444"
"Daily","2016","Not Working","direct migration background","24","","",""
"Daily","2016","Not Working","indirect migration background","3","","",""
"Four to six days a week","2016","Full Time","no migration background","179","0.0318635068239277","0.0276332319868964","0.036093781660959"
"Four to six days a week","2016","Full Time","direct migration background","95","0.0616958494874855","0.0506237687868205","0.0727679301881505"
"Four to six days a week","2016","Full Time","indirect migration background","21","","",""
"Four to six days a week","2016","Part Time","no migration background","110","0.0272835439138838","0.0226977946233292","0.0318692932044383"
"Four to six days a week","2016","Part Time","direct migration background","57","0.0420469156716558","0.032049176443791","0.0520446548995205"
"Four to six days a week","2016","Part Time","indirect migration background","19","","",""
"Four to six days a week","2016","Not Working","no migration background","199","0.0360458946543806","0.0314007502835645","0.0406910390251966"
"Four to six days a week","2016","Not Working","direct migration background","51","0.0321993110388724","0.0230305775419495","0.0413680445357952"
"Four to six days a week","2016","Not Working","indirect migration background","21","","",""
"Two to three days a week","2016","Full Time","no migration background","1287","0.195206091088383","0.185659627384425","0.204752554792341"
"Two to three days a week","2016","Full Time","direct migration background","427","0.229652695110859","0.21029701184943","0.249008378372288"
"Two to three days a week","2016","Full Time","indirect migration background","118","0.18254263462056","0.152330390727528","0.212754878513591"
"Two to three days a week","2016","Part Time","no migration background","957","0.215835982657267","0.204255353223195","0.227416612091339"
"Two to three days a week","2016","Part Time","direct migration background","420","0.289954026385109","0.267350800805123","0.312557251965095"
"Two to three days a week","2016","Part Time","indirect migration background","96","0.199172581382005","0.164779787717419","0.233565375046592"
"Two to three days a week","2016","Not Working","no migration background","1749","0.291447083894037","0.280122842063337","0.302771325724738"
"Two to three days a week","2016","Not Working","direct migration background","460","0.346711622474518","0.321992687079198","0.371430557869837"
"Two to three days a week","2016","Not Working","indirect migration background","78","0.231939502269352","0.190316383491857","0.273562621046847"
"Two to four days a month","2016","Full Time","no migration background","3256","0.478174648711849","0.466143437151327","0.490205860272371"
"Two to four days a month","2016","Full Time","direct migration background","848","0.445815367564683","0.42294178419602","0.468688950933346"
"Two to four days a month","2016","Full Time","indirect migration background","284","0.469879772342816","0.430845253368605","0.508914291317027"
"Two to four days a month","2016","Part Time","no migration background","2358","0.472052438651187","0.457999818659614","0.486105058642759"
"Two to four days a month","2016","Part Time","direct migration background","701","0.418302968043274","0.393730062580577","0.44287587350597"
"Two to four days a month","2016","Part Time","indirect migration background","210","0.399811968655579","0.357627287402045","0.441996649909113"
"Two to four days a month","2016","Not Working","no migration background","2835","0.45097292712149","0.43857311088983","0.463372743353151"
"Two to four days a month","2016","Not Working","direct migration background","548","0.383656659031768","0.358400004682286","0.40891331338125"
"Two to four days a month","2016","Not Working","indirect migration background","150","0.38422593032584","0.336257713198698","0.432194147452982"
"Once a month or less","2016","Full Time","no migration background","1456","0.225371439709839","0.215307924786529","0.235434954633149"
"Once a month or less","2016","Full Time","direct migration background","343","0.212646240847073","0.193816547073606","0.231475934620539"
"Once a month or less","2016","Full Time","indirect migration background","144","0.206769231916166","0.175094641910986","0.238443821921346"
"Once a month or less","2016","Part Time","no migration background","1010","0.198340095492693","0.187115592352955","0.20956459863243"
"Once a month or less","2016","Part Time","direct migration background","277","0.187517385299741","0.168073170028625","0.206961600570857"
"Once a month or less","2016","Part Time","indirect migration background","130","0.243112716756987","0.206172226602333","0.28005320691164"
"Once a month or less","2016","Not Working","no migration background","987","0.154913105594567","0.145896607468014","0.163929603721121"
"Once a month or less","2016","Not Working","direct migration background","251","0.172424880857473","0.152804981455646","0.1920447802593"
"Once a month or less","2016","Not Working","indirect migration background","93","0.229003201569903","0.18756540943325","0.270440993706556"
"Never","2016","Full Time","no migration background","401","0.0614523265244049","0.0556680261654629","0.0672366268833469"
"Never","2016","Full Time","direct migration background","69","0.0274042723315434","0.019891421503512","0.0349171231595748"
"Never","2016","Full Time","indirect migration background","53","0.0919709680190843","0.0693691426503992","0.114572793387769"
"Never","2016","Part Time","no migration background","398","0.0834603230663628","0.0756748958077399","0.0912457503249856"
