"ple0180","year","bula_h","n","percent","lower_confidence","upper_confidence"
"Daily","2016","Schleswig-Holstein","15","","",""
"Daily","2016","Hamburg","5","","",""
"Daily","2016","Lower Saxony","18","","",""
"Daily","2016","Bremen","","","",""
"Daily","2016","North Rhine-Westphalia","61","0.0140346196999786","0.0107727392963018","0.0172965001036555"
"Daily","2016","Hesse","8","","",""
"Daily","2016","Rhineland-Palatinate,Saarland","8","","",""
"Daily","2016","Baden-Württemberg","12","","",""
"Daily","2016","Bavaria","26","","",""
"Daily","2016","Berlin","11","","",""
"Daily","2016","Brandenburg","3","","",""
"Daily","2016","Mecklenburg-Western Pomerania","13","","",""
"Daily","2016","Saxony","21","","",""
"Daily","2016","Saxony-Anhalt","8","","",""
"Daily","2016","Thuringia","8","","",""
"Four to six days a week","2016","Schleswig-Holstein","26","","",""
"Four to six days a week","2016","Hamburg","12","","",""
"Four to six days a week","2016","Lower Saxony","52","0.0295162223794499","0.0226660548243453","0.0363663899345545"
"Four to six days a week","2016","Bremen","4","","",""
"Four to six days a week","2016","North Rhine-Westphalia","198","0.0361748205209202","0.0309970928715254","0.0413525481703151"
"Four to six days a week","2016","Hesse","42","0.0378162731069491","0.0284373168773556","0.0471952293365426"
"Four to six days a week","2016","Rhineland-Palatinate,Saarland","37","0.0304797191380228","0.0217099362487642","0.0392495020272815"
"Four to six days a week","2016","Baden-Württemberg","59","0.0306074640667191","0.0242443105470876","0.0369706175863507"
"Four to six days a week","2016","Bavaria","119","0.0330476404314528","0.0274046584055814","0.0386906224573243"
"Four to six days a week","2016","Berlin","19","","",""
"Four to six days a week","2016","Brandenburg","31","0.0344902283920439","0.0228058754371071","0.0461745813469808"
"Four to six days a week","2016","Mecklenburg-Western Pomerania","29","","",""
"Four to six days a week","2016","Saxony","60","0.0301588022806383","0.021325477387401","0.0389921271738757"
"Four to six days a week","2016","Saxony-Anhalt","24","","",""
"Four to six days a week","2016","Thuringia","40","0.0678968970875851","0.0514339034624769","0.0843598907126933"
"Two to three days a week","2016","Schleswig-Holstein","211","0.25982293685151","0.229603916206252","0.290041957496769"
