"ple0180","year","sex","n","percent","lower_confidence","upper_confidence"
"Daily","2016","Male","122","0.011905165028501","0.00987435506841332","0.0139359749885886"
"Daily","2016","Female","95","0.00822463888284424","0.00667365376446019","0.00977562400122828"
"Four to six days a week","2016","Male","383","0.0374259476702678","0.0338720432923166","0.040979852048219"
"Four to six days a week","2016","Female","369","0.0324165554333391","0.0293751788271136","0.0354579320395647"
"Two to three days a week","2016","Male","2482","0.230063628200913","0.222183130248157","0.237944126153668"
"Two to three days a week","2016","Female","3110","0.252824960895993","0.245361097093911","0.260288824698075"
"Two to four days a month","2016","Male","5218","0.466888628892725","0.457547101716415","0.476230156069035"
"Two to four days a month","2016","Female","5972","0.447556404411344","0.439017337556612","0.456095471266076"
"Once a month or less","2016","Male","2122","0.19591689337878","0.188485184787477","0.203348601970082"
"Once a month or less","2016","Female","2569","0.192409596654155","0.18564017613523","0.19917901717308"
"Never","2016","Male","630","0.0577997368288141","0.0534301859430329","0.0621692877145953"
"Never","2016","Female","911","0.066567843722325","0.062287130069228","0.0708485573754221"
"Daily","2017","Male","","","",""
"Daily","2017","Female","","","",""
"Four to six days a week","2017","Male","","","",""
"Four to six days a week","2017","Female","","","",""
"Two to three days a week","2017","Male","","","",""
"Two to three days a week","2017","Female","","","",""
"Two to four days a month","2017","Male","","","",""
"Two to four days a month","2017","Female","","","",""
"Once a month or less","2017","Male","","","",""
"Once a month or less","2017","Female","","","",""
"Never","2017","Male","","","",""
"Never","2017","Female","","","",""
"Daily","2018","Male","118","0.0103333682530522","0.00850346773113918","0.0121632687749652"
"Daily","2018","Female","87","0.0065921509850388","0.00523978213109498","0.00794451983898262"
"Four to six days a week","2018","Male","444","0.0427694324910037","0.0391081175574702","0.0464307474245372"
"Four to six days a week","2018","Female","383","0.0317449822182562","0.0288150996364705","0.0346748648000418"
"Two to three days a week","2018","Male","2485","0.214570238406601","0.207141749441959","0.221998727371244"
"Two to three days a week","2018","Female","2898","0.221740665549346","0.214798377392507","0.228682953706185"
"Two to four days a month","2018","Male","5551","0.471150249564507","0.462117750432893","0.480182748696121"
"Two to four days a month","2018","Female","6421","0.460595294890129","0.452265488495211","0.468925101285047"
"Once a month or less","2018","Male","2412","0.198669273404557","0.191449337975518","0.205889208833596"
"Once a month or less","2018","Female","2858","0.205531502120224","0.198778524157741","0.212284480082707"
"Never","2018","Male","722","0.0625074378802792","0.0581270574681536","0.0668878182924048"
"Never","2018","Female","1108","0.0737954042370061","0.0694263652766543","0.0781644431973579"
