"ple0180","year","age_gr","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Daily","2016","16-34 y.","1-pers.-HH","4","","",""
"Daily","2016","16-34 y.","(Married) couple without C. ","7","","",""
"Daily","2016","16-34 y.","Single parent ","4","","",""
"Daily","2016","16-34 y.","Couple + C. LE 16 ","20","","",""
"Daily","2016","16-34 y.","Couple + C. GT 16 ","5","","",""
"Daily","2016","16-34 y.","Couple + C. LE and GT 16","9","","",""
"Daily","2016","35-65 y.","1-pers.-HH","16","","",""
"Daily","2016","35-65 y.","(Married) couple without C. ","26","","",""
"Daily","2016","35-65 y.","Single parent ","11","","",""
"Daily","2016","35-65 y.","Couple + C. LE 16 ","33","0.0143470574305383","0.0108083329786394","0.0178857818824373"
"Daily","2016","35-65 y.","Couple + C. GT 16 ","13","","",""
"Daily","2016","35-65 y.","Couple + C. LE and GT 16","8","","",""
"Daily","2016","66 and older","1-pers.-HH","19","","",""
"Daily","2016","66 and older","(Married) couple without C. ","29","","",""
"Daily","2016","66 and older","Single parent ","3","","",""
"Daily","2016","66 and older","Couple + C. LE 16 ","","","",""
"Daily","2016","66 and older","Couple + C. GT 16 ","","","",""
"Daily","2016","66 and older","Couple + C. LE and GT 16","","","",""
"Four to six days a week","2016","16-34 y.","1-pers.-HH","13","","",""
"Four to six days a week","2016","16-34 y.","(Married) couple without C. ","20","","",""
"Four to six days a week","2016","16-34 y.","Single parent ","23","","",""
"Four to six days a week","2016","16-34 y.","Couple + C. LE 16 ","53","0.0354185186883398","0.0257844876085563","0.0450525497681233"
"Four to six days a week","2016","16-34 y.","Couple + C. GT 16 ","21","","",""
"Four to six days a week","2016","16-34 y.","Couple + C. LE and GT 16","16","","",""
"Four to six days a week","2016","35-65 y.","1-pers.-HH","46","0.035395896750718","0.0258255517406721","0.0449662417607639"
"Four to six days a week","2016","35-65 y.","(Married) couple without C. ","114","0.0375401937581777","0.031081253814894","0.0439991337014614"
"Four to six days a week","2016","35-65 y.","Single parent ","29","","",""
"Four to six days a week","2016","35-65 y.","Couple + C. LE 16 ","140","0.0356286635619682","0.0301126512095065","0.04114467591443"
"Four to six days a week","2016","35-65 y.","Couple + C. GT 16 ","52","0.0388755882010716","0.029474386528269","0.0482767898738741"
"Four to six days a week","2016","35-65 y.","Couple + C. LE and GT 16","25","","",""
"Four to six days a week","2016","66 and older","1-pers.-HH","64","0.0485393126949061","0.0369019470825334","0.0601766783072788"
"Four to six days a week","2016","66 and older","(Married) couple without C. ","103","0.0410198514606811","0.033942638141375","0.0480970647799872"
"Four to six days a week","2016","66 and older","Single parent ","1","","",""
"Four to six days a week","2016","66 and older","Couple + C. LE 16 ","1","","",""
"Four to six days a week","2016","66 and older","Couple + C. GT 16 ","7","","",""
"Four to six days a week","2016","66 and older","Couple + C. LE and GT 16","","","",""
"Two to three days a week","2016","16-34 y.","1-pers.-HH","119","0.197401204881123","0.167440129630626","0.22736228013162"
"Two to three days a week","2016","16-34 y.","(Married) couple without C. ","133","0.166347465400757","0.142072170905594","0.19062275989592"
"Two to three days a week","2016","16-34 y.","Single parent ","126","0.212553676701814","0.182997110709443","0.242110242694185"
"Two to three days a week","2016","16-34 y.","Couple + C. LE 16 ","295","0.202853230848103","0.181893606437832","0.223812855258374"
"Two to three days a week","2016","16-34 y.","Couple + C. GT 16 ","136","0.15378092323223","0.129973826518946","0.177588019945514"
"Two to three days a week","2016","16-34 y.","Couple + C. LE and GT 16","126","0.172071833204092","0.143470501557403","0.200673164850781"
"Two to three days a week","2016","35-65 y.","1-pers.-HH","353","0.244306423275996","0.222051972011487","0.266560874540505"
"Two to three days a week","2016","35-65 y.","(Married) couple without C. ","840","0.237961240926205","0.223491414095978","0.252431067756432"
"Two to three days a week","2016","35-65 y.","Single parent ","265","0.201289295230659","0.179699663015098","0.222878927446221"
"Two to three days a week","2016","35-65 y.","Couple + C. LE 16 ","896","0.202987803227538","0.191018447544575","0.2149571589105"
"Two to three days a week","2016","35-65 y.","Couple + C. GT 16 ","357","0.235320177407736","0.21468897796175","0.255951376853722"
"Two to three days a week","2016","35-65 y.","Couple + C. LE and GT 16","300","0.217765882646626","0.196192476108555","0.239339289184697"
"Two to three days a week","2016","66 and older","1-pers.-HH","408","0.308687503596789","0.283672004554885","0.333703002638693"
"Two to three days a week","2016","66 and older","(Married) couple without C. ","1016","0.34504546478244","0.328082405707306","0.362008523857575"
"Two to three days a week","2016","66 and older","Single parent ","21","","",""
"Two to three days a week","2016","66 and older","Couple + C. LE 16 ","1","","",""
"Two to three days a week","2016","66 and older","Couple + C. GT 16 ","64","0.381331024994404","0.313158241825624","0.449503808163183"
"Two to three days a week","2016","66 and older","Couple + C. LE and GT 16","","","",""
"Two to four days a month","2016","16-34 y.","1-pers.-HH","258","0.354153195971722","0.318153935088755","0.39015245685469"
"Two to four days a month","2016","16-34 y.","(Married) couple without C. ","410","0.437791908484479","0.405451441481029","0.47013237548793"
"Two to four days a month","2016","16-34 y.","Single parent ","272","0.392598276465493","0.357318860404268","0.427877692526717"
"Two to four days a month","2016","16-34 y.","Couple + C. LE 16 ","629","0.446004621045238","0.42009589036314","0.471913351727336"
"Two to four days a month","2016","16-34 y.","Couple + C. GT 16 ","369","0.434321105680327","0.40160931991699","0.467032891443663"
"Two to four days a month","2016","16-34 y.","Couple + C. LE and GT 16","261","0.358046601503689","0.321717340705333","0.394375862302045"
"Two to four days a month","2016","35-65 y.","1-pers.-HH","628","0.440911712155892","0.415196352844152","0.466627071467632"
"Two to four days a month","2016","35-65 y.","(Married) couple without C. ","1626","0.476257708692775","0.459286939708917","0.493228477676634"
"Two to four days a month","2016","35-65 y.","Single parent ","604","0.454863023142699","0.428050771341681","0.481675274943716"
"Two to four days a month","2016","35-65 y.","Couple + C. LE 16 ","2200","0.508546696377304","0.493669884703942","0.523423508050667"
"Two to four days a month","2016","35-65 y.","Couple + C. GT 16 ","801","0.488795450668262","0.464483712425158","0.513107188911366"
"Two to four days a month","2016","35-65 y.","Couple + C. LE and GT 16","709","0.534412177598011","0.508338973160317","0.560485382035705"
"Two to four days a month","2016","66 and older","1-pers.-HH","568","0.428357134691155","0.401560649093431","0.455153620288879"
"Two to four days a month","2016","66 and older","(Married) couple without C. ","1449","0.470510557804195","0.45270015363837","0.48832096197002"
"Two to four days a month","2016","66 and older","Single parent ","28","","",""
"Two to four days a month","2016","66 and older","Couple + C. LE 16 ","5","","",""
"Two to four days a month","2016","66 and older","Couple + C. GT 16 ","92","0.422939954304575","0.353600463951856","0.492279444657295"
"Two to four days a month","2016","66 and older","Couple + C. LE and GT 16","2","","",""
"Once a month or less","2016","16-34 y.","1-pers.-HH","179","0.249565993373496","0.216991160171795","0.282140826575196"
"Once a month or less","2016","16-34 y.","(Married) couple without C. ","246","0.283771037583033","0.254382779219755","0.313159295946311"
"Once a month or less","2016","16-34 y.","Single parent ","210","0.263675976177833","0.231842874952037","0.29550907740363"
"Once a month or less","2016","16-34 y.","Couple + C. LE 16 ","302","0.203659074382461","0.182668477564897","0.224649671200024"
"Once a month or less","2016","16-34 y.","Couple + C. GT 16 ","229","0.263331921293405","0.234264836464601","0.29239900612221"
"Once a month or less","2016","16-34 y.","Couple + C. LE and GT 16","165","0.315057413741695","0.279856254279064","0.350258573204326"
"Once a month or less","2016","35-65 y.","1-pers.-HH","298","0.206338697636809","0.185379023456652","0.227298371816965"
"Once a month or less","2016","35-65 y.","(Married) couple without C. ","583","0.196432117127156","0.182931947525152","0.209932286729159"
"Once a month or less","2016","35-65 y.","Single parent ","324","0.232235772734443","0.209499532615742","0.254972012853145"
"Once a month or less","2016","35-65 y.","Couple + C. LE 16 ","829","0.181864811698554","0.170386178135969","0.193343445261138"
"Once a month or less","2016","35-65 y.","Couple + C. GT 16 ","332","0.203423180610015","0.18384514424461","0.223001216975419"
"Once a month or less","2016","35-65 y.","Couple + C. LE and GT 16","298","0.192399351049654","0.171795160305219","0.213003541794088"
"Once a month or less","2016","66 and older","1-pers.-HH","189","0.146329484385522","0.127190296525046","0.165468672245997"
