"plj0587","year","age_gr","e11102","n","percent","lower_confidence","upper_confidence","value"
"Never","2013","16-34 y.","Employed","674","0.152647755224722","0.141539790818898","0.163755719630546","5"
"Never","2013","35-65 y.","Employed","2194","0.160343888822978","0.153860766516949","0.166827011129007","5"
"Never","2013","66 and older","Not Employed","965","0.204136063700974","0.192432031333225","0.215840096068722","5"
"Never","2013","66 and older","Employed","85","0.19467378274146","0.15750789599615","0.23183966948677","5"
"Never","2013","35-65 y.","Not Employed","421","0.155976028856978","0.142093374985017","0.169858682728939","5"
"Never","2013","16-34 y.","Not Employed","274","0.179927329249723","0.161222001591094","0.198632656908351","5"
"Often","2013","16-34 y.","Employed","384","0.0915624340269234","0.0826547770758693","0.100470090977978","2"
"Often","2013","16-34 y.","Not Employed","178","0.0994675714076422","0.0848934957667312","0.114041647048553","2"
"Often","2013","35-65 y.","Not Employed","297","0.114959332807977","0.102754835206874","0.127163830409081","2"
"Often","2013","35-65 y.","Employed","855","0.0706762674051221","0.0661480465698293","0.0752044882404149","2"
"Often","2013","66 and older","Not Employed","383","0.0922619244031842","0.0838586651179069","0.100665183688462","2"
"Often","2013","66 and older","Employed","23","","","","2"
"Rarely ","2013","16-34 y.","Employed","1503","0.393638236548112","0.378548841850387","0.408727631245838","4"
"Rarely ","2013","16-34 y.","Not Employed","594","0.34067072229166","0.317592137703597","0.363749306879723","4"
"Rarely ","2013","35-65 y.","Not Employed","872","0.334604630840839","0.316550689116118","0.35265857256556","4"
"Rarely ","2013","35-65 y.","Employed","4943","0.401409123435524","0.392748165123807","0.410070081747242","4"
"Rarely ","2013","66 and older","Not Employed","1624","0.341486574248387","0.327716846071232","0.355256302425541","4"
"Rarely ","2013","66 and older","Employed","189","0.39455570175643","0.348678586147576","0.440432817365283","4"
"Sometimes","2013","16-34 y.","Employed","1396","0.347138316258555","0.332434869851762","0.361841762665348","3"
"Sometimes","2013","35-65 y.","Not Employed","936","0.36016280892144","0.341795296249126","0.378530321593754","3"
