"plj0587","year","e11103","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Never","2013","Full Time","East Germany","335","0.133420803304675","0.119231494447174","0.147610112162176","5"
"Never","2013","Part Time","East Germany","193","0.119463804956804","0.102258057537073","0.136669552376535","5"
"Never","2013","Not Working","West Germany","1357","0.205220197009883","0.195503282907792","0.214937111111974","5"
"Never","2013","Not Working","East Germany","303","0.126117998957658","0.112130682660581","0.140105315254735","5"
"Never","2013","Part Time","West Germany","1006","0.166746840361553","0.157118148966676","0.176375531756429","5"
"Never","2013","Full Time","West Germany","1419","0.166447613589724","0.157983785001868","0.174911442177581","5"
"Often","2013","Full Time","East Germany","164","0.0802203490401431","0.0688851406394684","0.0915555574408178","2"
"Often","2013","Full Time","West Germany","508","0.071888125172294","0.0660187703261452","0.0777574800184428","2"
"Often","2013","Part Time","West Germany","457","0.0746826113396306","0.067892059240915","0.0814731634383463","2"
"Often","2013","Part Time","East Germany","133","0.101302044711524","0.0852954942604599","0.117308595162588","2"
"Often","2013","Not Working","West Germany","596","0.0927294362097427","0.0857507748886144","0.0997080975308711","2"
"Often","2013","Not Working","East Germany","262","0.122722539285203","0.108898017572496","0.13654706099791","2"
"Rarely ","2013","Full Time","East Germany","876","0.39211045709769","0.371737133395882","0.412483780799497","4"
"Rarely ","2013","Full Time","West Germany","3008","0.404793178517536","0.39363965298446","0.415946704050612","4"
"Rarely ","2013","Part Time","West Germany","2260","0.39683374965671","0.384195911391884","0.409471587921535","4"
"Rarely ","2013","Part Time","East Germany","491","0.378332213282305","0.352604712041505","0.404059714523106","4"
"Rarely ","2013","Not Working","West Germany","2346","0.341408227052821","0.329999425023885","0.352817029081756","4"
"Rarely ","2013","Not Working","East Germany","744","0.332794198564174","0.312940691114194","0.352647706014153","4"
"Sometimes","2013","Full Time","East Germany","810","0.386877588473905","0.366553750749413","0.407201426198396","3"
"Sometimes","2013","Part Time","West Germany","1930","0.343756714742187","0.331487747476849","0.356025682007525","3"
"Sometimes","2013","Not Working","East Germany","786","0.384601964022802","0.364104352188486","0.405099575857117","3"
"Sometimes","2013","Not Working","West Germany","2162","0.332415484165327","0.321081342084591","0.343749626246064","3"
"Sometimes","2013","Full Time","West Germany","2419","0.343604315555584","0.332813015046031","0.354395616065137","3"
"Sometimes","2013","Part Time","East Germany","520","0.385546142304802","0.359725646107311","0.411366638502293","3"
"Very often","2013","Full Time","West Germany","86","0.0132667671648617","0.0106669425306168","0.0158665917991067","1"
"Very often","2013","Full Time","East Germany","21","","","","1"
"Very often","2013","Part Time","West Germany","104","0.0179800838999199","0.0145476199781956","0.0214125478216441","1"
"Very often","2013","Part Time","East Germany","28","","","","1"
"Very often","2013","Not Working","West Germany","175","0.0282266555622263","0.0242418502713179","0.0322114608531347","1"
"Very often","2013","Not Working","East Germany","69","0.033763299170164","0.0261533165313543","0.0413732818089738","1"
"Never","2014","Full Time","East Germany","","","","","5"
"Never","2014","Not Working","East Germany","","","","","5"
"Never","2014","Part Time","West Germany","","","","","5"
"Never","2014","Full Time","West Germany","","","","","5"
"Never","2014","Not Working","West Germany","","","","","5"
"Never","2014","Part Time","East Germany","","","","","5"
"Often","2014","Full Time","East Germany","","","","","2"
"Often","2014","Part Time","West Germany","","","","","2"
"Often","2014","Part Time","East Germany","","","","","2"
"Often","2014","Full Time","West Germany","","","","","2"
"Often","2014","Not Working","West Germany","","","","","2"
"Often","2014","Not Working","East Germany","","","","","2"
"Rarely ","2014","Full Time","East Germany","","","","","4"
"Rarely ","2014","Not Working","West Germany","","","","","4"
"Rarely ","2014","Not Working","East Germany","","","","","4"
"Rarely ","2014","Full Time","West Germany","","","","","4"
"Rarely ","2014","Part Time","West Germany","","","","","4"
"Rarely ","2014","Part Time","East Germany","","","","","4"
"Sometimes","2014","Full Time","East Germany","","","","","3"
"Sometimes","2014","Part Time","West Germany","","","","","3"
"Sometimes","2014","Full Time","West Germany","","","","","3"
"Sometimes","2014","Part Time","East Germany","","","","","3"
"Sometimes","2014","Not Working","West Germany","","","","","3"
"Sometimes","2014","Not Working","East Germany","","","","","3"
"Very often","2014","Part Time","West Germany","","","","","1"
"Very often","2014","Full Time","West Germany","","","","","1"
"Very often","2014","Full Time","East Germany","","","","","1"
"Very often","2014","Part Time","East Germany","","","","","1"
"Very often","2014","Not Working","West Germany","","","","","1"
"Very often","2014","Not Working","East Germany","","","","","1"
"Never","2015","Full Time","East Germany","","","","","5"
"Never","2015","Part Time","West Germany","","","","","5"
"Never","2015","Not Working","West Germany","","","","","5"
"Never","2015","Not Working","East Germany","","","","","5"
"Never","2015","Full Time","West Germany","","","","","5"
"Never","2015","Part Time","East Germany","","","","","5"
"Often","2015","Part Time","East Germany","","","","","2"
"Often","2015","Full Time","West Germany","","","","","2"
"Often","2015","Part Time","West Germany","","","","","2"
"Often","2015","Full Time","East Germany","","","","","2"
"Often","2015","Not Working","West Germany","","","","","2"
"Often","2015","Not Working","East Germany","","","","","2"
"Rarely ","2015","Full Time","East Germany","","","","","4"
"Rarely ","2015","Part Time","West Germany","","","","","4"
"Rarely ","2015","Full Time","West Germany","","","","","4"
"Rarely ","2015","Not Working","West Germany","","","","","4"
"Rarely ","2015","Part Time","East Germany","","","","","4"
"Rarely ","2015","Not Working","East Germany","","","","","4"
"Sometimes","2015","Part Time","West Germany","","","","","3"
"Sometimes","2015","Part Time","East Germany","","","","","3"
"Sometimes","2015","Full Time","West Germany","","","","","3"
"Sometimes","2015","Full Time","East Germany","","","","","3"
"Sometimes","2015","Not Working","West Germany","","","","","3"
"Sometimes","2015","Not Working","East Germany","","","","","3"
"Very often","2015","Full Time","West Germany","","","","","1"
"Very often","2015","Full Time","East Germany","","","","","1"
"Very often","2015","Part Time","West Germany","","","","","1"
"Very often","2015","Part Time","East Germany","","","","","1"
"Very often","2015","Not Working","West Germany","","","","","1"
"Very often","2015","Not Working","East Germany","","","","","1"
"Never","2016","Full Time","West Germany","","","","","5"
"Never","2016","Full Time","East Germany","","","","","5"
"Never","2016","Part Time","West Germany","","","","","5"
"Never","2016","Part Time","East Germany","","","","","5"
"Never","2016","Not Working","West Germany","754","0.186291783712336","0.173405983035465","0.199177584389207","5"
"Never","2016","Not Working","East Germany","139","0.163752022515083","0.137303583367082","0.190200461663083","5"
"Often","2016","Full Time","West Germany","","","","","2"
"Often","2016","Full Time","East Germany","","","","","2"
"Often","2016","Part Time","West Germany","","","","","2"
"Often","2016","Part Time","East Germany","","","","","2"
"Often","2016","Not Working","West Germany","640","0.204617264255064","0.19126547634513","0.217969052164997","2"
"Often","2016","Not Working","East Germany","147","0.201046157995142","0.172401218810407","0.229691097179878","2"
"Rarely ","2016","Full Time","West Germany","","","","","4"
"Rarely ","2016","Full Time","East Germany","","","","","4"
"Rarely ","2016","Part Time","West Germany","","","","","4"
"Rarely ","2016","Part Time","East Germany","","","","","4"
"Rarely ","2016","Not Working","West Germany","534","0.134052639642552","0.122776417069549","0.145328862215555","4"
"Rarely ","2016","Not Working","East Germany","106","0.122473217893383","0.0990422663920459","0.145904169394719","4"
"Sometimes","2016","Full Time","West Germany","","","","","3"
"Sometimes","2016","Full Time","East Germany","","","","","3"
"Sometimes","2016","Part Time","West Germany","","","","","3"
"Sometimes","2016","Part Time","East Germany","","","","","3"
"Sometimes","2016","Not Working","West Germany","1024","0.301366389672844","0.286180076442455","0.316552702903234","3"
"Sometimes","2016","Not Working","East Germany","238","0.33174717717536","0.298094998216065","0.365399356134656","3"
"Very often","2016","Full Time","West Germany","","","","","1"
"Very often","2016","Full Time","East Germany","","","","","1"
"Very often","2016","Part Time","West Germany","","","","","1"
"Very often","2016","Part Time","East Germany","","","","","1"
"Very often","2016","Not Working","West Germany","555","0.173671922717204","0.161134124700976","0.186209720733432","1"
"Very often","2016","Not Working","East Germany","122","0.180981424421032","0.153464299993973","0.208498548848091","1"
"Never","2017","Full Time","West Germany","1723","0.199837805785613","0.1911418423551","0.208533769216126","5"
"Never","2017","Full Time","East Germany","448","0.176862428693007","0.16116987841779","0.192554978968225","5"
"Never","2017","Part Time","West Germany","1266","0.192412634895614","0.182712493717489","0.202112776073738","5"
"Never","2017","Part Time","East Germany","234","0.166491478071888","0.146425740634375","0.186557215509401","5"
"Never","2017","Not Working","West Germany","1792","0.197608295801712","0.189455152998856","0.205761438604568","5"
"Never","2017","Not Working","East Germany","425","0.183995090442537","0.168152631797158","0.199837549087916","5"
"Often","2017","Full Time","West Germany","482","0.0572999030742294","0.0522456895683309","0.062354116580128","2"
"Often","2017","Part Time","West Germany","454","0.0651056055986791","0.0590346511649269","0.0711765600324314","2"
"Often","2017","Full Time","East Germany","125","0.063955776739486","0.0538927738706441","0.074018779608328","2"
"Often","2017","Not Working","East Germany","291","0.110683638490916","0.0978561116020505","0.123511165379781","2"
"Often","2017","Part Time","East Germany","116","0.0939928299178594","0.0782741062743956","0.109711553561323","2"
"Often","2017","Not Working","West Germany","1138","0.0961072781882916","0.0900724371991521","0.102142119177431","2"
"Rarely ","2017","Full Time","West Germany","3384","0.437000947874924","0.426214340134309","0.447787555615539","4"
"Rarely ","2017","Full Time","East Germany","971","0.414913573495411","0.394649425121731","0.43517772186909","4"
"Rarely ","2017","Not Working","West Germany","2690","0.355180888931063","0.345382086688083","0.364979691174042","4"
"Rarely ","2017","Part Time","East Germany","510","0.394584513805009","0.368257543739083","0.420911483870934","4"
"Rarely ","2017","Not Working","East Germany","733","0.311234375482335","0.292304289354169","0.3301644616105","4"
"Rarely ","2017","Part Time","West Germany","2547","0.415377036853247","0.403250810219935","0.427503263486559","4"
"Sometimes","2017","Full Time","West Germany","2448","0.296289579381731","0.286359675511041","0.306219483252421","3"
"Sometimes","2017","Full Time","East Germany","709","0.338918347326293","0.31945064863133","0.358386046021255","3"
"Sometimes","2017","Not Working","West Germany","2936","0.316063639573276","0.30654391545672","0.325583363689832","3"
"Sometimes","2017","Not Working","East Germany","748","0.363230677309851","0.34356742258155","0.382893932038152","3"
"Sometimes","2017","Part Time","West Germany","1976","0.312198067185186","0.300795219982884","0.323600914387487","3"
"Sometimes","2017","Part Time","East Germany","443","0.329598046568344","0.304278026325418","0.354918066811271","3"
"Very often","2017","Part Time","West Germany","101","0.0149066554672746","0.0119247401679019","0.0178885707666474","1"
"Very often","2017","Not Working","East Germany","101","0.0308562182743617","0.0237859069940091","0.0379265295547143","1"
"Very often","2017","Full Time","West Germany","86","0.00957176388350285","0.00745439093900767","0.011689136827998","1"
"Very often","2017","Full Time","East Germany","18","","","","1"
"Very often","2017","Part Time","East Germany","21","","","","1"
"Very often","2017","Not Working","West Germany","607","0.0350398975056575","0.0312748943898837","0.0388049006214313","1"
"Never","2018","Full Time","West Germany","","","","","5"
"Never","2018","Full Time","East Germany","","","","","5"
"Never","2018","Part Time","West Germany","","","","","5"
"Never","2018","Not Working","West Germany","89","0.241407761792418","0.197921063709613","0.284894459875223","5"
"Never","2018","Not Working","East Germany","15","","","","5"
"Never","2018","Part Time","East Germany","","","","","5"
"Often","2018","Part Time","West Germany","","","","","2"
"Often","2018","Part Time","East Germany","","","","","2"
"Often","2018","Not Working","East Germany","14","","","","2"
"Often","2018","Full Time","West Germany","","","","","2"
"Often","2018","Full Time","East Germany","","","","","2"
"Often","2018","Not Working","West Germany","65","0.21075600174578","0.169310992526918","0.252201010964642","2"
"Rarely ","2018","Full Time","West Germany","","","","","4"
"Rarely ","2018","Full Time","East Germany","","","","","4"
"Rarely ","2018","Not Working","East Germany","4","","","","4"
"Rarely ","2018","Part Time","West Germany","","","","","4"
"Rarely ","2018","Part Time","East Germany","","","","","4"
"Rarely ","2018","Not Working","West Germany","48","0.124723934409258","0.091148313821619","0.158299554996896","4"
"Sometimes","2018","Full Time","West Germany","","","","","3"
"Sometimes","2018","Full Time","East Germany","","","","","3"
"Sometimes","2018","Part Time","West Germany","","","","","3"
"Sometimes","2018","Not Working","East Germany","10","","","","3"
"Sometimes","2018","Part Time","East Germany","","","","","3"
"Sometimes","2018","Not Working","West Germany","119","0.325416026488103","0.277804281417757","0.37302777155845","3"
"Very often","2018","Part Time","West Germany","","","","","1"
"Very often","2018","Full Time","East Germany","","","","","1"
"Very often","2018","Not Working","East Germany","5","","","","1"
"Very often","2018","Part Time","East Germany","","","","","1"
"Very often","2018","Full Time","West Germany","","","","","1"
"Very often","2018","Not Working","West Germany","51","0.0976962755644408","0.0675251161249305","0.127867435003951","1"
"Never","2019","Full Time","West Germany","","","","","5"
"Never","2019","Full Time","East Germany","","","","","5"
"Never","2019","Part Time","West Germany","","","","","5"
"Never","2019","Part Time","East Germany","","","","","5"
"Never","2019","Not Working","West Germany","45","0.198935126782131","0.149745060008734","0.248125193555527","5"
"Never","2019","Not Working","East Germany","6","","","","5"
"Often","2019","Full Time","West Germany","","","","","2"
"Often","2019","Full Time","East Germany","","","","","2"
"Often","2019","Part Time","West Germany","","","","","2"
"Often","2019","Part Time","East Germany","","","","","2"
"Often","2019","Not Working","East Germany","4","","","","2"
"Often","2019","Not Working","West Germany","58","0.233696711508084","0.181551494918629","0.285841928097539","2"
"Rarely ","2019","Full Time","West Germany","","","","","4"
"Rarely ","2019","Full Time","East Germany","","","","","4"
"Rarely ","2019","Part Time","West Germany","","","","","4"
"Rarely ","2019","Part Time","East Germany","","","","","4"
"Rarely ","2019","Not Working","East Germany","","","","","4"
"Rarely ","2019","Not Working","West Germany","26","","","","4"
"Sometimes","2019","Part Time","West Germany","","","","","3"
"Sometimes","2019","Not Working","East Germany","9","","","","3"
"Sometimes","2019","Full Time","East Germany","","","","","3"
"Sometimes","2019","Full Time","West Germany","","","","","3"
"Sometimes","2019","Part Time","East Germany","","","","","3"
"Sometimes","2019","Not Working","West Germany","89","0.330181127725011","0.272232568369985","0.388129687080037","3"
"Very often","2019","Not Working","East Germany","4","","","","1"
"Very often","2019","Part Time","East Germany","","","","","1"
"Very often","2019","Full Time","West Germany","","","","","1"
"Very often","2019","Full Time","East Germany","","","","","1"
"Very often","2019","Part Time","West Germany","","","","","1"
"Very often","2019","Not Working","West Germany","35","0.147186353073017","0.103529877332324","0.19084282881371","1"
