"plj0587","year","e11102","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Never","2013","Not Employed","in school","76","0.27868693861842","0.23144472411052","0.325929153126319","5"
"Never","2013","Not Employed","vocational + Abi","48","0.126953847846918","0.0921252437760037","0.161782451917833","5"
"Never","2013","Not Employed","higher vocational","96","0.199061555808475","0.163191018537537","0.234932093079414","5"
"Never","2013","Not Employed","higher education","244","0.147846795903435","0.129683367210912","0.166010224595957","5"
"Never","2013","Employed","in school","18","","","","5"
"Never","2013","Employed","inadequately","20","","","","5"
"Never","2013","Employed","general elemantary","241","0.193699442469441","0.171711992429453","0.215686892509428","5"
"Never","2013","Employed","middle vocational","1411","0.160731980792846","0.152682666656307","0.168781294929384","5"
"Never","2013","Employed","vocational + Abi","228","0.14191866922546","0.123800068674722","0.160037269776197","5"
"Never","2013","Not Employed","inadequately","31","0.191201199059178","0.134069393147198","0.248333004971158","5"
"Never","2013","Not Employed","general elemantary","265","0.197639163271189","0.176396812726384","0.218881513815995","5"
"Never","2013","Not Employed","middle vocational","855","0.196589108417512","0.184908563325282","0.208269653509742","5"
"Never","2013","Employed","higher vocational","199","0.13991079797133","0.120308244742572","0.159513351200087","5"
"Never","2013","Employed","higher education","759","0.154492870842381","0.143774725675987","0.165211016008774","5"
"Often","2013","Not Employed","in school","29","","","","2"
"Often","2013","Not Employed","inadequately","33","0.182022821542649","0.12596374858653","0.238081894498768","2"
"Often","2013","Not Employed","middle vocational","416","0.0931963571064284","0.08465217250811","0.101740541704747","2"
"Often","2013","Not Employed","vocational + Abi","32","0.110679846474215","0.0778583881331012","0.143501304815329","2"
"Often","2013","Not Employed","general elemantary","157","0.103773988754983","0.0875059861251391","0.120041991384826","2"
"Often","2013","Not Employed","higher vocational","45","0.100143793498358","0.0731761379621706","0.127111449034545","2"
"Often","2013","Not Employed","higher education","128","0.101330816429388","0.0858888099715985","0.116772822887177","2"
"Often","2013","Employed","in school","7","","","","2"
"Often","2013","Employed","inadequately","23","","","","2"
"Often","2013","Employed","general elemantary","130","0.115447852297213","0.0976684625658973","0.133227242028529","2"
"Often","2013","Employed","middle vocational","634","0.077543747655355","0.0716823164278085","0.0834051788829014","2"
"Often","2013","Employed","vocational + Abi","102","0.0587533024347045","0.0465435029189749","0.0709631019504341","2"
"Often","2013","Employed","higher vocational","70","0.052992533875631","0.04033353614867","0.065651531602592","2"
"Often","2013","Employed","higher education","272","0.0685537349954377","0.0610599498093679","0.0760475201815074","2"
"Rarely ","2013","Not Employed","inadequately","40","0.228293945497331","0.16731420838688","0.289273682607781","4"
"Rarely ","2013","Not Employed","higher education","574","0.367057545715457","0.342392482909046","0.391722608521868","4"
"Rarely ","2013","Not Employed","in school","153","0.402870274266101","0.351189739438978","0.454550809093224","4"
"Rarely ","2013","Not Employed","vocational + Abi","129","0.37165815290833","0.321103124698983","0.422213181117678","4"
