"plj0587","year","education","n","percent","lower_confidence","upper_confidence"
"Very often","2013","lower secondary degree","160","0.0230588208173582","0.0195740201817233","0.0265436214529931"
"Very often","2013","secondary school degree","132","0.0188665535947229","0.0158641092394346","0.0218689979500111"
"Very often","2013","college entrance qualification","83","0.0142263586847632","0.0115278339367128","0.0169248834328136"
"Very often","2013","Other degree","71","0.0304336861692266","0.0220324854947554","0.0388348868436978"
"Very often","2013","no degree/no degree yet","","","",""
"Often","2013","lower secondary degree","628","0.0849889967640288","0.0785142961506998","0.0914636973773577"
"Often","2013","secondary school degree","659","0.0863700795086134","0.0801709393343996","0.0925692196828272"
"Often","2013","college entrance qualification","470","0.0657773845492514","0.0601286077308202","0.0714261613676826"
"Often","2013","Other degree","199","0.133743297347818","0.117096348783605","0.15039024591203"
"Often","2013","no degree/no degree yet","96","0.120276394738544","0.0979029219573117","0.142649867519776"
"Sometimes","2013","lower secondary degree","2336","0.34337595650946","0.332351212510091","0.354400700508828"
"Sometimes","2013","secondary school degree","2813","0.361864056434777","0.351259464357366","0.372468648512187"
"Sometimes","2013","college entrance qualification","2456","0.349574001482802","0.338708258286107","0.360439744679496"
"Sometimes","2013","Other degree","551","0.33773257685768","0.314602424487177","0.360862729228182"
"Sometimes","2013","no degree/no degree yet","245","0.301448940465409","0.2698861032745","0.333011777656318"
"Rarely ","2013","lower secondary degree","2555","0.349792060211587","0.338719289932851","0.360864830490323"
"Rarely ","2013","secondary school degree","3028","0.38800092931495","0.377247266762621","0.39875459186728"
"Rarely ","2013","college entrance qualification","3105","0.415253059828292","0.404024312040305","0.42648180761628"
"Rarely ","2013","Other degree","489","0.31080162435835","0.288166176950187","0.333437071766512"
"Rarely ","2013","no degree/no degree yet","296","0.349130795443714","0.316343090578076","0.381918500309353"
"Never","2013","lower secondary degree","1447","0.198784165697567","0.189518196812768","0.208050134582365"
"Never","2013","secondary school degree","1256","0.144898381146937","0.13713045172353","0.152666310570343"
"Never","2013","college entrance qualification","1284","0.155169195454891","0.146918728063692","0.163419662846091"
"Never","2013","Other degree","296","0.187288815266926","0.168207893095901","0.206369737437952"
"Never","2013","no degree/no degree yet","151","0.200327042499553","0.172797685294018","0.227856399705087"
"Very often","2014","lower secondary degree","","","",""
"Very often","2014","secondary school degree","","","",""
"Very often","2014","college entrance qualification","","","",""
"Very often","2014","Other degree","","","",""
"Very often","2014","no degree/no degree yet","","","",""
"Often","2014","lower secondary degree","","","",""
"Often","2014","secondary school degree","","","",""
"Often","2014","college entrance qualification","","","",""
"Often","2014","Other degree","","","",""
"Often","2014","no degree/no degree yet","","","",""
"Sometimes","2014","lower secondary degree","","","",""
"Sometimes","2014","secondary school degree","","","",""
"Sometimes","2014","college entrance qualification","","","",""
"Sometimes","2014","Other degree","","","",""
"Sometimes","2014","no degree/no degree yet","","","",""
"Rarely ","2014","lower secondary degree","","","",""
"Rarely ","2014","secondary school degree","","","",""
"Rarely ","2014","college entrance qualification","","","",""
"Rarely ","2014","Other degree","","","",""
"Rarely ","2014","no degree/no degree yet","","","",""
"Never","2014","lower secondary degree","","","",""
"Never","2014","secondary school degree","","","",""
"Never","2014","college entrance qualification","","","",""
"Never","2014","Other degree","","","",""
"Never","2014","no degree/no degree yet","","","",""
"Very often","2015","lower secondary degree","","","",""
"Very often","2015","secondary school degree","","","",""
"Very often","2015","college entrance qualification","","","",""
"Very often","2015","Other degree","","","",""
"Very often","2015","no degree/no degree yet","","","",""
"Often","2015","lower secondary degree","","","",""
"Often","2015","secondary school degree","","","",""
"Often","2015","college entrance qualification","","","",""
"Often","2015","Other degree","","","",""
"Often","2015","no degree/no degree yet","","","",""
"Sometimes","2015","lower secondary degree","","","",""
"Sometimes","2015","secondary school degree","","","",""
"Sometimes","2015","college entrance qualification","","","",""
"Sometimes","2015","Other degree","","","",""
"Sometimes","2015","no degree/no degree yet","","","",""
"Rarely ","2015","lower secondary degree","","","",""
"Rarely ","2015","secondary school degree","","","",""
"Rarely ","2015","college entrance qualification","","","",""
"Rarely ","2015","Other degree","","","",""
"Rarely ","2015","no degree/no degree yet","","","",""
"Never","2015","lower secondary degree","","","",""
"Never","2015","secondary school degree","","","",""
"Never","2015","college entrance qualification","","","",""
"Never","2015","Other degree","","","",""
"Never","2015","no degree/no degree yet","","","",""
"Very often","2016","lower secondary degree","","","",""
"Very often","2016","secondary school degree","","","",""
"Very often","2016","college entrance qualification","","","",""
"Very often","2016","Other degree","344","0.156980952729351","0.142126760921865","0.171835144536836"
"Very often","2016","no degree/no degree yet","278","0.210809405879514","0.19074179967671","0.230877012082319"
"Often","2016","lower secondary degree","","","",""
"Often","2016","secondary school degree","","","",""
"Often","2016","college entrance qualification","","","",""
"Often","2016","Other degree","420","0.199508890538595","0.18319091653778","0.21582686453941"
"Often","2016","no degree/no degree yet","287","0.203392572024936","0.183588734819567","0.223196409230306"
"Sometimes","2016","lower secondary degree","","","",""
"Sometimes","2016","secondary school degree","","","",""
"Sometimes","2016","college entrance qualification","","","",""
"Sometimes","2016","Other degree","722","0.309482411110771","0.290606313598611","0.32835850862293"
"Sometimes","2016","no degree/no degree yet","426","0.292250560175753","0.26987483749127","0.314626282860237"
"Rarely ","2016","lower secondary degree","","","",""
"Rarely ","2016","secondary school degree","","","",""
"Rarely ","2016","college entrance qualification","","","",""
"Rarely ","2016","Other degree","356","0.14483732977373","0.13046684311735","0.159207816430111"
"Rarely ","2016","no degree/no degree yet","234","0.115846360265031","0.1001005616039","0.131592158926161"
"Never","2016","lower secondary degree","","","",""
"Never","2016","secondary school degree","","","",""
"Never","2016","college entrance qualification","","","",""
"Never","2016","Other degree","462","0.189190415847553","0.173197934371368","0.205182897323738"
"Never","2016","no degree/no degree yet","362","0.177701101654765","0.158894100901116","0.196508102408414"
