"plj0587","year","hgtyp1hh","migback","n","percent","lower_confidence","upper_confidence"
"Very often","2013","1-pers.-HH","no migration background","145","0.0432914171857317","0.0363000303705831","0.0502828040008803"
"Very often","2013","1-pers.-HH","direct migration background","12","","",""
"Very often","2013","1-pers.-HH","indirect migration background","1","","",""
"Very often","2013","(Married) couple without C. ","no migration background","67","0.00981820175589243","0.00750128444266709","0.0121351190691178"
"Very often","2013","(Married) couple without C. ","direct migration background","13","","",""
"Very often","2013","(Married) couple without C. ","indirect migration background","2","","",""
"Very often","2013","Single parent ","no migration background","62","0.0292549131800184","0.022238498955121","0.0362713274049157"
"Very often","2013","Single parent ","direct migration background","17","","",""
"Very often","2013","Single parent ","indirect migration background","5","","",""
"Very often","2013","Couple + C. LE 16 ","no migration background","54","0.0110644517338647","0.00817855768818101","0.0139503457795485"
"Very often","2013","Couple + C. LE 16 ","direct migration background","31","0.0261016761752381","0.0162834196198521","0.0359199327306241"
"Very often","2013","Couple + C. LE 16 ","indirect migration background","9","","",""
"Very often","2013","Couple + C. GT 16 ","no migration background","13","","",""
"Very often","2013","Couple + C. GT 16 ","direct migration background","5","","",""
"Very often","2013","Couple + C. GT 16 ","indirect migration background","2","","",""
"Very often","2013","Couple + C. LE and GT 16","no migration background","17","","",""
"Very often","2013","Couple + C. LE and GT 16","direct migration background","8","","",""
"Very often","2013","Couple + C. LE and GT 16","indirect migration background","3","","",""
"Often","2013","1-pers.-HH","no migration background","364","0.113026208579687","0.102148997208168","0.123903419951205"
"Often","2013","1-pers.-HH","direct migration background","36","0.138526266064539","0.0938814274585078","0.18317110467057"
"Often","2013","1-pers.-HH","indirect migration background","16","","",""
"Often","2013","(Married) couple without C. ","no migration background","434","0.0648779480249192","0.0590900643859103","0.0706658316639281"
"Often","2013","(Married) couple without C. ","direct migration background","59","0.116172399050856","0.0896331068270094","0.142711691274702"
"Often","2013","(Married) couple without C. ","indirect migration background","13","","",""
"Often","2013","Single parent ","no migration background","239","0.101563173124871","0.0889862294440353","0.114140116805707"
"Often","2013","Single parent ","direct migration background","31","0.151572851392579","0.102120107317689","0.201025595467468"
"Often","2013","Single parent ","indirect migration background","24","","",""
"Often","2013","Couple + C. LE 16 ","no migration background","374","0.0717884428050288","0.0646667671444687","0.0789101184655889"
"Often","2013","Couple + C. LE 16 ","direct migration background","121","0.113722559406442","0.0941723448316686","0.133272773981216"
"Often","2013","Couple + C. LE 16 ","indirect migration background","49","0.112486219350713","0.0824468480638532","0.142525590637573"
"Often","2013","Couple + C. GT 16 ","no migration background","142","0.0658330230914113","0.0558741231919357","0.0757919229908869"
"Often","2013","Couple + C. GT 16 ","direct migration background","25","","",""
"Often","2013","Couple + C. GT 16 ","indirect migration background","12","","",""
"Often","2013","Couple + C. LE and GT 16","no migration background","80","0.0529070498867207","0.0416537634885161","0.0641603362849252"
"Often","2013","Couple + C. LE and GT 16","direct migration background","40","0.117501945776177","0.0822200015333444","0.152783890019009"
"Often","2013","Couple + C. LE and GT 16","indirect migration background","19","","",""
"Sometimes","2013","1-pers.-HH","no migration background","1223","0.384617936871058","0.367904730404104","0.401331143338011"
"Sometimes","2013","1-pers.-HH","direct migration background","85","0.374969439517694","0.312404254091546","0.437534624943842"
"Sometimes","2013","1-pers.-HH","indirect migration background","35","0.324332504253379","0.230689739910231","0.417975268596527"
"Sometimes","2013","(Married) couple without C. ","no migration background","2251","0.334883139618159","0.323793109918263","0.345973169318056"
"Sometimes","2013","(Married) couple without C. ","direct migration background","174","0.297193002808601","0.259340778422473","0.335045227194729"
"Sometimes","2013","(Married) couple without C. ","indirect migration background","45","0.326060839558219","0.244533006732681","0.407588672383756"
"Sometimes","2013","Single parent ","no migration background","805","0.357463158812624","0.337509255001902","0.377417062623346"
"Sometimes","2013","Single parent ","direct migration background","63","0.248118349841361","0.188555346049501","0.307681353633221"
"Sometimes","2013","Single parent ","indirect migration background","64","0.29375915007357","0.229163462408112","0.358354837739029"
"Sometimes","2013","Couple + C. LE 16 ","no migration background","1750","0.363041128993022","0.349774363623778","0.376307894362267"
