"plj0587","year","bula_h","education","n","percent","lower_confidence","upper_confidence"
"Very often","2013","Schleswig-Holstein","lower secondary degree","","","",""
"Very often","2013","Schleswig-Holstein","secondary school degree","","","",""
"Very often","2013","Schleswig-Holstein","college entrance qualification","","","",""
"Very often","2013","Schleswig-Holstein","Other degree","","","",""
"Very often","2013","Schleswig-Holstein","no degree/no degree yet","","","",""
"Very often","2013","Hamburg","lower secondary degree","","","",""
"Very often","2013","Hamburg","secondary school degree","","","",""
"Very often","2013","Hamburg","college entrance qualification","","","",""
"Very often","2013","Hamburg","Other degree","","","",""
"Very often","2013","Hamburg","no degree/no degree yet","","","",""
"Very often","2013","Lower Saxony","lower secondary degree","","","",""
"Very often","2013","Lower Saxony","secondary school degree","","","",""
"Very often","2013","Lower Saxony","college entrance qualification","","","",""
"Very often","2013","Lower Saxony","Other degree","","","",""
"Very often","2013","Lower Saxony","no degree/no degree yet","","","",""
"Very often","2013","Bremen","lower secondary degree","","","",""
"Very often","2013","Bremen","secondary school degree","","","",""
"Very often","2013","Bremen","college entrance qualification","","","",""
"Very often","2013","Bremen","Other degree","","","",""
"Very often","2013","Bremen","no degree/no degree yet","","","",""
"Very often","2013","North Rhine-Westphalia","lower secondary degree","33","0.0210755865757078","0.0136568276278076","0.028494345523608"
"Very often","2013","North Rhine-Westphalia","secondary school degree","","","",""
"Very often","2013","North Rhine-Westphalia","college entrance qualification","","","",""
"Very often","2013","North Rhine-Westphalia","Other degree","","","",""
"Very often","2013","North Rhine-Westphalia","no degree/no degree yet","","","",""
"Very often","2013","Hesse","lower secondary degree","","","",""
"Very often","2013","Hesse","secondary school degree","","","",""
"Very often","2013","Hesse","college entrance qualification","","","",""
"Very often","2013","Hesse","Other degree","","","",""
"Very often","2013","Hesse","no degree/no degree yet","","","",""
"Very often","2013","Rhineland-Palatinate,Saarland","lower secondary degree","","","",""
"Very often","2013","Rhineland-Palatinate,Saarland","secondary school degree","","","",""
"Very often","2013","Rhineland-Palatinate,Saarland","college entrance qualification","","","",""
"Very often","2013","Rhineland-Palatinate,Saarland","Other degree","","","",""
"Very often","2013","Rhineland-Palatinate,Saarland","no degree/no degree yet","","","",""
"Very often","2013","Baden-Württemberg","lower secondary degree","","","",""
"Very often","2013","Baden-Württemberg","secondary school degree","","","",""
"Very often","2013","Baden-Württemberg","college entrance qualification","","","",""
"Very often","2013","Baden-Württemberg","Other degree","","","",""
"Very often","2013","Baden-Württemberg","no degree/no degree yet","","","",""
"Very often","2013","Bavaria","lower secondary degree","","","",""
"Very often","2013","Bavaria","secondary school degree","","","",""
