"plj0587","year","n","percent","lower_confidence","upper_confidence"
"Very often","2013","483","0.0199900941379543","0.018274469143899","0.0217057191320096"
"Often","2013","2120","0.0845428798451709","0.0811328574254465","0.0879529022648952"
"Sometimes","2013","8627","0.348259509297947","0.342419835937617","0.354099182658278"
"Rarely ","2013","9725","0.376242777379392","0.370304758258039","0.382180796500745"
"Never","2013","4613","0.170964739339536","0.166350081686114","0.175579396992957"
"Very often","2014","","","",""
"Often","2014","","","",""
"Sometimes","2014","","","",""
"Rarely ","2014","","","",""
"Never","2014","","","",""
"Very often","2015","","","",""
"Often","2015","","","",""
"Sometimes","2015","","","",""
"Rarely ","2015","","","",""
"Never","2015","","","",""
"Very often","2016","681","0.174768138918818","0.163392007474227","0.186144270363408"
"Often","2016","790","0.204232546881888","0.192156326221234","0.216308767542542"
"Sometimes","2016","1272","0.307598488004995","0.293774078846059","0.32142289716393"
"Rarely ","2016","640","0.131434412919914","0.121313228666796","0.141555597173031"
"Never","2016","898","0.181966413274386","0.170409105943833","0.193523720604939"
"Very often","2017","934","0.0195545953347569","0.0179751522819261","0.0211340383875877"
"Often","2017","2606","0.0757760949207961","0.0727573768355396","0.0787948130060526"
"Sometimes","2017","9260","0.314115724700715","0.308821064298911","0.319410385102519"
"Rarely ","2017","10835","0.396844264875716","0.391263514042549","0.402425015708882"
"Never","2017","5888","0.193709320168016","0.189201268073349","0.198217372262684"
"Very often","2018","56","0.107129057031993","0.0775508781032463","0.136707235960739"
"Often","2018","79","0.22537946229164","0.185419495493228","0.265339429090051"
"Sometimes","2018","129","0.308659940839491","0.264481595944363","0.35283828573462"
"Rarely ","2018","52","0.111318864941327","0.0812386586003434","0.141399071282311"
"Never","2018","104","0.247512674895549","0.206239130846508","0.28878621894459"
"Very often","2019","39","0.148324031330998","0.10639290706727","0.190255155594726"
"Often","2019","62","0.229903428716749","0.180262617614144","0.279544239819355"
"Sometimes","2019","98","0.352970088194506","0.296590138910837","0.409350037478175"
"Rarely ","2019","","","",""
"Never","2019","51","0.188667007137153","0.142509632529171","0.234824381745135"
