"plj0587","year","e11103","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Very often","2013","Full Time","(0) in school","","","",""
"Very often","2013","Full Time","(1a) inadequately completed","4","","",""
"Very often","2013","Full Time","(1b) general elementary school","9","","",""
"Very often","2013","Full Time","(1c) basic vocational qualification","19","","",""
"Very often","2013","Full Time","(2b) intermediate general qualification","5","","",""
"Very often","2013","Full Time","(2a) intermediate vocational","27","","",""
"Very often","2013","Full Time","(2c_gen) general maturity certificate","3","","",""
"Very often","2013","Full Time","(2c_voc) vocational maturity certificate","12","","",""
"Very often","2013","Full Time","(3a) lower tertiary education","7","","",""
"Very often","2013","Full Time","(3b) higher tertiary education","19","","",""
"Very often","2013","Part Time","(0) in school","","","",""
"Very often","2013","Part Time","(1a) inadequately completed","5","","",""
"Very often","2013","Part Time","(1b) general elementary school","11","","",""
"Very often","2013","Part Time","(1c) basic vocational qualification","26","","",""
"Very often","2013","Part Time","(2b) intermediate general qualification","5","","",""
"Very often","2013","Part Time","(2a) intermediate vocational","38","0.0179995444692405","0.0123146596945682","0.0236844292439128"
"Very often","2013","Part Time","(2c_gen) general maturity certificate","7","","",""
"Very often","2013","Part Time","(2c_voc) vocational maturity certificate","16","","",""
"Very often","2013","Part Time","(3a) lower tertiary education","8","","",""
"Very often","2013","Part Time","(3b) higher tertiary education","12","","",""
"Very often","2013","Not Working","(0) in school","2","","",""
"Very often","2013","Not Working","(1a) inadequately completed","13","","",""
"Very often","2013","Not Working","(1b) general elementary school","54","0.0457273839345239","0.0334661249411494","0.0579886429278983"
"Very often","2013","Not Working","(1c) basic vocational qualification","76","0.0280501054142266","0.021905640764311","0.0341945700641421"
"Very often","2013","Not Working","(2b) intermediate general qualification","5","","",""
"Very often","2013","Not Working","(2a) intermediate vocational","39","0.0266366431531719","0.0186616658661468","0.034611620440197"
"Very often","2013","Not Working","(2c_gen) general maturity certificate","9","","",""
"Very often","2013","Not Working","(2c_voc) vocational maturity certificate","15","","",""
"Very often","2013","Not Working","(3a) lower tertiary education","9","","",""
